X1	X2	elements	Kingdom	Phylum	Class	Order	Family	Genus	Species	mean
ASV_1	18.7142583355363	11.6071699610971	ASV_1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Unassigned	Unassigned	1473.61111111111
ASV_10	-6.05520348791389	-3.39083578352962	ASV_10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Unassigned	428.277777777778
ASV_100	-11.9670748750606	1.51650386832544	ASV_100	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga_intermedia	61
ASV_1002	4.13927119117015	17.7984673582001	ASV_1002	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_2	Unassigned	Unassigned	5.66666666666667
ASV_1006	-12.3644539962261	-20.7573725608708	ASV_1006	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Unassigned	Unassigned	4.55555555555556
ASV_101	3.23463752043012	-0.586208938838318	ASV_101	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	60.7222222222222
ASV_1015	-12.7917437485966	-5.25492822367632	ASV_1015	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	4.66666666666667
ASV_102	-16.1329214144777	0.859276523836996	ASV_102	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	64
ASV_103	-2.55752566127257	-11.2993230557793	ASV_103	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	Phyllobacterium_bourgognense	53.7777777777778
ASV_1030	15.5005692068522	3.79814432293419	ASV_1030	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Unassigned	Unassigned	5
ASV_1033	9.02109857290302	4.99993085201942	ASV_1033	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	4.38888888888889
ASV_104	-5.8704663311498	-3.98251323538315	ASV_104	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Unassigned	60.4444444444444
