orig_model	model	color	OTU	X1	X2
1	20	mini_model	#C1C1C1	ASV_20	0.608226984068335	9.60905830029667
2	13	mini_model	#C1C1C1	ASV_38	8.09905990604234	-9.79912107975139
3	42	mini_model	#C1C1C1	ASV_10	-12.2837012193581	-9.12380658797056
4	59	mini_model	#C1C1C1	ASV_50	-9.45514036940705	9.34425960651096
5	23	mini_model	#C1C1C1	ASV_81	-7.07430089674386	-10.3112038577543
6	3	model_3	#E65948	ASV_71	-15.6488817695498	2.47742992124765
7	79	mini_model	#C1C1C1	ASV_86	-14.3685813640499	7.07118392178092
8	40	mini_model	#C1C1C1	ASV_84	-12.9617663700356	-11.1865197042241
9	12	mini_model	#C1C1C1	ASV_64	-10.2108430572924	12.075885304724
10	100	mini_model	#C1C1C1	ASV_89	1.55603931484663	-17.2012607519481
11	64	mini_model	#C1C1C1	ASV_122	-11.4160124651607	-1.18119490630535
12	95	mini_model	#C1C1C1	ASV_137	-11.9428909311029	-3.1612496780329
13	101	mini_model	#C1C1C1	ASV_107	-4.83404109287208	-4.42821484607498
14	95	mini_model	#C1C1C1	ASV_159	-11.8171097131071	-3.95983240797919
15	59	mini_model	#C1C1C1	ASV_92	-9.80640323934429	10.175034032452
16	51	mini_model	#C1C1C1	ASV_142	-2.09087144727399	-3.31247885331671
17	12	mini_model	#C1C1C1	ASV_80	-10.4101390607733	12.9382290564896
18	113	model_113	#466DB0	ASV_148	10.5534497471328	11.6436430516552
19	60	mini_model	#C1C1C1	ASV_199	-7.00802731790649	8.10828609781717
20	17	mini_model	#C1C1C1	ASV_108	8.46085793650356	9.85582078809022
21	1	model_1	#9E0142	ASV_203	0.0562959024988165	-10.8313235120266
22	41	model_41	#6DC4A4	ASV_125	9.40913022061129	1.66659092126216
23	33	mini_model	#C1C1C1	ASV_147	9.25333966901548	-11.8989679566726
24	8	model_8	#FDD07D	ASV_870	-16.0733872576129	-4.40792600094005
25	22	mini_model	#C1C1C1	ASV_407	5.12762848616973	15.3532869883206
26	101	mini_model	#C1C1C1	ASV_134	-5.79668238666773	-4.68168094046473
27	24	mini_model	#C1C1C1	ASV_131	6.90052082676641	-15.847606732389
28	15	mini_model	#C1C1C1	ASV_169	1.20045971917731	13.488093005906
29	94	mini_model	#C1C1C1	ASV_235	12.4761600362503	-9.12154549187998
30	6	model_6	#FDB567	ASV_319	15.4129911988699	-5.30284726627378
31	94	mini_model	#C1C1C1	ASV_284	11.6721001519418	-9.4684357364071
32	8	model_8	#FDD07D	ASV_245	-14.5973566003357	-5.12823761943018
33	101	mini_model	#C1C1C1	ASV_193	-4.48778534368191	-3.48783994582203
34	23	mini_model	#C1C1C1	ASV_202	-7.01110870259378	-11.2566096467405
35	29	model_29	#FEE695	ASV_206	7.59200050027939	-0.312824667165987
36	29	model_29	#FEE695	ASV_294	4.86063349252526	1.23072878806191
37	21	mini_model	#C1C1C1	ASV_230	-0.980240592591097	-5.15561408834825
38	17	mini_model	#C1C1C1	ASV_192	9.11982608061393	9.11222699814144
39	48	model_48	#FEF6B1	ASV_139	11.9455447493941	-6.32094272862857
40	79	mini_model	#C1C1C1	ASV_165	-15.8987394108044	5.90935734864387
41	33	mini_model	#C1C1C1	ASV_195	9.60384617720333	-11.0539639738457
42	7	model_7	#91D3A4	ASV_171	-6.73903695397939	14.0120406978873
43	120	mini_model	#C1C1C1	ASV_201	-8.50823565585434	-15.2471996866709
44	19	mini_model	#C1C1C1	ASV_217	4.35650302140292	-2.95634425068381
45	90	mini_model	#C1C1C1	ASV_175	1.36384008156412	-15.0520856121655
46	73	model_73	#D6404E	ASV_229	4.41916266414455	11.3348664497823
47	26	mini_model	#C1C1C1	ASV_173	-10.9055422272762	4.81135855950829
48	83	mini_model	#C1C1C1	ASV_265	-15.0863288695796	-8.54364429637573
49	96	model_96	#EBF7A0	ASV_333	-5.36512233397656	-15.627706029747
50	111	mini_model	#C1C1C1	ASV_162	7.52955338195825	-12.5494206871567
