orig_model	model	color	OTU	X1	X2
84	9	model_9	#FEF6B1	ASV_614	-7.44220509770248	14.5265421980375
85	1	model_1	#9E0142	ASV_85	-3.80954286687429	-10.5125061096856
86	1	model_1	#9E0142	ASV_98	-5.57312813454542	-10.2140913872284
87	1	model_1	#9E0142	ASV_516	-18.5261139894626	-2.49565519748712
88	25	model_25	#EBF7A0	ASV_596	-21.5799157601324	-9.05366498958533
89	25	model_25	#EBF7A0	ASV_780	-21.4909475139403	-8.51774416633362
90	3	model_3	#FDB567	ASV_652	-1.63451552740022	-13.0022434862387
91	1	model_1	#9E0142	ASV_945	5.17719871545566	-15.1532814356826
92	2	model_2	#BA2148	ASV_1362	5.52052894488765	5.31374695185069
93	1	model_1	#9E0142	ASV_141	-5.00685147563959	-4.88678348764921
94	1	model_1	#9E0142	ASV_251	-6.0026481367448	-6.92151643192221
95	1	model_1	#9E0142	ASV_175	-6.97848852792069	-4.02375685588169
96	1	model_1	#9E0142	ASV_201	-8.01105553562641	-2.48891958588884
97	1	model_1	#9E0142	ASV_185	-0.887956160650567	-10.0545446898826
98	8	model_8	#F8FCB4	ASV_537	19.9178877691126	0.177192823997778
99	1	model_1	#9E0142	ASV_432	-4.02815111984349	-4.58929786754716
100	28	mini_model	#C1C1C1	ASV_683	14.2932434232261	14.0087694507846
101	1	model_1	#9E0142	ASV_338	-9.87229175341542	-0.764018220535762
102	25	model_25	#EBF7A0	ASV_710	-20.2291344431001	-11.4992708407304
103	43	mini_model	#C1C1C1	ASV_1982	20.5631370007563	9.76310116384287
104	3	model_3	#FDB567	ASV_391	-3.93005931694688	-12.5652732371641
105	2	model_2	#BA2148	ASV_534	3.03246524677595	8.90825065671929
106	17	mini_model	#C1C1C1	ASV_228	-13.6062559209738	16.4494188151367
107	1	model_1	#9E0142	ASV_757	4.13903776110359	-14.8909188347878
108	5	model_5	#F47346	ASV_778	9.41624589452862	-1.74604325840486
109	8	model_8	#F8FCB4	ASV_231	21.6057992108186	-1.5031229783411
110	3	model_3	#FDB567	ASV_422	-7.70727292804698	-20.0449800054417
111	27	mini_model	#C1C1C1	ASV_2526	14.9858025421623	-19.4536167905189
112	1	model_1	#9E0142	ASV_47	-5.22270335065553	-4.26285788888931
113	11	model_11	#FDD07D	ASV_72	0.822094072536862	-22.9173114988866
114	11	model_11	#FDD07D	ASV_75	5.26005960766401	-23.1448093173492
115	3	model_3	#FDB567	ASV_782	-3.52713583450215	-11.9236834792175
116	1	model_1	#9E0142	ASV_405	-5.17621304107861	-7.07090989544132
117	38	mini_model	#C1C1C1	ASV_506	-7.41785494380495	19.8666872046538
118	1	model_1	#9E0142	ASV_104	-5.8704663311498	-3.98251323538315
119	1	model_1	#9E0142	ASV_1081	7.2267421084868	-18.1146363869056
120	32	mini_model	#C1C1C1	ASV_7	15.6335657719114	-17.2842904300356
121	1	model_1	#9E0142	ASV_408	-11.762850851821	0.658478689490116
122	4	model_4	#E65948	ASV_51	-15.307760216923	6.78045355495033
123	28	mini_model	#C1C1C1	ASV_258	13.3482780883697	14.2144322541642
124	31	model_31	#5E4FA2	ASV_86	-2.64118439601467	20.5017912500094
125	5	model_5	#F47346	ASV_465	10.6841452191234	9.26119851771456
126	25	model_25	#EBF7A0	ASV_753	-22.8954352503548	-4.60295554701993
127	4	model_4	#E65948	ASV_705	-13.1984641386026	6.83578517978705
128	22	model_22	#6DC4A4	ASV_706	9.70543647088614	18.9891627199082
129	10	model_10	#FEE695	ASV_303	20.3230543073347	-8.68003918130716
130	17	mini_model	#C1C1C1	ASV_627	-12.7897567887884	16.8720207086193
131	10	model_10	#FEE695	ASV_1912	22.8250797614989	-9.4133525170757
132	5	model_5	#F47346	ASV_811	-1.81699875621871	14.4373260891376
133	2	model_2	#BA2148	ASV_895	3.51895046398707	12.2280932910086
134	10	model_10	#FEE695	ASV_158	11.7904697092168	-15.2868275737996
135	4	model_4	#E65948	ASV_244	-13.4660691218772	7.14766881240681
136	5	model_5	#F47346	ASV_559	11.3679268139096	4.52917048992561
137	37	mini_model	#C1C1C1	ASV_215	21.4569078542068	5.96561008994914
138	8	model_8	#F8FCB4	ASV_454	21.554051557762	-0.705980704666259
139	5	model_5	#F47346	ASV_1030	15.5005692068522	3.79814432293419
140	3	model_3	#FDB567	ASV_1006	-12.3644539962261	-20.7573725608708
141	2	model_2	#BA2148	ASV_613	4.08452194281128	1.50616561814813
142	10	model_10	#FEE695	ASV_235	16.9113260775805	-12.6462325315184
143	10	model_10	#FEE695	ASV_316	18.1527257843245	-9.42723256658769
144	4	model_4	#E65948	ASV_894	-11.6273316785677	10.5948334453216
145	1	model_1	#9E0142	ASV_345	-3.51343720473058	-0.390895456017345
146	8	model_8	#F8FCB4	ASV_117	21.8950939165392	0.351227497716878
147	5	model_5	#F47346	ASV_962	17.4933469519271	8.72272990401094
148	6	model_6	#F99655	ASV_621	0.740862716865243	10.0783653866137
149	6	model_6	#F99655	ASV_467	3.44916077465418	3.47338413080362
150	4	model_4	#E65948	ASV_649	-13.4140165562703	6.70049022874105
151	5	model_5	#F47346	ASV_226	13.7665608021318	3.96745056739695
152	3	model_3	#FDB567	ASV_256	-11.9321782886979	-18.3467651222534
153	6	model_6	#F99655	ASV_521	6.13989056331825	13.3511699005312
154	5	model_5	#F47346	ASV_279	18.2994266171718	-0.649715107346658
155	10	model_10	#FEE695	ASV_396	17.7452811984246	-10.9231463050791
156	16	mini_model	#C1C1C1	ASV_763	13.7054583050257	-20.898669259703
157	5	model_5	#F47346	ASV_490	12.6694117088153	6.05380790637796
158	8	model_8	#F8FCB4	ASV_1156	9.25575145377277	-2.72182819492619
159	10	model_10	#FEE695	ASV_52	16.1221295268244	-12.1467332069345
160	6	model_6	#F99655	ASV_588	7.35044742442826	5.73907230437966
161	5	model_5	#F47346	ASV_378	11.7917669392239	7.22154182421645
162	12	model_12	#D3ED9B	ASV_582	20.8583891144508	-14.1299892536806
163	1	model_1	#9E0142	ASV_442	-12.1852006305874	0.693252921192967
164	5	model_5	#F47346	ASV_539	11.219280428193	7.15712326446578
165	31	model_31	#5E4FA2	ASV_1193	-4.43358616154524	20.2359918617865
166	6	model_6	#F99655	ASV_1069	5.47718218667062	2.2627814428781
167	2	model_2	#BA2148	ASV_491	4.77992942314802	0.942627992083894
168	13	model_13	#B4E0A2	ASV_746	21.481864225246	-4.98044165788058
169	30	mini_model	#C1C1C1	ASV_628	3.07581054099865	20.8028673502382
170	1	model_1	#9E0142	ASV_550	-18.5372982570215	0.84444279580182
171	11	model_11	#FDD07D	ASV_751	-1.51927625500348	-24.2366619024785
172	14	model_14	#50A9AF	ASV_18	17.7048939758655	13.2283722064376
173	5	model_5	#F47346	ASV_19	16.20596592058	4.95961136907772
174	5	model_5	#F47346	ASV_42	-5.75596139866151	13.1529247450746
175	12	model_12	#D3ED9B	ASV_243	19.5722139115707	-14.2064518645625
176	5	model_5	#F47346	ASV_517	11.0634304670962	7.78767324526477
177	5	model_5	#F47346	ASV_45	-7.89986972525693	14.1048139891233
178	5	model_5	#F47346	ASV_224	9.61973352669312	6.51608396498098
179	12	model_12	#D3ED9B	ASV_261	18.8509152721536	-15.4095936628796
180	4	model_4	#E65948	ASV_523	-8.81393209614118	10.6525576894428
181	1	model_1	#9E0142	ASV_274	-10.6835703017071	-0.681548536969098
182	6	model_6	#F99655	ASV_768	-0.900951631038171	13.5050789091112
183	2	model_2	#BA2148	ASV_1218	4.14025671179546	-8.22385351276031
184	5	model_5	#F47346	ASV_321	15.0324930425053	10.187956282433
185	37	mini_model	#C1C1C1	ASV_2411	20.7255865956633	5.43981677261299
186	2	model_2	#BA2148	ASV_815	9.98215569170035	3.3959944696616
187	6	model_6	#F99655	ASV_1578	0.714737467462869	11.188650131132
188	6	model_6	#F99655	ASV_457	6.8647878401548	10.3795617113189
189	11	model_11	#FDD07D	ASV_925	0.138405732332355	-22.5977390963313
190	1	model_1	#9E0142	ASV_120	-9.82589746193789	-1.85100682275769
191	4	model_4	#E65948	ASV_307	-12.7580938276569	3.83598966383274
192	4	model_4	#E65948	ASV_277	-12.6319265412356	6.6204600425267
193	15	model_15	#91D3A4	ASV_495	14.1296449383607	16.0118259579895
194	4	model_4	#E65948	ASV_784	-10.2957931016254	7.35235746512859
195	7	model_7	#D6404E	ASV_682	-13.190443463304	-3.31815124306258
196	5	model_5	#F47346	ASV_675	-1.63203765019312	11.4979712045805
197	25	model_25	#EBF7A0	ASV_20	-21.1998735352037	-9.8377293153692
