ID	methanol_oxidation	methylotrophy	sulfate_respiration	sulfur_respiration	dark_sulfite_oxidation	dark_hydrogen_oxidation	dark_sulfur_oxidation	dark_oxidation_of_sulfur_compounds	fermentation	aerobic_chemoheterotrophy	human_pathogens_all	human_gut	human_associated	mammal_gut	animal_parasites_or_symbionts	aromatic_compound_degradation	nitrate_respiration	nitrate_reduction	nitrogen_respiration	fumarate_respiration	ureolysis	chemoheterotrophy
DE03P016	0	0	0	0	0	0	0	0	3.8670548004767	2.91645394854993	0	0	0	0	3.13193929521042	1.34242268082221	0	3.00902574208691	0	0	0	3.89376176205794
DE03P017	0.301029995663981	0.301029995663981	0	0	0	0	0	0	3.7670073639498	3.34262004255335	0	0	0	0	3.42078061954857	0.301029995663981	0	2.91698004732038	0	0	0.301029995663981	3.86652362553284
DE03P049	0	0	0	0	0	0	0	0	3.61415870950918	3.01911629044707	0	0	0	0	3.73311698144206	0	0	3.18780263871842	0	0	0	3.6520528482481
DE03P054	0	0	0	0	0	0	0	0	3.83746217148599	3.17231096852195	0.301029995663981	0	0.301029995663981	0	3.33685982091681	0	0	2.91750550955255	0	0	0	3.89331781161611
DE03P060	0	0	0	0	0	0.301029995663981	0	0	3.84683175282326	3.3583156400822	0	0	0	0	3.35964579267454	0	0.301029995663981	3.26834391395106	0.301029995663981	0.301029995663981	0	3.9048777669634
DE03P065	0	0	0	0	0.301029995663981	0	0.301029995663981	0.301029995663981	3.68313713148301	3.45909078960059	0	0.301029995663981	0.301029995663981	0.301029995663981	3.67219025118825	0	0	3.34321159017975	0	0	0	3.78731875662455
DE03P076	0	0	0	0	0	0	0	0	3.89757211382573	3.45621415535799	0	0.301029995663981	0.301029995663981	0.301029995663981	3.51215053692203	0	0	3.38827886345964	0	0	0	3.93155956709081
DE03P081	0	0	0	0	0	0.301029995663981	0	0	3.91761052574987	1.84509804001426	0	0	0	0	3.09586645347854	0	0.301029995663981	2.79588001734408	0.301029995663981	0.301029995663981	0	3.91824009022142
DE03P083	0	0	0	0	0	0	0	0	3.8441664104502	1.67209785793572	0	0	0	0	3.09968064110925	0	0	2.50105926221775	0	0	0	3.84553211749358
DE07P016	0.301029995663981	0.301029995663981	0	0	0	0	0	0	3.8694077493822	2.99563519459755	0	0.602059991327962	0.602059991327962	0.602059991327962	3.18920948958231	0.903089986991944	0	2.90308998699194	0	0	0.301029995663981	3.89237290739844
DE07P049	0	0	0	0	0	0	0	0	3.71625382589604	3.29203443599474	0	0	0	0	3.54826654517075	0	0	3.04099769242349	0	0	0	3.80760266991649
DE07P054	0	0	0	0	0	0.301029995663981	0	0	3.76034707852991	3.21827285357145	0.477121254719662	0	0.477121254719662	0	3.51759173071191	0	0.301029995663981	3.06781451116184	0.301029995663981	0.301029995663981	0	3.82236425244155
DE07P060	0	0	0	0	0	0	0	0	3.88541776511094	3.50009919191572	0.698970004336019	0	0.698970004336019	0	3.5556988947189	0.477121254719662	0	3.48344464809854	0	0	0	3.91933963678741
DE07P065	0	0	0	0	0	0	0	0	3.68078861150668	3.09342168516224	0	0.698970004336019	0.698970004336019	0.698970004336019	3.60756224318359	0	0	2.959518376973	0	0	0	3.73479982958885
DE07P076	0	0	0	0	0	0	0	0	3.74772246203551	3.62169546232928	0	0	0	0	3.42357351973274	0.301029995663981	0	3.31492005599242	0	0	0	3.91797788259291
DE08P017	2.36172783601759	2.36172783601759	0	0	1.39794000867204	0	1.39794000867204	1.39794000867204	3.80147231352147	2.72672720902657	0	1.04139268515822	1.04139268515822	1.04139268515822	3.2718416065365	1.25527250510331	0	2.48713837547719	0	0	2.30102999566398	3.83632411570675
DE10P016	0.477121254719662	0.477121254719662	0	0.301029995663981	0.698970004336019	0	0.698970004336019	0.698970004336019	3.79685174904989	2.34242268082221	0	1.70757017609794	1.70757017609794	1.70757017609794	3.48911436937892	0	0	3.36040405472994	0	0	0	3.79927160834987
DG00P016	0	0	0	0	0	0.301029995663981	0	0	3.83972937520639	3.0948203803548	0	0.602059991327962	0.602059991327962	0.602059991327962	3.25042000230889	1.99122607569249	0.301029995663981	3	0.301029995663981	0.301029995663981	0	3.88360466092229
DG00P017	0	0	0	0	0	1	0	0	3.7533532126415	2.6954816764902	0	0	0	0	3.27646180417324	0.477121254719662	1	2.58658730467176	1	1	0	3.7691556907144
DG00P049	0	0	0	0	0	0	0	0	3.60884682232641	2.94101424370557	0	0	0	0	3.70397882500839	0	0	3.02118929906994	0	0	0	3.64522571153542
DG00P054	0	0	0	0	0	0	0	0	3.68106024363181	3.26007138798507	0.301029995663981	0	0.301029995663981	0	3.55509444857832	0	0	3.004751155591	0	0	0	3.78483117812447
DG00P060	0	0	0	0.301029995663981	0	0	0	0	3.89812157554111	3.31827208021163	0	0	0	0	3.41262852054438	0	0	3.26173854735254	0	0	0	3.92095770595545
DG00P076	0	0	0	0.301029995663981	0	0	0	0	3.68752896121463	3.44059426183983	0.477121254719662	0.778151250383644	0.903089986991944	0.778151250383644	3.55930801090701	0.845098040014257	0	3.2043913319193	0	0	0	3.80902072048367
DG00P081	0	0	0	0	0	0	0	0	3.84516007765195	1.77815125038364	0	0	0	0	3.18269990333604	0	0	2.71096311899528	0	0	0	3.84670814545601
DG00P083	0	0	0	0	0	0	0	0	3.79337124891896	2.03742649794062	0	0	0	0	3.54007908880417	0	0	3.13129779659762	0	0	0	3.79705969469997
DS00P030	0	0	0	0	0	0	0	0	3.63326641115542	3.18127177155946	0	0	0	0	3.65906007224094	0	0	3.33162971762993	0	0	0	3.72745992085791
