ID	methanol_oxidation	methylotrophy	sulfate_respiration	sulfur_respiration	dark_sulfite_oxidation	sulfite_respiration	respiration_of_sulfur_compounds	knallgas_bacteria	dark_hydrogen_oxidation	dark_sulfur_oxidation	dark_oxidation_of_sulfur_compounds	fermentation	aerobic_chemoheterotrophy	human_pathogens_all	human_gut	human_associated	mammal_gut	animal_parasites_or_symbionts	aromatic_compound_degradation	aliphatic_non_methane_hydrocarbon_degradation	hydrocarbon_degradation	nitrate_respiration	nitrate_reduction	nitrogen_respiration	fumarate_respiration	ureolysis	chemoheterotrophy
HE02P026	0	0	0	1.32221929473392	0	0	1.32221929473392	0.301029995663981	0.301029995663981	0	0	3.90509396832787	3.37639444203727	0	0	0	0	3.54666602507018	0	0	0	0	3.41296427199666	0	0	0	3.91067775474271
HE03P003	2.22010808804005	2.22010808804005	0	0	1.27875360095283	0	0	0	0	1.27875360095283	1.27875360095283	3.68547301972276	3.60325266198165	0	0.698970004336019	0.698970004336019	0.698970004336019	3.39689644914252	1.25527250510331	0	0	0	3.39898106665813	0	0	2.2148438480477	3.89092377148901
HE03P004	0	0	0	0	0	0	0	0	0	0	0	3.74748949225867	2.87040390527903	0	0	0	0	3.53173430927655	0.903089986991944	0	0	0	2.65321251377534	0	0	0	3.77829599108883
HE03P005	2.35218251811136	2.35218251811136	0	0	1.46239799789896	0	0	0	0	1.46239799789896	1.46239799789896	3.6736658762457	3.48628876096057	0	0.903089986991944	0.903089986991944	0.903089986991944	3.60948768985329	1.25527250510331	0	0	0	3.16256440652302	0	0	2.03742649794062	3.82170999729838
HE03P010	0.301029995663981	0.301029995663981	0	0.301029995663981	0.301029995663981	0	0.301029995663981	0	0	0.301029995663981	0.301029995663981	3.81264601623312	2.88592633980143	0	1.04139268515822	1.04139268515822	1.04139268515822	3.27783833300205	0	0	0	0	2.63346845557959	0	0	0	3.84217222938562
HE03P011	0	0	0.301029995663981	0.301029995663981	0	0.301029995663981	0.477121254719662	0	0	0	0	3.82904633685318	3.16643011384328	0	0	0	0	3.18780263871842	0	0	0	0	2.74115159885178	0	0	0	3.89525675314489
HE03P012	0	0	0	0	0	0	0	0	0	0	0	3.8842287696326	2.54282542695918	0	0	0	0	3.11627558758054	0	0	0	0	2.91855453055027	0	0	0	3.89608508542329
HE03P014	0	0	0	0	0	0	0	0	0	0	0	3.75549372841512	3.19755621315354	0	0	0	0	3.65272969606925	0	0	0	0	3.20790353038605	0	0	0	3.77778918743487
HE03P019	2.12385164096709	2.12385164096709	0	0	1.30102999566398	0	0	0	0.301029995663981	1.30102999566398	1.30102999566398	3.81284653696707	3.12515582958053	0.301029995663981	0	0.301029995663981	0	3.1215598441875	0.698970004336019	0.301029995663981	0.301029995663981	0.477121254719662	2.91750550955255	0.477121254719662	0.301029995663981	2.11727129565576	3.88411536201167
HE03P021	0	0	0.301029995663981	0	0.301029995663981	0.301029995663981	0.301029995663981	0.301029995663981	0.301029995663981	0.301029995663981	0.301029995663981	3.8677031332701	2.81157500587059	0	0.698970004336019	0.698970004336019	0.698970004336019	3.09933527768596	1.53147891704226	0	0	0	3.04960561259497	0	0	0	3.89899927088979
HE03P022	0	0	0	0	0	0	0	0.903089986991944	0.903089986991944	0	0	3.86081696386454	3.22814360759774	0	0.301029995663981	0.301029995663981	0.301029995663981	3.49568306761692	1.49136169383427	0	0	0	3.41929472175346	0	0	0	3.87737134586977
HE03P023	0	0	0	0	0	0	0	1.69019608002851	1.69019608002851	0	0	3.7435881501599	3.32448823330766	0	0	0	0	3.43743344379797	0.477121254719662	0	0	0	2.99607365448528	0	0	0	3.84217222938562
HE03P024	0	0	0	1.27875360095283	0	0	1.27875360095283	0.698970004336019	0.698970004336019	0	0	3.8011291875797	3.33385014510255	0	0	0	0	3.09236969962912	0	0	0	0	2.68124123737559	0	0	0	3.90928852416225
HE03P025	0	0	0	1.30102999566398	0	0	1.30102999566398	0.301029995663981	0.301029995663981	0	0	3.90552604843505	3.52257463269118	0	0	0	0	3.54431614174743	0	0	0	0	3.49512788124293	0	0	0	3.92453771777549
HE03P028	0	0	0.301029995663981	1.47712125471966	0	0.301029995663981	1.49136169383427	0	0	0	0	3.90287278544608	3.01703333929878	0	0	0	0	2.86746748785905	0.301029995663981	0	0	0	2.77742682238931	0	0	0	3.93560801851787
HE03P046	0	0	0	0	0	0	0	0	0	0	0	3.77407880075252	3.33203427702752	0	0	0	0	3.65858371540706	0	0	0	0	3.30059548388996	0	0	0	3.80106052984786
HE03P047	0	0	0	0	0	0	0	0	0	0	0	3.88913355596672	3.4401216031878	0	0	0	0	3.46434048462767	0	0	0	0	3.32283927268632	0	0	0	3.93018465229862
HE03P048	0	0	0	0	0	0	0	0	0	0	0	3.83492909646058	3.47712125471966	0.477121254719662	0.301029995663981	0.602059991327962	0.301029995663981	3.60021030640933	0	0	0	0	3.47508980338901	0	0	0	3.87482957787972
HE03P050	0	0	0	0	0	0	0	0	0	0	0	3.82249498527875	3.45055700941833	0	0	0	0	3.69626899674553	0	0	0	0	3.45651785780526	0	0	0	3.84173477897474
HE03P051	0	0	0	0	0	0	0	0	0	0	0	3.78002912733734	2.67942789661212	0	0	0	0	3.49982449583958	0	0	0	0	2.62428209583567	0	0	0	3.79351100579286
HE03P055	0	0	0	0	0	0	0	0	0	0	0	3.90789483541628	3.69196510276736	0.301029995663981	0	0.301029995663981	0	3.61087300038005	0	0	0	0	3.58240429801903	0	0	0	3.97122944727624
HE03P056	0	0	0	0	0	0	0	0	0	0	0	3.75289315488459	3.68069802969764	1.68124123737559	0	1.68124123737559	0	3.56050441519506	0	0	0	0	3.39181692361325	0	0	0	3.91275330367132
HE03P057	0	0	0	0	0	0	0	0	0	0	0	3.6457169393696	3.41614103116833	0.954242509439325	0	0.954242509439325	0	3.7394141026987	0	0	0	0	3.16967443405881	0	0	0	3.75197157473633
HE03P058	0	0	0	0	0	0	0	0	0	0	0	3.86457040685343	3.57379958221574	0	0.301029995663981	0.301029995663981	0.301029995663981	3.58748646541096	0	0	0	0	3.5280163411892	0	0	0	3.91975778050189
HE03P059	0	0	0	0	0	0	0	0	0.301029995663981	0	0	3.79281177124815	3.37930551775058	0	0	0	0	3.65896484266443	0.301029995663981	0	0	0.301029995663981	3.49150176623733	0.301029995663981	0.301029995663981	0	3.82026715716096
HE03P061	0	0	0	0	0	0	0	0	0	0	0	3.67724184594665	3.27875360095283	0.477121254719662	0.301029995663981	0.602059991327962	0.301029995663981	3.58399179919832	0.301029995663981	0	0	0	3.07736790528416	0	0	0	3.75853342223729
HE03P063	0	0	0	0	0	0	0	0	0	0	0	3.81630759943194	3.59900923982334	0	0.301029995663981	0.301029995663981	0.301029995663981	3.5449357658815	0.301029995663981	0	0	0	3.41145134213794	0	0	0	3.91855453055027
HE03P064	0	0	0	0.301029995663981	0	0	0.301029995663981	0	0	0	0	3.59295357154787	3.11226976841727	0.301029995663981	0.698970004336019	0.778151250383644	0.698970004336019	3.72729720280359	0.301029995663981	0	0	0	3.12678057701201	0	0	0	3.64532400156229
