ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_14	-0.915	16.911	0.501947137636615	0.730043124898141	NotSig	1.247	2.35	0.084	0.067	1.559	1.076	1.652	0.014	2.081	0.123	0.792	0.014	2.725	1.475	0.92	0.177	4.054	4.298	0.084	0.26	0.856	0.762	0.183	7.044	3.204	1.713	0.845	0.676	0.016	12.326	4.366	0.136	0.006	2.864
ASV_13	0.321	15.729	0.940655598912485	1	NotSig	1.402	1.122	0.183	0.072	3.599	0.535	1.954	0.043	0.872	0.146	1.274	0.072	5.43	0.023	0.717	0.931	0.366	2.34	5.269	0.559	0.617	0.251	0.098	0.689	2.11	0.316	4.034	0.092	0.01	0.269	4.133	0.55	2.172	0.932
ASV_15	-0.644	17.157	0.940655598912485	1	NotSig	1.329	2.077	0.062	0.103	1.803	4.919	3.042	0.011	2.776	0.666	0.137	0.341	2.371	0.203	0.496	0.068	3.142	0.481	1.97	0.256	0.403	0.39	0.181	2.794	3.988	1.649	1.099	0.646	0.006	14.61	1.135	0.091	0.003	3.903
ASV_18	-1.616	17.245	0.73749247687984	0.916442857299212	NotSig	0.847	2.597	0.163	0.085	0.021	1.742	1.78	0.051	0.088	0.11	0.179	5.657	0.003	1.86	0.004	1.774	0.518	0.37	0	0.004	0.146	2.634	0.117	0.713	0.065	13.082	0.1	15.538	0.007	0.085	0.001	0.089	0.231	6.137
ASV_12	0.147	15.412	0.23060941441034	0.599584477466885	NotSig	0.337	0.304	4.361	0.626	0.015	0.005	0.002	0.595	0.009	0.035	0	0.067	0.004	0	0.001	0	0	0	0.01	0.208	0.157	2.066	0.374	0.002	0.035	1.397	0.205	0.028	0.078	0.006	0	0	0	0.011
ASV_22	-0.498	15.753	0.173606492770569	0.543324023670855	NotSig	0.493	0.697	1.047	0.092	1.271	0.146	2.817	0.004	0.051	0	0.318	0	0	0.008	0	2.491	0.001	0.005	0.137	0.854	0.993	0.199	0.328	0.352	1.899	0.138	0.094	0.015	0.013	0.017	0.01	0.006	0.015	5.523
ASV_25	1.284	15.741	0.478383339456474	0.730043124898141	NotSig	0.816	0.335	5.383	0.485	0.786	0.033	0.094	0.23	0.286	0.004	0.025	0.018	0.211	0.031	0.594	0.067	0.007	0.146	5.475	0.44	0.653	0.901	0.616	0.537	0.481	0.143	0.605	0.056	0.075	0.037	0.141	0.297	0.021	0.024
ASV_23	-0.317	15.249	0.954824553795066	1	NotSig	0.514	0.641	0.102	0.115	1.464	0.213	1.111	0.204	1.815	0.117	1.688	0	0.049	0.025	0.864	0.374	0.04	0.265	0.296	0.229	0.191	0.703	0.259	1.336	0.833	0.434	0.087	1.151	0.006	0.346	0.044	0	3.893	0.099
ASV_17	3.865	17.889	0.879826154404117	0.986724757905736	NotSig	1.977	0.136	0.079	5.501	0.24	0.015	0.012	24.269	0.003	0.024	0.001	0.012	0.032	0	0.104	0	0.139	0.465	2.714	0.037	0.232	0.242	0.381	0.021	0.423	0.013	0.225	0.045	0.394	0.016	0	0.004	0	0.002
ASV_20	-0.234	13.797	0.761383598501758	0.932982619040913	NotSig	0.18	0.211	0.376	0.164	0.401	0.074	1.423	0.038	0.075	0.001	0.052	0.024	0	0	0.001	0.07	0	0.35	0.004	0	0.027	0.123	0.394	0.039	0.276	0.227	0.414	1.381	0.158	0.011	0	0	0	0.119
ASV_38	-0.269	16.935	0.765778885458233	0.932982619040913	NotSig	1.5	1.807	0.064	0.067	0.075	2.362	0.264	0.029	0.062	0.991	2.127	3.674	5.992	2.308	0.943	0.159	5.862	0.391	0.134	0.357	0.533	0.177	0.134	2.828	0.309	0.056	2.944	0.187	0.035	1.615	12.532	2.702	2.587	0.113
ASV_16	-1.773	14.75	0.0457330129321054	0.445450582838773	NotSig	0.155	0.53	0.089	2.205	0.022	0.005	0	0.31	0	0	0	0	0.003	0	0	0.001	0	0	0.001	1.159	1.97	0.09	1.377	0.002	0.114	0.469	0.008	0.002	2.756	0	0.001	0	0.003	0
ASV_26	-1.497	17.311	0.970307842683073	1	NotSig	1.061	2.994	0.193	0.144	0.146	0.547	0.819	0.026	0.052	1.559	1.799	1.412	1.201	1.738	1.192	6.03	0.45	0.711	0.014	0.148	0.136	0.831	0.379	0.925	0.434	0.44	0.083	0.582	0.013	0.051	12.092	16.262	7.058	5.474
ASV_10	-20.13	13.175	0.0121031657298117	0.445450582838773	NotSig	0	0.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0.007	0	0	0.005	0.758	0.925	0	0	0	0	0	0	0
ASV_27	-0.711	15.797	0.501947137636615	0.730043124898141	NotSig	0.55	0.9	0.052	0.105	0.114	1.288	2.028	0.005	3.626	0.072	0.062	0.585	0.423	0.036	0.297	0.289	0.325	0.039	0.003	0.01	0.095	0.57	0.262	3.621	0.423	0.398	0.285	0.028	0.013	0.336	1.315	5.693	0.184	0.274
ASV_21	-0.862	12.153	0.0602438062527921	0.445450582838773	NotSig	0.047	0.086	0.411	0.097	0	0.021	0.236	0.014	0.007	0	0.001	0	0	0	0	0	0.007	0	0.011	0.102	0.075	0.455	0.286	0.068	0.014	0.169	0.005	0.088	0.016	0.002	0	0	0.008	0.005
ASV_65	0.796	16.597	0.970307842683073	1	NotSig	0.913	0.526	0.027	0.069	0.44	0.371	0.181	0.026	0.713	0.011	9.916	0.104	0.34	1.235	0.459	0.031	0.785	0.548	0.261	0.31	0.281	0.504	0.1	0.831	0.397	0.552	0.446	0.404	0.01	2.716	0.088	0.018	0	1.225
ASV_40	-1.02	15.057	0.794372094513015	0.943214596479304	NotSig	0.29	0.589	0.156	0.177	0.137	0.015	0.023	1.55	0.06	0.008	0.052	0.054	0.065	0	0.196	0.531	0.04	1.161	0.71	0.74	3.408	1.495	0.042	0.019	0.281	0.117	0.258	0.095	2.231	0.007	0.046	0.034	0.024	0.035
ASV_54	0.527	15.783	0.433072544797211	0.697040572102178	NotSig	0.714	0.495	0.106	0.036	0.066	0.05	5.637	0.016	1.495	0.076	0.405	0.003	0.992	0.002	0.753	0.006	2.47	0.024	0	0.027	0.239	0.128	0.078	3.004	0.685	0.397	0.02	1.748	0.008	0.167	0.444	0.004	0.261	0.219
ASV_35	-0.488	13.669	0.73386453854081	0.916442857299212	NotSig	0.201	0.282	0.035	0.103	0.157	0.949	0.113	0	0.481	0.113	0.392	0	0.87	0.037	0.068	0.003	0.019	0.064	0.01	0.021	1.078	0.097	0.039	0.166	1.302	0.997	0.092	0.002	0	0.059	0.092	0.196	0.085	0.002
ASV_31	0.606	17.097	0.369853740362416	0.681983717587188	NotSig	1.131	0.743	0.017	0.059	0.176	0.492	14.015	0.003	0.902	0.103	0.006	1.418	0.32	0.907	0.007	0.08	0.225	0.501	0.001	0.044	0.122	0.225	0.154	0.335	0.16	0.992	0.08	1.725	0.01	0.101	1.637	3.537	0.021	2.003
ASV_33	0.152	14.158	0.268136109628529	0.607706939578719	NotSig	0.166	0.149	0.461	1.828	0.034	0.007	0	0.137	0.009	0.162	0.16	0	0	0	0	0.008	0	0.005	0.01	0.052	0.29	0.234	0.775	0.009	0.016	0.638	0.125	0.007	0.061	0.014	0	0	0.019	0
ASV_37	-0.718	14.677	0.733723539887826	0.916442857299212	NotSig	0.227	0.373	2.62	0.108	0.077	0.014	0	0.125	0.005	0.015	0.004	0.001	0.004	0	0.548	0.024	0.049	0.253	0.01	1.218	1.155	0.518	0.105	0.038	2.41	0.02	0.056	0.004	0.045	0.001	0.014	0	0.01	0
