ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_88	-0.02	15.403	0.230410321862272	0.599584477466885	NotSig	0.485	0.492	0.017	0.041	0.12	0.081	0.044	0.007	0.005	0.262	0.279	0.437	2.031	0.005	0.58	0.369	0.814	2.358	0.796	0.01	0.119	0.012	0.022	0.089	4.332	0.027	1.555	0.079	0.028	0.971	0.013	0.118	0	0.003
ASV_79	-0.636	15.57	0.0540948169819711	0.445450582838773	NotSig	0.274	0.426	0.084	0.877	0.021	0.005	0.05	3.447	0.019	0.005	0	0.004	0.004	0	0.001	0.001	0.006	0.075	0.066	0.191	0.185	0.237	0.35	0.032	0.309	0.021	0.053	0.11	4.864	0.001	0.014	0.015	0.008	0.006
ASV_77	-1.138	13.125	0.290304534176579	0.621031218681542	NotSig	0.084	0.185	0.359	0.151	0.2	0.002	0.041	0.579	0.022	0	0.009	0.011	0.011	0	0.003	0.008	0.001	0.004	0.025	0.723	0.358	0.894	0.127	0.009	0.139	0.008	0.01	0.137	0.234	0.004	0.004	0.001	0.117	0.006
ASV_124	-0.216	14.698	0.226720068020441	0.599584477466885	NotSig	0.236	0.275	0.025	0.118	0.071	0.394	0.051	0	2.658	0	0.311	0.16	0.003	0.017	0.021	0.166	0.013	0.011	0.001	0.002	0.044	0.168	0.083	0.142	0.197	0.24	0.123	0.176	0	0.019	0.114	2.625	0.095	0.092
ASV_99	0.612	15.583	0.82042926439324	0.943214596479304	NotSig	0.596	0.39	0.022	0.105	0.007	0.289	0.005	0.032	0.709	0	0.013	0.011	4.907	0	0	0.001	1.525	0.001	2.511	0	0.563	0.042	0.208	0.106	0.009	0.084	4.656	0.026	0.007	0.072	0.072	0.006	0	0.003
ASV_85	-1.889	15.078	0.0442371980393504	0.445450582838773	NotSig	0.131	0.485	0.032	0.026	0.017	0.053	0.028	0.052	0.074	0.246	0.128	0.001	0	0.019	0.33	1.156	0.014	0.031	0.02	0.148	0.209	0.204	0.093	0.029	0.03	0.092	0.006	0.429	0.024	0.081	0.22	0.065	3.458	2.189
ASV_75	-1.602	14.021	0.173412594269052	0.543324023670855	NotSig	0.074	0.225	0.097	0.405	0.013	0.031	0.002	0.388	0.315	0.001	0	0	0	0	0	0.003	0	0	0.007	1.17	0.156	0.119	1.663	0.012	0.033	0.035	0.105	0	0.079	0.004	0	0	0.003	0.002
ASV_84	2.794	15.49	0.287025196633244	0.621031218681542	NotSig	0.275	0.04	4.603	0.005	0.007	0	0	0	0.002	0	0	0	0.039	0	0	0	0	0.009	0.007	0.002	0.062	0.059	0.144	0.017	0.019	0.018	0.274	0	0	0	0	0	0	0
ASV_106	-0.613	16.984	0.819841933153772	0.943214596479304	NotSig	0.577	0.883	0.005	0	0.019	0.007	0.431	0	0.065	0.005	0.809	6.411	0	0.107	0.738	1.213	0.001	0.001	0	0	0.01	0.012	0.002	0.034	0.067	0.029	0.024	12.961	0	0.067	0	0.004	0.026	0.002
ASV_76	0.625	14.466	0.881629813276723	0.986724757905736	NotSig	0.269	0.175	0.203	0.144	0.095	0.072	0.3	0.086	0.017	0.094	0.124	0.004	0.014	0.005	0.442	2.263	0.012	0.577	0.127	0.229	0.132	0.199	0.127	0.212	0.116	0.114	0.006	0.12	0.031	0.016	0	0.019	0.947	0.353
ASV_78	0.742	12.87	0.496280848036176	0.730043124898141	NotSig	0.161	0.096	0.037	0.592	0.09	0.033	0.014	0.305	0.012	0.111	0.142	0	0	0.002	0.749	0.106	0.151	0.013	0.387	0.15	0.14	0.151	0.406	0.024	0.046	0.013	0.361	0.084	0.056	0.005	0	0	0.009	0.002
ASV_83	1.114	14.348	0.0668203945855031	0.445450582838773	NotSig	0.131	0.061	2.085	0.054	0.026	0.002	0.005	0.004	0.008	0	0.007	0	0	0	0	0	0.01	0.033	0	0.226	0.156	0.09	0.289	0.007	0.007	0.056	0.01	0.011	0	0.002	0.01	0	0.045	0.002
ASV_64	-2.297	17.394	0.0459852945493097	0.445450582838773	NotSig	0.371	1.822	0.007	2.128	0.002	0	0	4.164	0	0	0	0	0	0	0	0	0	0	0	6.254	3.328	0.081	0.418	0.003	0.012	0.003	0	0	17.227	0	0	0.001	0	0
ASV_97	0.599	13.978	0.628085299455535	0.870052586950701	NotSig	0.264	0.174	0.149	0.1	0.223	0.796	0.135	0.027	0.332	0.039	0.264	0.007	0.006	0.014	0.277	1.614	0.081	0.053	0.365	0.087	0.086	0.166	0.276	0.202	0.091	0.256	0.041	0.848	0.003	0.138	0.004	0.004	0.084	0.324
ASV_89	2.684	14.487	0.0725937350191174	0.445450582838773	NotSig	0.506	0.079	0.067	0.079	0.775	0.015	0.012	1.904	0.006	0.081	0.065	0.001	0.339	0.002	1.551	0	2.297	0.278	1.137	0.075	0.109	0.509	0.005	0.044	0.337	0.037	0.033	0.004	0.014	0.002	0.013	0	0	0
ASV_70	-0.462	12.828	0.732635057580638	0.916442857299212	NotSig	0.074	0.102	0.035	0.085	0.002	0.003	0.007	0.265	0.002	0.402	0.006	0	0	0	0.094	0.098	0.058	0.196	0.007	0.16	0.161	0.727	0.066	0.002	0.005	0.008	0.003	0.004	0.035	0	0	0	0.36	0
ASV_100	-2.627	16.535	0.138776172316455	0.509851589597409	NotSig	0.153	0.943	0.02	0.036	0.047	0.241	1.039	0	0.06	0	1.068	0	0	0.008	0.001	0.001	0.072	0	0.003	0.044	0.041	0.126	0.012	0.694	0.71	0.069	0.018	0.238	0	2.648	0	0.047	0.001	9.495
ASV_93	-1.904	12.765	0.0891409301530593	0.445450582838773	NotSig	0.034	0.127	0.228	0.097	0.006	0.002	0.016	0.151	0.007	0.001	0.003	0.022	0.011	0	0.001	0.001	0.007	0.009	0.015	0.696	0.324	0.455	0.152	0.017	0.028	0.015	0.014	0.131	0.051	0.011	0	0	0.013	0.005
ASV_118	-1.814	14.482	0.90735173067581	1	NotSig	0.071	0.251	0.02	0.356	0.002	0.019	0.035	0	0.045	0	0	0.119	0	0.003	0.23	0.384	0	0.001	0	0	0	0	0.68	0.009	0.002	0.457	0.131	2.289	0	0.015	0	0.184	0.003	0
ASV_98	7.333	16.946	0.210987851308848	0.599584477466885	NotSig	1.015	0.006	0.087	0.103	0.002	0.915	0	0	0	12.625	0.004	0.014	0.001	0.015	3.482	0	0	0.013	0	0	0.011	0.012	0	0.007	0.005	0.021	0.034	0	0	0.001	0	0	0.003	0
ASV_61	-0.626	12.435	0.123177054521138	0.495641005096959	NotSig	0.037	0.057	0	0.554	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.012	0.057	0	0.175	0.331	0.325	0	0	0.008	0.006	0	0	0.002	0.001	0	0	0.002
ASV_117	0.063	13.776	0.326005518000324	0.640900241247867	NotSig	0.174	0.166	0.243	0.241	0.017	0.034	0.17	0	0.007	0.645	0.038	0.44	0.191	0.002	0.4	0.112	0.188	0.215	0.013	0.037	0.076	0.048	0.127	0.044	0.176	0.045	0.008	0.376	0	0.002	0.027	0	1.403	0.122
ASV_104	-1.322	14.734	0.313211464707306	0.630151637327794	NotSig	0.122	0.305	0.007	0.036	0	0.003	0.007	0	0.01	0.578	0.029	0	0.149	0	0.391	0.02	0.843	0.001	0	0.025	0.156	0.75	0.572	0.022	0.012	0.057	0.001	0	0	0.112	0.138	0	0.009	2.725
ASV_105	1.528	11.883	0.145064609368804	0.510905404821765	NotSig	0.085	0.029	0.072	0.256	0	0.072	0.264	0.015	0.001	0.154	0	0	0	0.009	0.378	0.004	0.211	0.003	0.001	0	0	0.002	0.034	0.003	0	0.001	0.121	0.26	0	0.006	0	0.001	0.012	0
ASV_136	0.644	12.375	0.818027858367848	0.943214596479304	NotSig	0.05	0.032	0.012	0.01	0.009	0.062	0	0.066	0.089	0	0.058	0.001	0	0	0.003	0	0	0.004	0.531	0.017	0.031	0	0.274	0.022	0.021	0.032	0.025	0	0.003	0.049	0	0.003	0.001	0
ASV_174	-0.686	13.565	0.217376834221055	0.599584477466885	NotSig	0.078	0.126	0.032	0.01	0.047	0	0	0	0	0.003	0.009	1.212	0.004	0	0.001	0.004	0.001	0.004	0	0.031	0.156	0.752	0.064	0.128	0.193	0.518	0.037	0.006	0	0.002	0	0	0	0
ASV_112	1.071	12.903	0.650318944975025	0.893527656103896	NotSig	0.096	0.046	0.022	0	0.009	0.009	0.08	0	0.078	0.006	0.015	0.014	0.192	0.003	0.008	0.004	0	0.432	0.766	0.021	0.137	0.009	0.007	0.038	0.121	0.011	0.039	0.017	0.001	0.172	0.104	0.007	0.001	0.003
ASV_111	-1.417	13.636	0.25481102053521	0.607706939578719	NotSig	0.049	0.131	0.213	0.023	0.051	0.036	0.062	0.001	0.012	0	0	0	0.298	0	0	0.007	0	0.001	0.133	0.058	0.325	0.125	0.076	0.01	0.046	0.015	0.006	0.004	0.001	0.03	1.273	0	0.001	0.002
ASV_126	2.554	15.86	0.241698312365078	0.607706939578719	NotSig	0.719	0.122	0.002	0.026	0.036	0.002	0.067	0.026	0.003	0.393	0.275	0.508	2.367	0.003	5.946	0.001	1.526	0.874	0.168	0.004	0.086	0	0.024	0.005	0.297	0.04	0.369	0.056	0.011	0.181	0.753	0	0.008	0.002
ASV_96	-2.389	12.395	0.0195912880419204	0.445450582838773	NotSig	0.011	0.057	0	0	0.167	0.015	0	0	0.001	0.001	0	0	0.001	0	0	0	0	0	0	0	0.001	0.002	0	0.263	0.539	0.003	0.021	0.007	0	0.012	0.003	0	0	0.008
ASV_130	-1.786	12.384	0.0744190784542775	0.445450582838773	NotSig	0.04	0.139	0.22	0.133	0.026	0	0.019	0.178	0.002	0	0.009	0.006	0.011	0	0	0	0.013	0.057	0.01	0.482	0.535	0.203	0.073	0.009	0.234	0.004	0.034	0.047	0.344	0.012	0	0	0.01	0.098
ASV_137	-0.467	12.339	0.240877365415658	0.607706939578719	NotSig	0.07	0.096	0.002	0.008	0	0.005	0	0	0.015	0.029	0.099	0.286	0.312	0.327	0.018	0.052	0.029	0	0.006	0.004	0.112	0.047	0.027	0.017	0.046	0.003	0.007	0.127	0	0.518	0.215	0.176	0.121	0.026
ASV_107	1.36	12.947	0.0828017004110237	0.445450582838773	NotSig	0.058	0.023	0.79	0.046	0.002	0.003	0.009	0	0.003	0	0	0	0	0.002	0	0.004	0	0	0.131	0.023	0.044	0.01	0.11	0.007	0.007	0.012	0.011	0	0	0.006	0	0.087	0.001	0.021
ASV_109	-0.886	15.108	1	1	NotSig	0.161	0.298	0.012	0.005	0.007	0.378	0.007	0.321	0.069	0	0.023	0	0	1.698	0.01	0.036	0.03	0.057	0.085	0.004	0.014	0.024	0.022	0.041	0.039	3.53	0.572	0.007	0.004	0.012	0	0.177	0.008	0.012
ASV_189	-1.674	15.162	0.411354930203263	0.693791754486034	NotSig	0.159	0.507	0.099	0.026	0.015	0.055	0.223	0.026	0.315	0.011	0.217	0.506	0.712	0.084	0.016	0.107	0.179	0.108	0.003	0.276	0.113	0.187	0.054	0.116	0.037	0.023	0.006	0.399	0.051	0.007	3.667	0.192	0.98	1.502
ASV_92	-2.166	10.765	0.617290703582373	0.867045995213783	NotSig	0.006	0.026	0.022	0.026	0	0.024	0.007	0.004	0.006	0	0	0	0	0	0	0	0	0	0.011	0	0	0.003	0.088	0	0.007	0.041	0.082	0.174	0	0.001	0	0	0	0
ASV_82	-1.79	12.109	0.0936722651789986	0.445450582838773	NotSig	0.018	0.062	0.082	0.187	0.013	0.002	0.004	0.012	0	0	0	0	0.003	0	0	0	0	0	0.004	0	0.038	0.442	0.22	0	0.13	0.037	0.022	0.03	0.008	0.004	0	0	0	0.005
ASV_95	-1.155	13.509	0.106656367064021	0.474340158784725	NotSig	0.044	0.099	0.161	0.156	0	0	0	0.432	0	0	0	0.003	0	0	0	0	0	0	0	0.01	0.071	0.118	0.103	0	0.005	0.001	0.003	0	1.166	0.001	0	0	0	0
ASV_110	0.261	13.884	0.215963732197286	0.599584477466885	NotSig	0.207	0.173	0.012	0.021	0.073	0.021	0.002	0.023	0.006	0.087	0.391	0.52	0.212	0.077	0.108	0.141	0.861	0.41	0.559	0.062	0.049	0.003	0.012	0.342	1.511	0.012	0.176	0.009	0.014	0.102	0.117	0.177	0	0.008
ASV_80	-6.877	18.686	0.036172813586022	0.445450582838773	NotSig	0.024	2.815	0	0	0.004	0	0	0.403	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.017	0.005	0.009	0.005	0.006	0	0	42.184	0	0	0	0	0
ASV_114	3.743	13.902	0.505414471083328	0.730043124898141	NotSig	0.225	0.017	0.002	0.026	0.009	0.115	0.055	0.001	0.65	0	0.18	0	0	0	0.001	0.061	1.531	1.189	0	0.004	0.021	0.007	0.002	0.007	0.123	0.001	0.01	0.047	0.003	0	0	0	0.023	0.003
ASV_199	1.191	15.207	0.0767866090867342	0.445450582838773	NotSig	0.42	0.184	0	0.003	0.007	0.003	0	0.04	0.009	2.355	0.619	0.004	0.003	0	3.782	0.089	0.058	0.164	0.01	0.002	0.001	0	0	0	0.016	0.015	0.052	0	0.004	2.664	0	0.001	0.001	0.005
ASV_159	0.643	14.657	0.940655598912485	1	NotSig	0.369	0.236	0.03	0.005	0.06	0.031	0.129	0.003	0.028	0.175	0.116	0.019	0.743	0.003	0.036	0.723	0.003	2.584	1.577	0.031	0.074	0.061	0.017	0.003	0.341	0.006	0.078	0.06	0.089	0.005	1.894	0.024	0.774	0.084
ASV_116	-1.108	12.138	0.132743968545174	0.509851589597409	NotSig	0.042	0.091	0.391	0.09	0	0.014	0.002	0.022	0.175	0	0.007	0	0	0	0	0	0.012	0.007	0	0.451	0.184	0.173	0.32	0.007	0.009	0.086	0.01	0.021	0.1	0.001	0	0	0.004	0
ASV_122	-0.517	14.425	0.145613929984924	0.510905404821765	NotSig	0.307	0.44	0.042	0.008	1.022	0.036	1.537	0	0.039	0.025	0.076	1.343	0.027	0	0.011	1.047	0.003	0.008	0	0.123	0.096	0.005	0.046	0.624	0.615	0.04	2.2	0.23	0.038	0.047	0.557	0.003	1.971	0
ASV_120	3.411	14.976	0.984818433024518	1	NotSig	0.355	0.033	0.01	0	0.017	0.026	3.223	0.021	0.009	0	2.687	0.018	0	0.003	0	0.004	0	0.001	0.01	0.002	0.003	0.002	0.007	0	0.125	0.089	0.19	0.051	0	0.011	0.006	0	0.001	0.012
ASV_91	-0.334	14.761	0.776308144170553	0.937114831177311	NotSig	0.235	0.296	0.005	0.1	0.007	1.2	0	0.052	0	0.55	0.604	0.022	0.079	0.009	0.616	0.152	0.519	0.072	0	0.002	0.027	0.438	0.137	0.017	0.102	0.675	0.013	0	0	0	0.036	2.777	0.185	0.028
ASV_152	1.741	13.307	0.192597249783344	0.581230985953305	NotSig	0.258	0.077	0.121	0.244	0.004	0	0.005	0.384	0.01	0.385	0.616	0.004	0.013	0.017	0.646	0.247	0.547	0.132	1.014	0.212	0.368	0.149	0.086	0.01	0.079	0.018	0.016	0.024	0.131	0.044	0	0.015	0.003	0.005
ASV_129	-1.24	13.7	0.73386453854081	0.916442857299212	NotSig	0.06	0.141	0.035	0.041	0.006	0.126	0.027	0.004	0.025	0.064	0.158	0.049	0	0.008	0.214	0.145	0.095	0.021	0	0.108	0.031	0.263	0.022	0.009	0.016	0.056	0.016	0.011	0.001	0.007	0	0.243	0.004	1.331
ASV_176	0.359	15.638	0.384922777763857	0.681983717587188	NotSig	0.713	0.556	0.005	0	2.559	0.003	0.218	0.003	0.082	0.003	0.346	0.008	3.074	0.011	0	0.699	0.001	0.005	5.098	0.031	0.051	0.003	0	0.771	1.003	0.023	0.448	0.009	0.001	0.012	3.108	0.283	2.544	0.043
ASV_200	-0.44	11.897	0.393991992616563	0.681983717587188	NotSig	0.063	0.086	0.22	0.167	0.06	0.033	0.301	0.075	0.043	0	0.006	0.001	0.004	0	0.004	0.152	0	0.007	0.001	0.114	0.184	0.236	0.381	0.087	0.053	0.063	0.017	0.062	0.023	0.062	0	0	0	0.005
ASV_103	-0.537	14.593	0.047215332706854	0.445450582838773	NotSig	0.189	0.275	0.054	0.028	0.007	0.315	0.053	0	2.472	0.005	0.129	0	0.018	0.009	0.016	0.052	0.014	0.045	0	0.008	0.033	0.102	0.078	0.166	0.023	0.58	0.034	1.83	0	0.02	0.133	0.205	0.134	0.776
ASV_154	-0.561	12.625	0.290171857542497	0.621031218681542	NotSig	0.101	0.149	0.02	0.051	0.022	0.021	0.36	0.032	0.108	0.023	0.339	0	0.001	0	0	0.187	0.003	0.521	0.025	0.01	0.013	0.106	0.076	0.019	0.051	0.035	0.005	0.507	0.007	0.116	0.341	0.027	0.285	0.632
ASV_148	-1.94	12.446	0.426948771991406	0.693791754486034	NotSig	0.01	0.039	0	0.003	0	0.136	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.002	0.002	0.558	0	0	0	0.022	0	0	0	0
ASV_209	0.201	14.772	0.0833472491483386	0.445450582838773	NotSig	0.273	0.237	0.193	0.062	0.022	0.126	2.391	0.01	0.02	0	0	0	0	0.002	0	1.814	0	0.003	0	0.002	0.044	0.116	0.044	0.014	0.014	0.128	0.016	0.032	0	0.025	0.086	0.217	2.798	0.026
ASV_115	-0.693	12.791	0.065671693925142	0.445450582838773	NotSig	0.061	0.098	0.339	0.062	0.002	0	0.394	0.23	0.003	0	0.001	0	0.001	0	0.001	0	0	0	0	0.708	0.198	0.185	0.044	0.003	0.005	0.05	0.005	0.258	0.013	0.001	0.003	0	0	0.002
ASV_188	3.387	15.123	0.164528622785381	0.53471802405249	NotSig	0.542	0.052	0.02	0.015	0.095	0.003	0.128	0.412	0.008	0.008	0.147	3.568	0.669	0.005	0.159	0.006	0.55	2.618	0.814	0	0.024	0.007	0.01	0.022	0.279	0.019	0.084	0.006	0.013	0.032	0.11	0.06	0.055	0.057
ASV_203	3.396	15.637	0.0344378252413606	0.445450582838773	NotSig	0.894	0.085	0.007	0.103	0.019	0.146	0.046	0.095	0.019	1.861	1.861	2.235	0.162	5.095	0.541	0.687	0.99	1.332	0.003	0	0.016	0.023	0.066	0.065	0.104	0.184	0.043	0.037	0.017	0.189	0	0.193	0.014	0.323
ASV_146	-0.32	12.217	0.379805308497685	0.681983717587188	NotSig	0.045	0.056	0.072	0.128	0.006	0	0.03	0.476	0.012	0	0	0	0.007	0	0	0.001	0.003	0.001	0.028	0.012	0.123	0.111	0.064	0	0.033	0.001	0.003	0.071	0.409	0.002	0	0.001	0.01	0
ASV_142	-0.404	14.231	0.6768766390608	0.916442857299212	NotSig	0.118	0.155	0.037	0.031	0.024	0.036	0.06	0.005	0.016	0	0	1.139	0.003	0	0.123	0.006	0.489	0	0.028	0	0.011	0.002	0.005	1.923	0.039	0.039	0.061	0.017	0.001	0.002	0.001	0.229	0	0.002
ASV_143	-2.567	12.492	0.0120244094271176	0.445450582838773	NotSig	0.021	0.126	0.191	0.021	0.007	0	0.023	0.119	0	0	0	0	0	0	0	0	0	0	0	0.002	0.141	0.388	0.174	0.005	0.014	0.067	0.009	0.011	0.5	0.001	0	0	0.576	0
ASV_108	-1.017	11.657	0.11923158242536	0.493156585921301	NotSig	0.028	0.056	0.124	0.323	0	0	0.002	0.01	0.002	0.001	0	0	0.004	0.002	0	0	0	0	0	0.008	0.12	0.313	0.281	0.003	0	0.004	0.047	0.007	0.047	0.002	0	0	0	0
ASV_123	1.482	14.899	0.818783405591345	0.943214596479304	NotSig	0.378	0.135	0.059	0.031	0	0	0	0.001	0.006	0.184	0.17	0	0	0.009	0.935	0	0.062	1.909	3.055	0.301	1.488	0.062	0	0	0.002	0.089	0.057	0.019	0	0.001	0.004	0.001	0.001	0.002
ASV_125	-1.797	16.8	0.303940662409057	0.630151637327794	NotSig	0.224	0.78	0	0.003	0.019	0.029	0	0	0.003	0	0.006	0.001	3.034	0	0	0.001	0.022	0	0.696	0	0.011	0	0.007	0.029	0.065	0.026	11.41	0	0.006	0.01	0.065	0.066	0	0
ASV_407	-3.699	17.826	0.879319292831758	0.986724757905736	NotSig	0.123	1.593	0.005	0.079	0.002	0.041	0	0.026	0.007	0	0.001	1.877	0	0.002	0.01	0.02	0.007	0.004	0.004	0	0	0.002	0.435	0.024	0.019	0.131	0.007	0.017	0	0.01	0.009	23.24	0.001	0
ASV_141	-0.333	12.219	0.894754205227985	0.994825399233747	NotSig	0.06	0.076	0.371	0.01	0.073	0.036	0.011	0.04	0.04	0.005	0.06	0	0.006	0.005	0.029	0.075	0.001	0.262	0.003	0.048	0.477	0.255	0.01	0.06	0.172	0.022	0	0.015	0	0.067	0.008	0.006	0	0.003
ASV_127	-0.882	13.519	0.420653579626021	0.693791754486034	NotSig	0.091	0.167	0.002	0	1.174	0.036	0	0.066	0.005	0.047	0.001	0	0	0.048	0.025	0	0	0.001	0.138	0.106	0.181	0.104	0.007	0.046	1.147	0.163	0.751	0	0.001	0.001	0	0.001	0	0
ASV_140	-0.908	12.159	0.183837387116681	0.564882153140348	NotSig	0.024	0.045	0.144	0.2	0.039	0	0.011	0.003	0.003	0	0	0	0	0	0	0	0	0.001	0.004	0.006	0.059	0.047	0.457	0.062	0.007	0.021	0.003	0	0.006	0.001	0.001	0	0	0
ASV_135	-1.1	12.104	0.110811349525255	0.480182514609436	NotSig	0.019	0.04	0.171	0.056	0.058	0.031	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0.002	0.01	0.026	0.44	0.031	0.023	0.065	0.001	0	0.001	0	0	0	0.003	0.002
ASV_147	-1.419	12.112	0.128933270452783	0.506737737360938	NotSig	0.031	0.082	0.193	0.013	0	0.01	0.175	0.037	0.062	0.001	0	0	0.011	0	0.001	0.011	0	0.005	0	0.443	0.184	0.118	0.225	0.003	0.002	0.025	0.002	0.019	0.007	0.005	0	0.001	0.194	0.003
ASV_158	-1.451	10.34	0.0502841841382403	0.445450582838773	NotSig	0.008	0.022	0	0.008	0	0.003	0	0	0.013	0	0	0	0	0.002	0	0.102	0.009	0	0	0	0.04	0.028	0.13	0.014	0	0.008	0.006	0.06	0	0.006	0	0	0.003	0.035
ASV_220	-2.035	12.299	0.160997435246915	0.53471802405249	NotSig	0.024	0.099	0.062	0.138	0.011	0.003	0.002	0.081	0.006	0	0	0	0.021	0	0.015	0.011	0.016	0.017	0.025	0.229	0.43	0.504	0.081	0.012	0.012	0.021	0.038	0.011	0.102	0.005	0.005	0	0	0.031
ASV_134	1.064	11.225	0.733488043610783	0.916442857299212	NotSig	0.058	0.028	0.072	0.038	0.095	0.019	0.239	0.102	0.021	0	0.155	0.098	0	0	0.001	0.119	0.001	0	0.018	0.029	0.052	0.055	0.029	0.024	0.072	0.044	0.009	0.034	0.037	0.006	0.004	0.004	0	0.014
ASV_207	0.498	14.364	0.819381114776696	0.943214596479304	NotSig	0.26	0.184	0.002	0	0.406	0.105	0.007	0	0.009	0	0.013	0.857	0.104	0.005	0	0.617	0.001	2.108	0.178	0	0.004	0	0	0.032	0.077	0.015	0.174	0.004	0	0.03	0.046	0.267	2.095	0.014
ASV_101	0.711	8.132	1	1	NotSig	0.003	0.002	0.012	0.008	0	0.007	0.002	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0.002	0.005	0.014	0.007	0.003	0	0	0	0	0	0	0	0
ASV_167	0.766	11.685	0.70783127087186	0.916442857299212	NotSig	0.021	0.012	0.329	0.003	0.007	0.007	0	0.004	0.006	0	0.004	0	0	0	0	0	0	0	0	0	0.057	0.048	0.037	0.002	0	0.036	0.002	0.006	0	0	0	0	0	0
ASV_149	-1.734	11.623	0.0777380561064862	0.445450582838773	NotSig	0.026	0.087	0.047	0.269	0.094	0.002	0.009	0.003	0.001	0	0	0	0	0	0	0	0	0.015	0.006	0.295	0.198	0.215	0.315	0.009	0.244	0.001	0.005	0.009	0.001	0.001	0	0	0.001	0.011
ASV_870	1.381	14.496	0.136430727533427	0.509851589597409	NotSig	0.146	0.056	2.31	0.049	0.056	0.003	0.014	0.001	0.005	0	0.003	0	0.011	0	0	0.008	0	0	0.013	0.131	0.086	0.061	0.191	0.029	0.039	0.06	0.039	0.002	0	0.002	0	0	0.001	0.196
ASV_210	-1.338	14.566	0.148132336309269	0.510905404821765	NotSig	0.136	0.343	0.005	0.003	0.026	0.132	0.206	0	0.028	0	0.001	0.047	1.679	0	0	0	0.13	0.049	0	0.002	0.003	0.005	0.015	0.665	0.058	0.059	0.316	1.203	0	0.03	0.348	0.016	0	2.425
ASV_157	0.893	13.619	0.620784410774365	0.867045995213783	NotSig	0.17	0.092	0	0.01	0	0.003	0.009	0	0	0.14	0.007	0.33	0.778	0.053	0	0.032	1.258	0.273	0	0.008	0.18	0.014	0.543	0.328	0.065	0.001	0.108	0.013	0.037	0	0.003	0.074	0	0.002
ASV_144	0.043	11.526	0.389810026989242	0.681983717587188	NotSig	0.029	0.028	0.082	0.295	0.004	0	0.004	0.063	0.001	0	0	0.003	0	0	0	0	0	0.013	0.025	0.008	0.075	0.042	0.034	0	0.026	0.004	0.005	0.011	0.212	0.002	0	0	0	0
ASV_121	0.638	11.596	0.268136109628529	0.607706939578719	NotSig	0.045	0.029	0.31	0.11	0.032	0.003	0.004	0.2	0.001	0	0	0	0.004	0	0	0	0.001	0.019	0.081	0.031	0.11	0.055	0.034	0.007	0.072	0.009	0.041	0.013	0.034	0.006	0	0	0.021	0
ASV_311	-1.015	11.978	0.257955048523646	0.607706939578719	NotSig	0.032	0.065	0.064	0.251	0.013	0.045	0.004	0.133	0.015	0	0	0	0.001	0	0	0	0	0.005	0.013	0.272	0.074	0.081	0.403	0.005	0.007	0.068	0.038	0.006	0.013	0.002	0.001	0	0	0
ASV_166	5.371	13.759	0.426948771991406	0.693791754486034	NotSig	0.082	0.002	1.387	0.01	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.015	0	0.005	0.008	0	0	0	0	0.001	0	0	0
ASV_177	-3.112	11.651	0.0199572971605856	0.445450582838773	NotSig	0.005	0.043	0.015	0.003	0.002	0.046	0.004	0	0.006	0.01	0	0	0	0	0	0	0	0	0	0.021	0.001	0.01	0.037	0.019	0.098	0.098	0.002	0	0	0.025	0	0.322	0	0.017
ASV_235	-1.29	13.153	0.864632625657837	0.986724757905736	NotSig	0.059	0.145	0.084	0.172	0.007	0	0.016	0.185	0.007	0.037	0.001	0.001	0.028	0	0.342	0.008	0	0.083	0.034	0.532	0.911	0.376	0.103	0	0.012	0.012	0.036	0.004	0.169	0.002	0.008	0	0	0.006
ASV_151	-0.342	11.985	0.490033037974431	0.730043124898141	NotSig	0.031	0.039	0.069	0.305	0.002	0.003	0.057	0.055	0.029	0	0	0	0	0	0	0	0	0	0.001	0.006	0.047	0.405	0.034	0.044	0.005	0.001	0	0.028	0.011	0	0	0	0	0.002
ASV_169	-1.006	11.85	0.767364402643118	0.932982619040913	NotSig	0.026	0.053	0.037	0.369	0.002	0	0.005	0.012	0.002	0	0	0	0	0	0.001	0.001	0	0.001	0.018	0.004	0.017	0.094	0.337	0	0.002	0.306	0.037	0	0.001	0	0	0	0	0
ASV_128	0.975	6.63	0.720009566864444	0.916442857299212	NotSig	0.001	0.001	0.01	0	0	0.003	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0.005	0	0	0	0	0	0.004	0	0	0	0	0
