ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083
ASV_1	-0.909	18.708	0.962566844919786	1	NotSig	6.578	12.357	11.728	3.268	4.317	7.836	18.938	6.157	0.17	0.213	5.559	5.685	4.241	39.807	7.76	4.29	42.824	0.878	0.167
ASV_2	-0.578	17.294	0.605841217605923	1	NotSig	3.786	5.651	2.066	1.906	4.106	3.455	10.433	7.852	0.138	0.333	2.275	4.014	6.094	3.257	7.295	11.431	16.075	0.33	0.085
ASV_4	0.437	18.462	1	1	NotSig	7.544	5.573	2.363	0.195	36.098	15.593	0.368	5.175	0.045	0.515	0.637	1.428	35.871	4.085	1.174	2.034	4.505	0.311	0.108
ASV_3	0.007	16.608	0.814808720691074	1	NotSig	2.177	2.168	4.475	0.817	0.413	4.48	0.326	6.489	0.07	0.349	3.037	9.986	0.488	0.239	0.735	3.616	1.231	0.048	0.128
ASV_5	0.465	16.844	0.672974084738791	1	NotSig	4.064	2.944	1.046	1.108	9.001	4.934	11.763	4.339	0.116	0.208	0.969	1.983	10.497	0.879	8.526	2.118	1.158	0.186	0.178
ASV_11	-1.23	18.269	0.814808720691074	1	NotSig	1.744	4.091	3.683	0.878	0.066	1.091	0.23	0.117	6.317	1.568	1.948	0.604	0.029	0.152	0.92	0.277	0.17	31.595	1.127
ASV_7	1.285	17.349	0.605841217605923	1	NotSig	2.812	1.154	0.683	16.696	0.047	0.457	0.797	0.315	1.757	1.745	1.416	2.244	0.061	0.113	4.802	0.209	0.089	0.794	0.661
ASV_6	-1.262	15.3	0.672974084738791	1	NotSig	0.492	1.18	0.162	0.19	0.398	0.513	0.914	1.739	0.02	0.002	0.238	0.857	0.268	3.534	4.034	1.553	0.13	0.007	0.003
ASV_8	-0.125	14.405	0.605841217605923	1	NotSig	0.448	0.489	0.352	0.731	0.035	0.458	0.832	0.995	0.079	0.102	0.81	2.169	0.046	0.064	0.743	0.099	0.026	0.297	0.146
ASV_9	1.06	17.203	0.814808720691074	1	NotSig	2.606	1.25	0.762	1.209	0.136	0.455	0.47	1.356	1.375	15.086	2.486	2.743	0.098	0.119	1.052	0.877	0.112	1.203	2.556
ASV_14	0.603	16.514	0.480707527766351	1	NotSig	2.364	1.557	1.086	4.774	0.043	0.248	0.166	0.353	8.593	3.647	1.779	1.26	0.011	0.064	0.548	0.101	0.005	0.884	9.36
ASV_13	0.88	14.939	0.541423282599753	1	NotSig	1.176	0.639	3.142	0.296	0.146	0.182	0.11	0.651	2.143	2.735	2.982	0.389	0.086	0.133	0.239	0.315	0.114	0.853	0.635
ASV_15	-0.809	17.721	0.541423282599753	1	NotSig	1.819	3.186	1.175	1.945	0.047	0.208	0.194	0.451	6.633	3.897	3.797	1.048	0.02	0.065	0.639	0.127	0.02	1.355	21.601
ASV_18	0.6	14.787	0.370382558617853	1	NotSig	0.525	0.347	0.262	2.828	0.02	0.234	0.458	0.232	0.066	0.104	0.164	2.046	0.01	0.039	0.309	0.046	0.003	0.401	0.101
ASV_12	0.815	15.517	0.672974084738791	1	NotSig	1.232	0.7	0.012	0.01	0.843	4.69	0.922	3.364	0.007	0.005	0.011	0.046	0.708	0.74	1.849	1.868	1.046	0.022	0.013
ASV_22	0.512	13.35	0.742986425339367	1	NotSig	0.328	0.23	0.07	0.008	0.658	0.462	0.051	0.115	1.044	0.219	0.049	0.025	0.622	0.261	0.05	0.127	0.205	0.523	0.212
ASV_25	-0.039	14.407	0.962566844919786	1	NotSig	0.725	0.745	1.304	0.086	0.272	1.988	0.319	0.825	0.238	0.769	1.036	0.056	0.494	0.962	0.501	2.173	0.624	0.744	0.113
ASV_23	-0.333	14.48	0.962566844919786	1	NotSig	0.671	0.845	0.425	0.741	0.048	0.233	0.3	0.678	1.367	1.575	2.005	2.284	0.062	0.046	0.554	0.33	0.091	1.631	0.6
ASV_17	0.472	14.247	0.276593994241053	1	NotSig	0.667	0.481	0.401	0.236	0.564	0.884	1.049	0.478	1.684	0.039	0.266	0.019	0.259	0.528	1.944	0.859	0.422	0.013	0.015
ASV_20	-0.463	13.182	0.962566844919786	1	NotSig	0.241	0.332	0.056	0.012	0.13	0.428	0.929	0.264	0.086	0.025	0.054	0.012	0.101	0.577	0.492	0.829	0.897	0.012	0.018
ASV_38	2.133	15.211	0.672974084738791	1	NotSig	0.607	0.138	0.143	3.793	0.03	0.064	0.018	0.147	0.542	0.123	0.278	0.263	0.014	0.07	0.065	0.08	0.013	0.339	0.124
ASV_16	-1.462	14.878	0.672974084738791	1	NotSig	0.18	0.496	0.515	0.082	0.265	0.01	0.49	0.051	0.011	0.016	0.251	0.235	0.492	0.196	0.186	3.011	0.078	0.003	0.011
ASV_26	-1.059	14.655	0.276593994241053	1	NotSig	0.221	0.46	0.18	0.149	0.082	0.055	0.092	0.223	0.236	0.748	0.241	0.191	0.157	0.267	0.267	0.18	0.124	0.131	2.579
ASV_10	1.453	5.16	0.931547474482411	1	NotSig	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.001	0
ASV_27	-1.072	15.294	0.962566844919786	1	NotSig	0.326	0.686	0.228	1.264	0.068	0.043	0.053	0.576	0.188	0.191	0.287	0.78	0.007	0.045	0.149	0.12	0.012	0.759	4.017
ASV_21	-0.648	15.847	0.888358700123406	1	NotSig	0.579	0.908	0.604	0.186	0.124	0.111	0.889	2.26	0.07	0.392	0.166	0.354	0.68	0.129	0.452	5.893	0.048	0.355	0.094
ASV_65	0.47	14.426	0.480707527766351	1	NotSig	0.718	0.518	1.41	1.926	0.024	0.219	0.106	0.019	0.937	1.103	2.201	0.604	0.012	0.099	0.338	0.053	0.007	0.809	0.543
ASV_40	0.137	14.196	0.672974084738791	1	NotSig	0.537	0.489	1.877	0.239	0.303	0.521	0.535	0.663	0.102	0.06	0.939	0.387	0.616	0.323	0.853	0.49	0.665	0.025	0.102
ASV_54	-0.053	14.4	0.605841217605923	1	NotSig	0.302	0.313	0.117	0.941	0.078	0.006	0.113	0.627	0.064	0.469	0.067	0.084	0.004	0.086	0.123	0.092	0.026	0.176	2.161
ASV_35	0.109	13.008	0.742986425339367	1	NotSig	0.273	0.253	0.585	0.329	0.078	0.059	0.1	0.778	0.175	0.081	0.36	0.505	0.011	0.023	0.096	0.091	0.03	0.341	0.824
ASV_31	-2.319	14.645	0.541423282599753	1	NotSig	0.123	0.614	0.136	0.201	0.035	0.05	0.042	0.187	0.082	0.252	0.207	1.543	0.016	0.313	0.037	0.074	0.016	2.562	0.758
ASV_33	-0.25	14.187	0.742986425339367	1	NotSig	0.373	0.444	0.398	0.014	1.283	0.918	0.07	0.3	0.004	0	0.103	0.047	1.421	1.866	0.218	0.216	0.091	0.026	0.007
ASV_37	0.2	15.17	0.742986425339367	1	NotSig	0.655	0.57	0.35	0.057	0.084	3.687	0.179	0.74	0.129	0.014	0.43	0.082	0.32	1.071	0.487	2.078	0.612	0.004	0.044
ASV_51	-0.349	11.995	0.888358700123406	1	NotSig	0.11	0.14	0.065	0.266	0.038	0.045	0.098	0.159	0.122	0.086	0.115	0.081	0.018	0.057	0.408	0.058	0.02	0.251	0.252
ASV_87	0.541	12.607	0.370382558617853	1	NotSig	0.194	0.134	0.116	0.539	0.01	0.022	0.121	0.568	0.093	0.088	0.266	0.624	0.016	0.007	0.182	0.012	0.003	0.065	0.028
ASV_39	1.199	13.787	0.962566844919786	1	NotSig	0.267	0.116	0.163	1.413	0.017	0.038	0.038	0.368	0.089	0.009	0.297	0.247	0.013	0.112	0.105	0.108	0.008	0.112	0.044
ASV_67	-0.983	12.648	0.888358700123406	1	NotSig	0.045	0.088	0.009	0.004	0.016	0.006	0.179	0.106	0.021	0.016	0.002	0.007	0	0.028	0.642	0.033	0.01	0.059	0.015
ASV_55	0.17	15.576	0.480707527766351	1	NotSig	1.022	0.908	0.269	0.033	1.875	0.323	0.366	0.334	0.089	4.883	0.199	0.025	4.357	0.218	1.892	0.229	0.084	0.088	1.079
ASV_52	0.826	13.948	0.370382558617853	1	NotSig	0.472	0.266	0.94	0.09	0.159	0.059	0.044	0.412	1.203	0.864	1.58	0.096	0.067	0.019	0.158	0.06	0.025	0.195	0.194
ASV_36	-0.728	14.78	0.541423282599753	1	NotSig	0.496	0.821	0.15	0.139	0.598	0.164	2.237	0.606	0.004	0.069	0.174	0.168	0.18	2.814	2.445	1.366	0.125	0.103	0.016
ASV_29	0.172	13.937	0.480707527766351	1	NotSig	0.368	0.327	0.163	1.569	0.025	0.08	0.112	0.659	0.116	0.221	0.923	1.063	0.012	0.059	0.603	0.151	0.036	0.035	0.057
ASV_57	3.192	18.028	0.480707527766351	1	NotSig	3.376	0.369	0.046	0.037	0.018	0.001	0.046	0	0.141	26.721	0.099	0.044	0.018	0.003	0.14	0.228	0.02	0.103	2.671
ASV_43	-0.214	13.506	1	1	NotSig	0.371	0.431	0.427	0.198	1.094	0.387	0.246	0.404	0.005	0.21	0.189	0.179	0.175	1.163	0.623	0.591	0.704	0.044	0.21
ASV_46	-1.647	15.967	0.888358700123406	1	NotSig	0.524	1.64	0.845	0.589	0.374	0.136	0.745	0.772	0.231	0.499	0.489	0.965	0.419	5.205	0.372	6.406	0.285	0.371	0.247
ASV_59	0.252	12.564	0.814808720691074	1	NotSig	0.198	0.166	0.44	0.606	0.036	0.028	0.035	0.053	0.265	0.123	0.084	0.123	0.022	0.3	0.047	0.043	0	0.361	0.519
ASV_30	-0.333	12.927	0.370382558617853	1	NotSig	0.204	0.257	0.058	0.218	0.295	0.082	0.728	0.23	0.007	0.012	0.09	0.322	0.155	0.351	0.355	0.779	0.102	0.142	0.012
ASV_138	1.631	13.889	0.962566844919786	1	NotSig	0.256	0.083	0.01	0.046	0.004	1.517	0.008	0.34	0.111	0.011	0.008	0.098	0.013	0.033	0.005	0.325	0.076	0.172	0.012
ASV_42	0.245	12.728	0.814808720691074	1	NotSig	0.16	0.135	0.029	0.007	0.053	0.307	0.036	0.678	0.002	0.166	0.015	0.149	0.094	0.142	0.084	0.565	0.111	0	0.054
ASV_72	0.429	11.186	0.605841217605923	1	NotSig	0.07	0.052	0.022	0.02	0.233	0.046	0.004	0.03	0.014	0.189	0.021	0.005	0.193	0.08	0	0.115	0.015	0.012	0.026
ASV_60	-2.548	15.352	0.672974084738791	1	NotSig	0.089	0.52	0.105	0.176	0.03	0.003	0.117	0.026	0.161	0.094	0.066	0.138	0.01	0.033	0.096	0.086	0	4.183	0.066
ASV_41	2.071	15.015	0.4234471410942	1	NotSig	0.646	0.154	0.029	0.059	0.093	0.613	0.852	0.174	3.31	0.039	0.135	0.002	0.047	0.219	0.264	0.255	0.412	0.029	0.022
ASV_48	-1.751	16.727	0.605841217605923	1	NotSig	0.524	1.764	0.612	0.424	1.488	0.116	1.31	0.187	0.021	0.034	0.447	10.844	2.133	0.596	1.181	0.089	0.508	0.057	0.022
ASV_24	-0.423	14.208	0.566611952877132	1	NotSig	0.158	0.212	0	0	0.067	0.197	0	0.895	0.107	0	0	0	0.001	1.893	0	0.009	0	0.007	0
ASV_32	1.867	16.636	0.962566844919786	1	NotSig	2.045	0.561	10.183	0.139	0.06	3.125	0.104	2.598	0.145	0.009	3.242	0.272	0.199	0.251	0.142	0.618	0.307	0.006	0.011
ASV_113	-1.486	17.353	0.814808720691074	1	NotSig	0.794	2.222	0.719	0.269	0.012	0.173	0.214	0.234	1.351	3.377	0.961	0.282	0.017	0.036	0.704	0.017	0.005	16.739	1.242
ASV_34	-0.645	12.855	1	1	NotSig	0.145	0.226	0.211	0.145	0.061	0.042	0.016	0.344	0.139	0.199	0.338	0.741	0.022	0.073	0.022	0.104	0.01	0.536	0.191
ASV_69	1.1	13.711	0.370382558617853	1	NotSig	0.299	0.14	0.247	1.341	0.007	0.029	0.028	0.026	0.552	0.164	0.47	0.513	0.005	0.022	0.052	0.012	0	0.065	0.119
ASV_62	0.409	12.955	0.672974084738791	1	NotSig	0.253	0.191	0.17	0.636	0.008	0	0.047	0.047	0.324	0.794	0.319	0.506	0.002	0.015	0.028	0.01	0.01	0.128	0.698
ASV_49	-0.104	13.278	0.672974084738791	1	NotSig	0.188	0.202	0.043	0.1	0.195	0.042	0.757	0.353	0	0.014	0.079	0.128	0.132	0.045	0.993	0.296	0.096	0.004	0.043
ASV_28	-1.807	12.053	0.664280367146721	1	NotSig	0.014	0.047	0	0	0	0.108	0	0	0	0	0	0	0.001	0.425	0	0	0	0	0
ASV_50	-1.208	14.511	0.888358700123406	1	NotSig	0.136	0.315	0.024	0.06	0.02	0.146	0.04	0.795	0.005	0	0.008	0.049	0.02	0.268	0.035	0.103	2.334	0.018	0.001
ASV_58	-0.468	14.893	0.541423282599753	1	NotSig	0.496	0.686	0.06	0.067	0.584	0.078	3.042	0.132	0	0.004	0.061	0.144	0.204	2.761	2.709	0.13	0.02	0.109	0.034
ASV_81	0.55	14.272	0.672974084738791	1	NotSig	0.475	0.325	0.585	0.777	0.01	0.006	0.03	0.026	1.979	0.392	1.536	0.31	0.01	0.009	0.185	0.048	0	0.53	0.297
ASV_56	0.762	13.826	1	1	NotSig	0.34	0.2	0.068	0.037	0.041	0.113	0.023	0.904	0.082	1.452	0.056	0.147	0.006	0.077	0.032	0.096	0.079	0.396	0.914
ASV_47	0.769	14.746	0.772694498089087	1	NotSig	0.613	0.359	0.005	0.005	2.749	0.553	0.917	0.672	0.002	0	0.085	0.002	0.736	0.506	1.325	0.431	0.145	0.004	0
ASV_44	-0.415	14.04	0.814808720691074	1	NotSig	0.301	0.402	1.685	0.072	0.036	0.088	0.108	0.121	0.282	0.019	1.35	0.126	0.119	0.03	0.239	0.883	0.843	0.012	0.015
ASV_71	0.414	10.984	0.541423282599753	1	NotSig	0.06	0.045	0	0.038	0.022	0.202	0.055	0.081	0.073	0.009	0.026	0.065	0.017	0.025	0.19	0.045	0.023	0.009	0.007
ASV_73	0.097	15.804	0.742986425339367	1	NotSig	0.954	0.892	0.292	0.177	0.546	0.15	0.571	5.721	0.007	0.166	0.35	0.056	1.27	0.025	0.36	5.592	0.236	0.123	0.016
ASV_94	0.7	14.542	0.321266968325792	1	NotSig	0.431	0.265	0.386	2.386	0.047	0.067	0.024	0.145	0.265	0.129	0.131	0.14	0.023	0.042	0.036	0.031	0.007	0.606	1.371
ASV_53	1.087	11.293	0.480707527766351	1	NotSig	0.057	0.027	0.022	0.063	0.022	0.251	0.02	0.011	0.038	0.034	0.02	0.049	0.008	0.015	0.053	0.027	0	0.029	0.042
ASV_66	-0.657	10.384	0.663061223556889	1	NotSig	0.029	0.047	0	0.059	0.007	0.005	0.011	0	0.061	0.094	0	0.075	0.005	0.118	0.009	0.026	0	0.134	0.053
ASV_74	-0.256	14.269	0.742986425339367	1	NotSig	0.34	0.406	0.408	0.027	0.473	0.574	0.458	0.731	0.002	0.042	0.279	0.096	0.49	0.267	0.2	1.974	0.289	0.023	0.031
ASV_63	-0.419	13.709	0.672974084738791	1	NotSig	0.317	0.424	0.148	0.109	0.819	0.15	1.092	0.191	0.013	0.014	0.077	0.184	0.156	1.339	1.173	0.676	0.033	0.166	0.012
ASV_90	1.9	13.985	0.962566844919786	1	NotSig	0.351	0.094	0.284	0.049	0.049	0.031	0.015	0.017	0.742	1.621	0.141	0.025	0.05	0.02	0.068	0.074	0.013	0.066	0.388
ASV_119	2.023	14.878	0.541423282599753	1	NotSig	0.412	0.101	0.041	0.086	0.013	0.055	0.008	0.006	3.012	0.076	0.664	0.033	0.006	0.001	0.083	0.026	0.016	0.05	0.034
ASV_881	-0.323	14.467	0.672974084738791	1	NotSig	0.305	0.381	0.024	0.005	0.032	1.69	0.058	0.593	0.013	0.021	0.089	0.004	0.064	0.445	0.059	2.265	0.472	0.021	0.011
ASV_86	-1.487	11.498	0.594372306222881	1	NotSig	0.027	0.075	0	0	0.026	0.045	0.05	0.028	0.046	0.019	0	0	0.026	0.118	0.121	0.104	0.002	0.289	0.015
ASV_88	1.743	14.616	0.742986425339367	1	NotSig	0.42	0.125	0.43	0.301	0	0.036	0.003	0.026	2.511	0.049	0.815	0.06	0.001	0.006	0.028	0.015	0.005	0.115	0.084
ASV_79	-0.321	13.811	1	1	NotSig	0.264	0.33	0.23	0.042	0.362	0.559	0.592	0.319	0.004	0.007	0.094	0.163	0.148	0.528	0.39	0.197	1.437	0.007	0.008
ASV_77	-0.51	14.233	0.595737800469115	1	NotSig	0.293	0.417	0.133	0.067	1.539	0.135	0.217	0.247	0	0.009	0.087	0.061	1.926	0.454	0.624	0.265	0.338	0	0
ASV_124	0.588	11.531	0.672974084738791	1	NotSig	0.093	0.062	0.199	0.296	0.098	0.029	0.018	0.091	0.007	0.005	0.159	0.144	0.019	0.052	0.052	0.009	0.002	0.116	0.004
ASV_99	0.64	11.121	0.500318673453934	1	NotSig	0.074	0.047	0.223	0.136	0.053	0.006	0.019	0.085	0.068	0	0.136	0.144	0.005	0.016	0.027	0.021	0	0.072	0.005
