ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_1	0.485	18.708	0.962566844919786	1	NotSig	12.357	8.83	5.559	5.685	4.241	39.807	7.76	4.29	42.824	0.878	0.167	5.384	3.701	1.802	7.122	11.202	21.711	2.75	16.966
ASV_2	-0.227	17.558	0.742986425339367	1	NotSig	5.651	6.615	2.275	4.014	6.094	3.257	7.295	11.431	16.075	0.33	0.085	4.245	1.353	0.924	6.997	5.823	19.292	3.7	10.586
ASV_4	0.16	18.452	0.4234471410942	1	NotSig	5.573	4.986	0.637	1.428	35.871	4.085	1.174	2.034	4.505	0.311	0.108	1.685	4.54	0.556	13.983	13.414	1.072	1.686	2.95
ASV_3	-0.405	17.218	0.672974084738791	1	NotSig	2.168	2.869	3.037	9.986	0.488	0.239	0.735	3.616	1.231	0.048	0.128	2.514	0.173	1.161	1.11	0.321	0.75	1.679	15.246
ASV_5	-0.483	17.258	0.480707527766351	1	NotSig	2.944	4.113	0.969	1.983	10.497	0.879	8.526	2.118	1.158	0.186	0.178	1.454	0.481	0.662	15.673	8.292	1.809	2.196	2.337
ASV_11	1.676	18.269	0.888358700123406	1	NotSig	4.091	1.28	1.948	0.604	0.029	0.152	0.92	0.277	0.17	31.595	1.127	6.631	1.62	0.677	0.075	0.312	0.124	0.38	0.425
ASV_7	0.811	15.551	0.814808720691074	1	NotSig	1.154	0.658	1.416	2.244	0.061	0.113	4.802	0.209	0.089	0.794	0.661	1.93	0.379	1.651	0.037	0.238	0.372	0.448	0.207
ASV_6	1.19	15.3	0.962566844919786	1	NotSig	1.18	0.518	0.238	0.857	0.268	3.534	4.034	1.553	0.13	0.007	0.003	0.528	0.015	0.208	0.62	0.89	0.786	0.831	0.262
ASV_8	-1.596	16.577	0.480707527766351	1	NotSig	0.489	1.477	0.81	2.169	0.046	0.064	0.743	0.099	0.026	0.297	0.146	0.891	0.241	9.775	0.078	0.326	0.194	0.092	0.22
ASV_9	1.214	14.744	0.276593994241053	1	NotSig	1.25	0.539	2.486	2.743	0.098	0.119	1.052	0.877	0.112	1.203	2.556	1.387	0.427	0.645	0.131	0.072	0.686	0.718	0.242
ASV_14	0.441	16.514	0.888358700123406	1	NotSig	1.557	1.147	1.779	1.26	0.011	0.064	0.548	0.101	0.005	0.884	9.36	3.846	3.133	1.546	0.011	0.103	0.116	0.386	0.035
ASV_13	-1.766	16.963	0.742986425339367	1	NotSig	0.639	2.172	2.982	0.389	0.086	0.133	0.239	0.315	0.114	0.853	0.635	1.149	12.774	0.262	0.063	0.061	1.7	0.215	1.149
ASV_15	0.726	17.721	0.962566844919786	1	NotSig	3.186	1.926	3.797	1.048	0.02	0.065	0.639	0.127	0.02	1.355	21.601	7.042	6.637	0.849	0.017	0.097	0.229	0.448	0.086
ASV_18	-1.601	16.215	0.888358700123406	1	NotSig	0.347	1.052	0.164	2.046	0.01	0.039	0.309	0.046	0.003	0.401	0.101	0.256	0.17	7.607	0.005	0.139	0.035	0.099	0.102
ASV_12	-0.871	15.201	0.742986425339367	1	NotSig	0.7	1.281	0.011	0.046	0.708	0.74	1.849	1.868	1.046	0.022	0.013	0.011	0	0.078	1.467	0.622	2.573	1.727	3.767
