ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_1	0.474	18.708	0.795169645264776	0.965294924060784	NotSig	12.357	8.899	5.559	5.685	4.241	39.807	7.76	4.29	42.824	0.878	0.167	5.398	1.445	3.533	3.433	9.738	9.472	3.86	24.005	7.176	1.535	9.108	2.813	2.383	6.424	0.605	8.341	35.115	4.912	16.357	10.502	24.428	12.358	20.43	5.382	6.593	13.547	4.582	3.015	2.059	8.854	12.753	13.729	8.899	2.473	1.369	20.715	18.259	1.294	0.174
ASV_2	-0.866	18.138	0.120449893394972	0.965294924060784	NotSig	5.651	10.301	2.275	4.014	6.094	3.257	7.295	11.431	16.075	0.33	0.085	10.767	2.068	4.455	1.049	2.452	1.163	11.74	2.15	0.832	11.869	6.047	2.628	28.84	21.114	3.717	10.075	14.996	21.567	15.735	2.442	25.894	13.733	7.421	23.135	17.578	4.899	19.831	4.675	15.84	4.445	4.945	10.622	10.095	3.244	25.417	7.449	18.853	7.738	0.228
ASV_4	0.662	18.452	0.876251151208846	0.965294924060784	NotSig	5.573	3.523	0.637	1.428	35.871	4.085	1.174	2.034	4.505	0.311	0.108	1.307	0.782	0.389	0.393	0.03	1.519	1.116	1	0.16	0.191	0.134	0.102	0.715	0.988	0.108	7.18	0.902	3.531	17.615	1.815	1.823	5.609	28.399	5.949	15.647	3.001	2.622	7.631	5.162	1.586	0.712	3.177	0.318	3.983	0.846	5.652	4.168	1.035	0.088
ASV_3	-0.616	17.852	0.603191669433734	0.965294924060784	NotSig	2.168	3.321	3.037	9.986	0.488	0.239	0.735	3.616	1.231	0.048	0.128	23.651	2.299	11.793	1.836	7.42	0.759	0.874	7.772	4.266	1.764	10.642	17.217	2.022	0.289	0.183	0.797	0.135	0.867	0.08	0.055	0.385	0.281	0.215	0.393	0.075	2.111	9.851	0.677	0.566	0.413	0.607	2.233	0.624	6.946	5.497	1.892	1.114	0.903	0.017
ASV_5	1.065	16.68	0.308596065185217	0.965294924060784	NotSig	2.944	1.407	0.969	1.983	10.497	0.879	8.526	2.118	1.158	0.186	0.178	0.823	1.273	0.779	0.841	2.434	1.767	1.452	0.543	0.138	0.348	0.917	0.293	0.379	0.09	0.304	1.981	2.033	1.403	0.554	0.515	0.942	2.686	0.543	4.718	0.499	3.635	0.657	1.336	0.509	0.632	0.939	0.753	1.7	2.76	9.494	2.765	0.737	0.691	0.028
ASV_11	2.014	18.269	0.67768913609453	0.965294924060784	NotSig	4.091	1.013	1.948	0.604	0.029	0.152	0.92	0.277	0.17	31.595	1.127	0.25	3.783	0.884	1.587	2.391	4.812	0.845	0.502	6.455	1.537	0.736	1.354	3.293	1.755	2.21	0.141	0.651	0.072	0.089	0.291	0.111	0.077	0.071	0.437	0.07	0.195	0.035	0.293	0.013	0.255	1.589	0.068	0.061	0.356	0.113	0.28	0.064	0.436	1.352
ASV_7	-0.634	17.577	0.658741252136477	0.965294924060784	NotSig	1.154	1.792	1.416	2.244	0.061	0.113	4.802	0.209	0.089	0.794	0.661	0.61	0.314	0.226	6.909	1.495	0.154	3.035	5.474	2.296	1.3	1.935	2.192	7.999	2.076	19.546	0.641	0.662	0.145	0.139	0.038	0.295	0.33	0.113	0.764	0.132	0.321	0.234	0.284	0.043	0.804	0.419	0.353	0.526	0.06	0.272	1.035	0.36	0.672	5.666
ASV_6	-0.393	16.609	0.389768363209152	0.965294924060784	NotSig	1.18	1.55	0.238	0.857	0.268	3.534	4.034	1.553	0.13	0.007	0.003	1.356	0.849	1.092	0.718	0.749	0.079	0.752	0.516	0.016	0.145	0.035	0.172	0.482	0.148	4.91	0.417	1.519	0.696	1.795	0.31	9.771	4.431	2.654	2.06	0.302	1.311	0.403	1.172	4.353	0.736	0.766	1.205	2.247	0.336	0.248	1.688	9.994	0.014	0.022
ASV_8	-1.188	16.275	0.375436231055647	0.965294924060784	NotSig	0.489	1.113	0.81	2.169	0.046	0.064	0.743	0.099	0.026	0.297	0.146	0.87	7.931	4.566	6.458	1.174	0.325	5.717	0.537	0.172	1.778	0.268	1.443	0.547	0.614	3.482	0.272	0.874	0.122	0.04	0.297	0.12	0.312	0.031	1.208	0.089	0.2	0.015	0.15	0.036	1.596	0.531	0.064	0.292	0.131	0.64	0.141	0.054	0.307	0.02
ASV_9	-0.42	16.525	0.896753272648184	0.965294924060784	NotSig	1.25	1.672	2.486	2.743	0.098	0.119	1.052	0.877	0.112	1.203	2.556	0.4	1.456	3.252	1.7	8.245	4.31	1.362	0.646	2.391	0.777	0.448	9.432	2.376	0.889	1.25	2.278	0.488	0.293	0.308	0.231	0.121	0.194	0.111	1.083	0.132	1.855	0.924	0.802	0.989	0.439	1.228	1.95	0.73	0.466	0.859	0.927	0.427	9.11	0.327
