ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_1	-0.593	17.868	0.601730722137587	0.794472594072282	NotSig	3.761	5.672	13.375	10.78	5.455	11.016	0.352	0.839	0.042	9.19	4.258	0.091	17.509	0.073	1.777	0.184	11.853	0.645	2.035	1.311	0.188	1.611	0.516	0.195	0.254	0.698	2.843	0.699	23.926	16.554	11.594	13.581	0.167	3.092	0.317	0.668	1.284	9.567	0.184	2.81	0.235	0.4	0.693
ASV_2	0.562	17.812	0.32725842770159	0.649900536559303	NotSig	3.769	2.552	8.236	5.475	4.824	5.822	0.191	1.129	0.053	14.134	22.539	0.001	0.019	0.008	0.184	23.014	7.219	0.685	1.718	1.999	0.052	0.479	0.036	0.07	0	0.001	0.074	0.029	4.733	5.416	7.679	8.272	1.883	1.49	1.767	1.273	2.637	1.874	0.229	0.015	0.028	0.638	0.349
ASV_4	-1.659	17.755	0.071748091701905	0.467086786746955	NotSig	1.12	3.536	0.856	4.704	10.376	4.79	0.464	0.698	0.023	1.849	0.138	0.004	0	0.105	0.134	0.012	0	0.107	0.548	0.128	0.084	0.951	0.147	0.168	0.002	0	0	2.824	22.115	12.353	8.761	3.12	0.762	1.205	1.029	0.14	0.163	1.247	0.052	0.004	0.027	2.033	0.034
ASV_3	0.178	18.011	0.718012204870049	0.831123716596152	NotSig	3.216	2.843	3.285	5.389	1.277	2.272	0.12	26.412	0.068	1.318	0.073	0.027	19.546	0.024	3.496	2.695	5.479	10.227	0.584	0.187	0.045	0.261	0.006	0.107	0	0.201	0.498	0.032	0.467	2.396	5.968	4.103	0.993	2.93	20.917	2.428	1.877	0.152	0.01	0.036	0.021	0.09	0.265
ASV_5	-0.451	15.068	0.560544272901023	0.763743269889489	NotSig	0.592	0.809	0.766	2.048	1.85	2.618	0.518	0.23	0.052	0.105	0.205	0.028	0.035	0.006	0.004	0.352	0	0.408	0.2	0.075	3.02	0.486	0.133	2.007	0	0.049	0.133	0.062	1.735	1.039	2.037	3.436	0.87	1.344	0.295	0.079	0.981	0.107	0.128	0.001	0.003	0	0.086
ASV_11	0.19	16.109	0.820192579082179	0.894274489450892	NotSig	1.425	1.249	0.682	0.63	0.1	0.135	1.008	1.328	0.14	0.007	0.146	1.019	5.672	5.276	1.264	0.005	0.119	0.264	0.038	0.638	0.116	0.428	0.502	1.394	4.821	6.548	4.563	0.2	0.403	0.267	0.244	1.367	0.323	2.268	0.526	0.69	1.233	0.008	7.069	0.038	0.006	0.023	4.272
ASV_7	-0.129	16.203	0.925445361501638	0.953660159108395	NotSig	1.613	1.764	0.952	0.58	0.294	0.511	3.51	4.211	7.542	0.001	0.371	2.612	0.268	0.163	2.323	0.001	0.191	0.068	0.566	0.466	0.861	1.301	6.23	5.342	0.596	1.723	1.238	0.021	0.096	0.403	0.868	2.012	6.313	3.919	0.491	1.57	5.52	0.007	4.584	0.09	0.015	0.006	0.569
ASV_6	0.119	16.751	0.349672682103565	0.649900536559303	NotSig	1.019	0.939	3.293	3.202	2.645	11.033	0.015	0.41	0.002	5.377	0.041	0.001	0.018	0.001	0	0.042	0.144	0.026	0.001	0.058	0.001	0.146	0.021	0.021	0	0	0	0.007	0.15	0.264	2.449	8.282	0.021	0.404	0.46	0.331	0.007	1.667	0.019	0	0.009	0	0.023
ASV_8	-0.541	16.249	0.357413700397543	0.649900536559303	NotSig	0.859	1.25	1.461	1.262	0.385	0.547	0.152	2.535	0.001	0	0.284	0.003	0.037	0.389	0.003	0.028	0.004	0.031	0.1	0.164	1.038	1.541	0.55	2.874	5.655	1.016	2.224	0.042	0.116	0.238	3.221	1.355	1.567	0.272	1.439	0.574	0.045	0	0.506	0.045	0.236	1.343	7.789
ASV_9	-0.007	15.875	0.904233027587931	0.953660159108395	NotSig	1.19	1.195	2.666	0.89	0.186	0.293	0.241	2.585	0.06	0.028	0.148	0.471	0.931	0.792	0.403	0.003	1.789	1.933	0.138	0.831	0.529	6.011	0.743	4.725	0.602	0.778	0.557	2.6	0.362	0.375	1.039	0.335	2.037	3.013	0.91	0.189	3.06	0.056	0.691	0.199	0.003	5.401	0.259
