ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	IS03P020	IS03P027	IS03P033	IS03P038	IS03P039	IS03P043	IS03P052	IS03P053	IS03P062	IS03P069	IS03P070	IS03P081	IS03P082	IS03P083
ASV_1	-0.731	17.526	0.180289573969772	0.338543755565462	NotSig	3.761	6.242	13.375	10.78	5.455	11.016	0.352	0.839	0.042	9.19	4.258	0.091	17.509	0.073	1.777	0.184	11.853	0.645	2.035	1.311	0.188	1.611	0.516	0.195	0.254	0.698	2.843	0.699	7.266	12.853	6.493	9.103	6.478	10.534	0.447	0.054	3.83	18.874	7.61	0.427	0.229	3.189
ASV_2	-0.827	18.383	0.0194667415773943	0.103513508675681	Depleted	3.769	6.685	8.236	5.475	4.824	5.822	0.191	1.129	0.053	14.134	22.539	0.001	0.019	0.008	0.184	23.014	7.219	0.685	1.718	1.999	0.052	0.479	0.036	0.07	0	0.001	0.074	0.029	14.458	3.443	5.379	3.005	7.822	9.023	0.917	0.448	1.565	5.13	34.182	1.353	0.534	6.326
ASV_4	-0.556	16.663	0.0554999291099084	0.154529108299393	NotSig	1.12	1.646	0.856	4.704	10.376	4.79	0.464	0.698	0.023	1.849	0.138	0.004	0	0.105	0.134	0.012	0	0.107	0.548	0.128	0.084	0.951	0.147	0.168	0.002	0	0	2.824	0.376	0.881	4.52	2.633	7.993	1.177	0.232	0.099	0.313	0.495	0.636	0.443	0.081	3.164
ASV_3	-0.531	18.011	0.407580345319818	0.578832591252515	NotSig	3.216	4.647	3.285	5.389	1.277	2.272	0.12	26.412	0.068	1.318	0.073	0.027	19.546	0.024	3.496	2.695	5.479	10.227	0.584	0.187	0.045	0.261	0.006	0.107	0	0.201	0.498	0.032	5.216	17.163	3.001	0.789	2.408	25.546	0.266	0.185	0.172	0.28	0.115	0.14	0.021	9.759
ASV_5	-1.463	15.695	0.0208252029288353	0.103513508675681	Depleted	0.592	1.632	0.766	2.048	1.85	2.618	0.518	0.23	0.052	0.105	0.205	0.028	0.035	0.006	0.004	0.352	0	0.408	0.2	0.075	3.02	0.486	0.133	2.007	0	0.049	0.133	0.062	3.819	0.644	2.629	5.303	3.826	3.127	0.04	0.03	0.1	0.841	0.552	0.862	0.119	0.956
ASV_11	1.443	15.999	0.623888372474176	0.739020700703442	NotSig	1.425	0.524	0.682	0.63	0.1	0.135	1.008	1.328	0.14	0.007	0.146	1.019	5.672	5.276	1.264	0.005	0.119	0.264	0.038	0.638	0.116	0.428	0.502	1.394	4.821	6.548	4.563	0.2	0.736	0.172	1.263	0.126	0.069	0.599	0.184	0.144	0.388	1.289	0.544	0.963	0.449	0.411
ASV_7	0.656	16.203	0.623888372474176	0.739020700703442	NotSig	1.613	1.024	0.952	0.58	0.294	0.511	3.51	4.211	7.542	0.001	0.371	2.612	0.268	0.163	2.323	0.001	0.191	0.068	0.566	0.466	0.861	1.301	6.23	5.342	0.596	1.723	1.238	0.021	2.004	0.117	2.481	0.434	0.116	0.714	0.239	1.966	0.196	0.666	0.112	0.824	0.395	4.07
ASV_6	-2.36	17.91	0.00618784814399492	0.080442025871934	Depleted	1.019	5.233	3.293	3.202	2.645	11.033	0.015	0.41	0.002	5.377	0.041	0.001	0.018	0.001	0	0.042	0.144	0.026	0.001	0.058	0.001	0.146	0.021	0.021	0	0	0	0.007	1.734	0.216	4.132	24.636	1.125	7.843	0.086	0.001	21.361	0.186	0.057	0.107	0.021	11.751
ASV_8	0.086	15.787	0.242627679870643	0.414182605031704	NotSig	0.859	0.809	1.461	1.262	0.385	0.547	0.152	2.535	0.001	0	0.284	0.003	0.037	0.389	0.003	0.028	0.004	0.031	0.1	0.164	1.038	1.541	0.55	2.874	5.655	1.016	2.224	0.042	1.958	0.187	1.576	0.592	0.322	0.324	0.866	3.094	0.078	0.627	0.467	0.659	0.256	0.321
ASV_9	0.15	15.875	0.855607639911751	0.915175260411937	NotSig	1.19	1.072	2.666	0.89	0.186	0.293	0.241	2.585	0.06	0.028	0.148	0.471	0.931	0.792	0.403	0.003	1.789	1.933	0.138	0.831	0.529	6.011	0.743	4.725	0.602	0.778	0.557	2.6	1.52	0.801	0.814	0.256	0.29	0.281	0.338	0.094	0.155	0.776	4.169	1.399	3.887	0.23
