ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HG00P003	HG00P010	HG00P011	HG00P012	HG00P014	HG00P021	HG00P022	HG00P023	HG00P024	HG00P025	HG00P026	HG00P028	HG00P046	HG00P047	HG00P048	HG00P050	HG00P051	HG00P055	HG00P056	HG00P058	HG00P059	HG00P061	HG00P063	HG00P064	HG00P066	HG00P071	HG00P072	HG00P073	HG00P074	HG00P075	HG00P077	HG00P078	HG00P082	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_1	-0.171	18.422	0.392670995154852	1	NotSig	7.906	8.899	1.006	7.501	9.457	7.031	1.644	3.9	0.984	0.506	1.412	1.779	1.259	0.623	17.091	32.834	21.85	4.018	12.816	7.9	27.951	9.092	6.758	7.807	5.093	5.662	3.624	9.593	13.65	5.803	2.077	2.224	23.263	4.207	0.501	5.398	1.445	3.533	3.433	9.738	9.472	3.86	24.005	7.176	1.535	9.108	2.813	2.383	6.424	0.605	8.341	35.115	4.912	16.357	10.502	24.428	12.358	20.43	5.382	6.593	13.547	4.582	3.015	2.059	8.854	12.753	13.729	8.899	2.473	1.369	20.715	18.259	1.294	0.174
ASV_2	-0.234	18.271	0.183488526757135	1	NotSig	8.76	10.301	2.12	9.681	3.955	0.646	1.07	1.869	0.92	0.6	1.13	0.992	2.293	2.693	9.99	1.546	31.642	30.146	7.732	17.625	16.121	29.908	9.087	8.285	2.294	9.855	19.715	12.344	15.179	4.883	9.565	2.037	7.534	15.513	0.122	10.767	2.068	4.455	1.049	2.452	1.163	11.74	2.15	0.832	11.869	6.047	2.628	28.84	21.114	3.717	10.075	14.996	21.567	15.735	2.442	25.894	13.733	7.421	23.135	17.578	4.899	19.831	4.675	15.84	4.445	4.945	10.622	10.095	3.244	25.417	7.449	18.853	7.738	0.228
ASV_4	-0.33	18.115	0.761688845525224	1	NotSig	2.802	3.523	0.604	0.413	0.361	1.362	0.284	1.118	0.237	0.073	0.1	0.669	0.133	0.217	6.078	2.202	1.589	4.607	7.961	26.381	4.176	2.742	1.006	1.428	0.382	1.591	1.028	5.628	0.373	1.186	1.775	6.486	4.779	4.69	0.823	1.307	0.782	0.389	0.393	0.03	1.519	1.116	1	0.16	0.191	0.134	0.102	0.715	0.988	0.108	7.18	0.902	3.531	17.615	1.815	1.823	5.609	28.399	5.949	15.647	3.001	2.622	7.631	5.162	1.586	0.712	3.177	0.318	3.983	0.846	5.652	4.168	1.035	0.088
ASV_3	-0.402	17.852	0.866223537251602	1	NotSig	2.513	3.321	2.402	1.477	1.778	0.199	1.207	2.685	2.003	1.719	1.78	0.376	0.342	0.232	0.172	0.054	1.026	0.084	0.288	0.096	1.014	0.661	0.173	1.981	5.222	3.108	0.81	3.419	1.028	15.157	7.906	13.271	9.538	1.648	0.063	23.651	2.299	11.793	1.836	7.42	0.759	0.874	7.772	4.266	1.764	10.642	17.217	2.022	0.289	0.183	0.797	0.135	0.867	0.08	0.055	0.385	0.281	0.215	0.393	0.075	2.111	9.851	0.677	0.566	0.413	0.607	2.233	0.624	6.946	5.497	1.892	1.114	0.903	0.017
ASV_5	0.614	16.961	0.719257007762445	1	NotSig	2.155	1.407	0.956	1.195	1.196	0.836	0.214	2.062	0.114	0.036	0.222	0.078	0.216	0.186	0.436	6.234	1.11	0.484	3.3	0.339	1.686	4.548	7.08	5.547	1.29	1.406	0.532	1.513	1.692	1.187	9.542	0.991	1.822	12.754	0.299	0.823	1.273	0.779	0.841	2.434	1.767	1.452	0.543	0.138	0.348	0.917	0.293	0.379	0.09	0.304	1.981	2.033	1.403	0.554	0.515	0.942	2.686	0.543	4.718	0.499	3.635	0.657	1.336	0.509	0.632	0.939	0.753	1.7	2.76	9.494	2.765	0.737	0.691	0.028
ASV_11	0.76	16.844	0.637016931734519	1	NotSig	1.716	1.013	0.93	0.529	0.324	9.325	1.67	11.761	1.575	0.451	0.966	2.32	6.128	2.196	0.063	0.2	0.397	0.046	0.325	0.049	0.128	0.468	0.428	0.148	2.182	0.373	0.004	0.194	0.14	0.632	0.086	0.061	2.564	0.108	9.869	0.25	3.783	0.884	1.587	2.391	4.812	0.845	0.502	6.455	1.537	0.736	1.354	3.293	1.755	2.21	0.141	0.651	0.072	0.089	0.291	0.111	0.077	0.071	0.437	0.07	0.195	0.035	0.293	0.013	0.255	1.589	0.068	0.061	0.356	0.113	0.28	0.064	0.436	1.352
ASV_7	-0.014	17.577	0.694192724389662	1	NotSig	1.774	1.792	0.259	1.072	1.252	0.094	3.203	15.375	1.303	1.285	3.437	2.701	5.303	12.042	0.288	0.106	0.917	0.108	0.217	0.1	0.307	0.697	0.343	0.332	4.487	0.177	0.069	0.914	0.139	0.089	0.555	0.183	0.307	0.22	0.665	0.61	0.314	0.226	6.909	1.495	0.154	3.035	5.474	2.296	1.3	1.935	2.192	7.999	2.076	19.546	0.641	0.662	0.145	0.139	0.038	0.295	0.33	0.113	0.764	0.132	0.321	0.234	0.284	0.043	0.804	0.419	0.353	0.526	0.06	0.272	1.035	0.36	0.672	5.666
ASV_6	-0.182	16.609	0.787501213841377	1	NotSig	1.367	1.55	0.522	3.677	1.372	1.465	0.17	1.435	0.017	0.009	0.693	0.18	0.179	0.207	0.792	0.191	1.248	7.158	3.97	0.697	4.838	1.487	0.461	0.693	0.216	2.462	2.074	1.174	1.971	1.112	0.422	2.291	0.517	1.372	0.025	1.356	0.849	1.092	0.718	0.749	0.079	0.752	0.516	0.016	0.145	0.035	0.172	0.482	0.148	4.91	0.417	1.519	0.696	1.795	0.31	9.771	4.431	2.654	2.06	0.302	1.311	0.403	1.172	4.353	0.736	0.766	1.205	2.247	0.336	0.248	1.688	9.994	0.014	0.022
ASV_8	-1.105	16.275	0.424643999663351	1	NotSig	0.518	1.113	2.327	0.765	0.664	0.068	0.595	0.43	0.109	0.041	0.746	0.581	1.019	1.009	0.053	0.551	0.167	0.048	0.215	0.043	0.105	2.938	0.891	0.52	0.127	0.044	0.01	0.062	0.146	0.054	0.742	0.117	0.456	0.991	0.448	0.87	7.931	4.566	6.458	1.174	0.325	5.717	0.537	0.172	1.778	0.268	1.443	0.547	0.614	3.482	0.272	0.874	0.122	0.04	0.297	0.12	0.312	0.031	1.208	0.089	0.2	0.015	0.15	0.036	1.596	0.531	0.064	0.292	0.131	0.64	0.141	0.054	0.307	0.02
ASV_9	-0.451	16.606	0.327592845993544	1	NotSig	1.223	1.672	0.388	0.794	4.614	2.154	0.677	0.282	0.452	0.365	0.937	1.349	0.381	0.38	1.614	0.543	0.907	0.112	0.821	0.043	0.173	3.937	1.043	0.813	0.774	0.963	0.165	0.928	0.476	1.195	0.898	0.256	0.37	1.566	9.977	0.4	1.456	3.252	1.7	8.245	4.31	1.362	0.646	2.391	0.777	0.448	9.432	2.376	0.889	1.25	2.278	0.488	0.293	0.308	0.231	0.121	0.194	0.111	1.083	0.132	1.855	0.924	0.802	0.989	0.439	1.228	1.95	0.73	0.466	0.859	0.927	0.427	9.11	0.327
ASV_14	0.081	16.682	0.866223537251602	1	NotSig	1.05	0.993	3.026	0.641	0.317	1.368	5.361	1.155	1.164	1.179	0.864	6.643	5.122	3.698	0.072	0.105	0.145	0.062	0.217	0.01	0.072	0.186	0.374	0.682	0.289	0.107	0.004	0.357	0.105	0.1	0.12	0.123	0.033	0.037	0.904	0.542	0.504	0.183	1.368	0.403	2.639	2.054	2.274	3.56	1.13	2.107	1.007	1.238	0.677	4.019	0.088	0.117	0.031	0.121	0.065	0.041	0.072	0.028	0.198	0.032	0.493	0.037	0.195	0.021	0.262	0.141	1.432	0.126	0.081	0.068	0.212	0.036	0.603	10.512
ASV_13	-0.578	16.1	0.629010712150633	1	NotSig	0.769	1.148	0.167	2.274	1.05	1.042	0.214	0.123	2.157	0.694	1.614	1.415	3.875	0.524	1.701	0.07	0.045	0.689	1.359	0.075	0.2	0.581	0.382	0.955	0.003	0.34	0.087	0.343	0.199	0.217	0.452	0.121	0.259	0.247	1.901	5.477	0.279	0.163	0.528	0.083	3.411	1.717	3.33	7.022	5.197	1.638	0.405	0.525	1.171	0.616	0.237	0.083	0.12	0.902	0.171	0.102	0.13	0.078	0.525	1.195	0.712	0.254	0.473	0.04	0.808	0.314	3.858	0.287	0.11	0.367	0.41	0.517	0.274	1.25
