H	I	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae	0.00138162801535671	0.00557142857142857	0.00207568811446833	0.536915742023758
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae	0.00142824014680523	0.00497642857142857	0.00205342098230762	0.76883666994676
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae	0.00167366237068047	0.00155055555555556	0.00166767651696244	0.758169794403876
Bacteria|Unassigned|Unassigned|Unassigned|Unassigned	0.000914938109967387	0.00492261904761905	0.00160956865957031	0.545705020384115
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	0.00068033057890495	0.00357619047619048	0.00140657649741492	0.612266636615595
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI	0.00185699532908525	-0.00109571428571429	0.00137884239238244	0.339652137729395
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae	0.000935870475269385	0.00292452380952381	0.00121863424376881	0.591553420884812
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	0.00109544241016956	-6.66666666666669e-06	0.00096814700229393	0.60751017887327
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae	0.0009978349100733	-3.91269841269839e-05	0.000825780809943098	0.340541460083183
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae	0.000615412552409726	0.000699761904761905	0.000745113812467942	0.600640169404914
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned	0.00107953959767219	-0.000698333333333334	0.000710006169794682	0.340567905984439
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Methylophilaceae	-6.48968775375425e-05	0.00375031746031746	0.000705860913105459	0.491129089264296
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae	0.000826051297000212	-0.000280714285714286	0.00058032042631229	0.243762531056846
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	0.000488820064397396	0.000161904761904762	0.000513300230971565	0.538498761225396
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae	0.00103398252512756	-0.00228968253968254	0.000480427217717383	0.252871112005175
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae	0.000821407936322662	-0.001425	0.000453900188460167	0.260244607077502
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	0.000762609782673318	-0.00139126984126984	0.000382221014623406	0.162969353160391
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	0.000974153497330507	-0.00228857142857143	0.000342833524956223	0.551878063325043
