#OTUID	IE03P013	IE03P020	IE03P027	IE03P052	IE03P053	IE03P062	IE03P069	IE03P070	IE07P013	IE07P020	IE07P027	IE07P052	IE07P053	IE07P062	IE07P069	IE07P070	IG00P013	IG00P020	IG00P052	IG00P053	IG00P062	IG00P069	IG00P070	IS00P013	IS00P020	IS00P027	IS00P033	IS00P038	IS00P039	IS00P043	IS00P052	IS00P053	IS00P062	IS00P069	IS00P070	IS00P081	IS00P083	IS03P020	IS03P027	IS03P033	IS03P038	IS03P039	IS03P043	IS03P052	IS03P053	IS03P062	IS03P069	IS03P070	IS03P081	IS03P082	IS03P083	IS07P013	IS07P020	IS07P027	IS07P033	IS07P038	IS07P039	IS07P043	IS07P052	IS07P053	IS07P062	IS07P069	IS07P070
ASV_1	188	344	99	645	2068	1191	794	653	501	317	106	538	921	404	751	1498	124	219	2810	311	440	781	399	1192	199	2815	507	985	1381	1470	403	31	19	148	193	493	863	764	1293	665	926	603	1089	36	4	390	1883	791	47	29	309	740	191	820	642	745	532	996	211	4	230	233	187
ASV_2	99	136	142	630	295	2032	672	356	1276	484	192	604	359	1210	776	3870	141	310	824	597	924	874	433	2811	2240	510	652	475	985	1365	3338	19	74	446	625	1253	142	1388	344	513	333	791	924	89	46	151	537	3414	133	51	673	2697	2071	450	738	453	417	1142	294	15	912	1064	108
ASV_4	12	60	27	1395	931	855	191	699	70	83	12	1162	2013	1419	787	202	11	91	115	1893	122	403	448	126	115	59	495	628	1597	424	41	243	58	14	168	120	40	33	94	467	241	768	117	30	8	44	57	70	47	12	317	422	76	106	644	762	1409	222	226	9	6	113	21
ASV_3	21	122	893	18	15	18	1262	96	30	799	64	12	398	30	59	29	93	51	27	18	1688	605	124	69	441	1023	146	94	191	1389	46	441	1	4	11	30	11	513	1720	325	91	254	2475	25	15	14	24	13	18	1	965	202	950	1551	140	136	134	1027	1521	27	4	121	11
ASV_5	43	106	8	292	152	338	137	107	27	158	28	715	686	898	264	79	57	41	82	352	691	179	244	154	419	16	113	290	215	384	425	96	17	30	366	865	3	384	82	258	520	368	331	2	2	4	71	57	81	14	85	368	436	105	185	1034	962	546	54	15	151	185	126
ASV_11	85	151	178	24	213	17	76	3	68	83	201	12	42	12	6	3	277	74	66	5	53	39	1	23	100	9	23	9	7	5	41	595	12	244	2807	58	2	76	17	147	14	10	69	32	16	42	116	57	91	50	46	21	43	66	14	11	7	67	256	174	202	543	2092
ASV_7	1961	148	199	24	64	8	36	36	124	204	291	4	30	5	36	20	765	69	24	5	16	38	71	158	36	7	89	27	13	10	21	55	50	26	142	8	5	183	12	266	46	13	59	19	204	21	55	14	81	35	385	38	29	43	84	57	9	82	108	128	701	91	136
ASV_6	12	34	26	542	63	1544	412	21	22	98	20	233	58	456	33	209	50	11	134	433	1050	419	30	49	423	15	352	1041	294	270	37	0	19	13	7	1867	148	186	19	419	2451	105	787	8	0	2158	18	6	9	1	1253	109	590	20	253	1479	183	1253	11	0	10	20	4
ASV_8	40	245	33	11	17	10	7	8	53	337	37	20	22	12	7	1	99	38	49	11	176	4	44	34	153	1	183	38	15	34	257	92	18	967	152	30	0	188	20	177	64	33	32	72	304	8	66	47	66	23	32	58	184	35	56	149	54	65	170	3644	1627	56	15
ASV_9	60	243	169	7	27	29	47	25	416	444	56	11	42	74	33	7	142	84	30	10	383	52	93	39	95	11	49	18	12	23	37	808	2800	106	272	27	3	150	69	78	28	32	26	29	8	18	70	438	138	363	28	100	307	120	32	91	53	27	836	34	468	53	46
ASV_14	79	126	334	3	40	16	7	1	79	120	597	4	11	17	7	2	245	209	17	9	20	9	11	67	64	5	15	4	4	5	34	171	17	35	75	7	1	101	5	31	15	6	16	83	62	45	84	12	625	477	11	44	44	25	8	4	9	21	151	169	129	142	179
ASV_13	17	29	239	7	10	14	11	5	41	22	62	16	14	100	12	22	25	26	11	9	7	20	15	38	34	9	113	20	7	22	73	22	121	9	199	2	19	19	4	42	6	20	25	1109	15	278	122	827	328	9	3	51	12	6	48	11	7	31	223	24	107	169	57
