OTUID	All	med	post	pre
ASV_189	0.172502	0.1756162	0.2246039	0.1215102
ASV_92	0.156156	0.05595084	0.17030149	0.25041199
ASV_82	0.186924	0.1296608	0.2134859	0.2238856
ASV_95	0.189154	0.1921644	0.2527527	0.1277584
ASV_110	0.162129	0.16228702	0.07498289	0.24167352
ASV_80	0.153403	0.111061620	0.363336835	0.006664465
ASV_114	0.145828	0.21791987	0.06348241	0.14402893
ASV_199	0.14469	0.16030015	0.04428741	0.21983201
ASV_159	0.164273	0.1133602	0.2092713	0.1775772
ASV_116	0.196707	0.1960381	0.2277632	0.1690133
ASV_122	0.175488	0.1010358	0.2917535	0.1487843
ASV_120	0.168831	0.1393824	0.2047480	0.1674788
ASV_91	0.152286	0.1471945	0.1795790	0.1327681
ASV_152	0.156332	0.1634841	0.1237847	0.1784536
ASV_129	0.153813	0.17710036	0.21782243	0.07034919
ASV_176	0.152127	0.1349535	0.1543259	0.1684875
ASV_200	0.163093	0.1706514	0.1769973	0.1422873
ASV_103	0.146077	0.1580291	0.1573211	0.1230048
ASV_154	0.147699	0.21464727	0.13449064	0.08816249
ASV_148	0.148851	0.11769653	0.31332792	0.03172652
ASV_209	0.14852	0.1363040	0.1279365	0.1804164
ASV_115	0.148009	0.1449780	0.1934840	0.1096552
ASV_188	0.134335	0.09376300	0.08037371	0.22709687
ASV_203	0.12611	0.08031779	0.07068581	0.22579614
ASV_146	0.134399	0.1604746	0.1131799	0.1259131
ASV_142	0.15605	0.08911316	0.12913338	0.25227735
ASV_143	0.142829	0.1558679	0.1596054	0.1135354
ASV_108	0.143999	0.07647911	0.13365153	0.22569495
ASV_123	0.131229	0.1065152	0.1077935	0.1791040
ASV_125	0.125103	0.04451454	0.16260444	0.17701079
ASV_407	0.118017	0.05319870	0.24063059	0.07519853
ASV_141	0.123465	0.12185693	0.15555084	0.09583611
ASV_127	0.131022	0.1463486	0.1033014	0.1399839
ASV_140	0.138066	0.1147747	0.2026903	0.1038697
ASV_135	0.123113	0.1090410	0.1617132	0.1028566
ASV_147	0.124525	0.1380882	0.1286972	0.1061977
ASV_158	0.127719	0.18746864	0.11474668	0.07566835
ASV_220	0.12035	0.1335790	0.1262010	0.1008452
ASV_197	0.097769	0.1048762	0.0264268	0.1554232
ASV_134	0.108555	0.15954803	0.08157621	0.07868395
ASV_207	0.111107	0.12156310	0.06827687	0.13909876
ASV_101	0.132348	0.24388078	0.08082380	0.06016313
ASV_145	0.099178	0.05516223	0.07289535	0.17030735
ASV_167	0.116366	0.1211868	0.1115443	0.1156203
ASV_149	0.108895	0.12541073	0.13102055	0.07098867
ASV_870	0.119842	0.1118719	0.1389224	0.1109149
ASV_210	0.103023	0.10401231	0.12519912	0.08167918
ASV_157	0.107593	0.06116548	0.03164511	0.22673096
ASV_319	0.095069	0.05170082	0.05012548	0.18257461
ASV_144	0.107168	0.10440562	0.06436551	0.14927556
ASV_121	0.105083	0.08561647	0.11690449	0.11509567
ASV_311	0.104048	0.11763723	0.10545622	0.08822145
ASV_166	0.14288	0.09543452	0.29396166	0.05543601
ASV_177	0.100507	0.07242604	0.16704783	0.06968146
ASV_208	0.09795	0.09521947	0.10220408	0.09697869
ASV_150	0.090722	0.08646281	0.13174198	0.05775724
ASV_133	0.09663	0.09579804	0.10391236	0.09085906
ASV_187	0.098756	0.09600888	0.09099373	0.10879387
ASV_212	0.090003	0.05692675	0.05631856	0.15620001
ASV_235	0.103527	0.10155613	0.11841856	0.09201498
ASV_165	0.085078	0.05902741	0.05790206	0.13780599
ASV_221	0.09331	0.09007555	0.09702639	0.09337059
ASV_151	0.10353	0.14956956	0.08662925	0.06973901
ASV_169	0.104648	0.12198282	0.11696204	0.07483979
ASV_139	0.085297	0.14941022	0.02684255	0.07018207
ASV_193	0.090353	0.14872074	0.03438115	0.07911219
ASV_202	0.089878	0.10271455	0.09431225	0.07209011
ASV_186	0.083743	0.08123529	0.07464999	0.09474446
ASV_163	0.089689	0.08622982	0.12818443	0.05817788
ASV_247	0.091009	0.14585731	0.05430121	0.06591189
ASV_294	0.089039	0.07649286	0.03430272	0.15253029
ASV_182	0.082228	0.15112065	0.05531338	0.03314780
ASV_128	0.101536	0.13613564	0.08239116	0.08203534
ASV_161	0.091529	0.09266483	0.11223524	0.07137340
ASV_278	0.079006	0.06730640	0.04100754	0.12627939
ASV_168	0.088173	0.06361242	0.04289675	0.15586148
ASV_245	0.090463	0.10772903	0.08202416	0.07971234
