#OTUID	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	DE07P016	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076	DE08P017	DE10P016	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	DS04P138	DS04P194	DS04P86	DS05P114	DS05P196	DS06P140	DS06P180	DS07P016	DS07P037	DS07P049	DS07P054	DS07P060	DS07P065	DS07P076	DS07P172	DS07P193	DS08P017	DS08P191	DS10P016	DS10P049	DS10P054	DS10P166
ASV_1	562	541	413	3971	787	434	4170	97	17	572	679	1151	2219	275	1658	169	347	1183	316	429	775	1887	641	19	26	370	1106	113	16	63	769	39	62	23	22	280	2	125	52	77	242	178	1401	1039	548	1157	33	78	5	951	415	203	121	16	174	55	16	30	65	284	66	8	1184	4	1801	68	200	21	2355	1376	20	31	123	952	27	23	69	1167	42	1617	304	65	296
ASV_2	227	396	578	350	704	1164	1596	28	14	435	657	608	1842	385	1068	97	146	221	190	411	375	1033	795	23	37	334	505	124	38	116	870	216	0	19	21	15	1	3	249	3	142	81	801	568	493	536	26	119	3	1401	2338	160	201	7	46	6	4	0	0	13	2	0	752	0	2	74	20	2371	493	768	167	174	280	186	19	3	38	715	67	528	165	135	5
ASV_4	56	137	3619	398	134	204	461	28	7	169	1443	1347	108	163	298	61	442	244	28	3571	1568	36	534	6	53	1325	128	828	8	276	66	12	0	2	5	3	0	1	0	0	1	8	91	459	1057	474	48	62	2	183	11	50	9	11	92	21	18	0	0	0	276	4	0	0	0	12	7	1	2235	321	64	99	19	136	5	2	6	875	201	1240	117	13	0
ASV_3	319	996	40	25	82	371	119	2	9	268	100	35	71	175	1517	123	20	443	76	34	524	32	679	9	34	144	258	1151	10	17	340	7	2	17	0	0	0	78	441	1	225	534	286	536	124	215	20	2652	9	132	10	66	14	4	29	1	5	0	17	45	2	0	558	1	1874	1018	374	257	52	404	106	2100	191	10	0	1	34	598	6	237	279	235	3
ASV_5	104	195	1017	85	810	213	126	11	12	154	1571	837	170	196	226	74	55	104	92	933	504	1191	457	9	14	249	214	79	31	388	396	38	3	18	0	9	0	2	546	2	20	1	60	236	204	277	42	21	3	8	17	16	11	308	52	10	171	0	2	13	4	1	0	4	4	41	0	33	176	345	82	27	92	16	10	0	6	197	0	113	134	10	0
ASV_11	212	60	1	22	76	25	16	3102	112	684	8	22	8	40	40	75	162	355	84	7	109	27	11	607	167	9	9	100	154	171	13	87	34	798	1832	63	58	134	83	110	194	12	77	69	11	15	99	137	14	0	16	2	63	12	35	48	139	472	608	468	18	549	17	108	568	18	127	0	26	132	27	57	125	1	707	0	452	25	4	26	235	69	3
ASV_7	114	214	5	11	474	13	2	71	58	200	4	20	34	56	19	169	38	75	1717	3	51	76	30	178	175	25	104	218	119	205	6	1529	242	139	205	133	123	222	75	245	153	2	97	54	32	49	366	412	699	0	37	54	54	94	120	656	548	68	148	133	1	9	18	244	16	5	207	0	7	200	607	69	550	1	466	1	57	86	3	53	432	175	12
ASV_6	23	95	26	347	401	158	11	2	0	60	62	91	79	81	34	21	1	13	19	33	49	99	164	2	0	195	1051	5	0	3	330	4	0	0	0	2	0	0	23	0	0	3	350	313	266	1078	1	37	0	560	5	0	5	0	16	1	2	0	0	0	1	0	12	0	1	4	0	3	13	837	3	46	0	173	2	0	3	254	0	30	48	44	0
ASV_8	65	212	1	8	84	9	1	40	13	91	8	32	16	12	19	961	18	29	69	5	41	85	80	12	6	52	32	12	299	21	11	590	181	432	0	1	156	345	680	0	4	1	123	109	33	41	12	263	0	0	28	9	14	98	144	56	279	546	109	243	4	41	1	1	4	3	1	6	11	151	165	163	5	0	37	26	724	316	142	20	35	62	3
ASV_9	259	250	15	10	98	80	17	115	236	152	10	6	59	79	28	70	36	80	128	12	43	39	141	157	1511	22	22	292	116	324	62	224	105	412	0	12	1	214	150	130	111	203	239	86	17	33	16	274	10	3	21	9	87	43	594	74	462	74	79	65	256	73	170	40	90	198	40	0	39	29	206	91	334	3	67	2	25	124	534	42	299	23	18
ASV_14	201	114	1	10	41	13	0	100	940	396	1	10	16	36	4	139	332	102	473	5	28	16	39	905	370	8	5	159	91	140	1	213	10	79	2	258	139	92	12	412	415	4	55	84	11	12	437	110	47	1	30	1	5	4	152	4	25	143	16	24	52	129	31	171	120	1	1	1	31	17	705	157	79	4	1192	14	274	82	0	83	329	70	440
ASV_13	283	48	9	17	22	43	13	86	64	116	6	6	176	25	119	16	1364	343	24	19	18	13	77	226	278	17	6	327	56	174	4	78	8	122	11	539	3	70	94	42	244	503	39	19	30	27	38	47	1	1	319	27	154	5	18	1	8	14	0	9	75	359	20	22	0	29	0	609	69	11	67	36	13	2	27	55	99	21	205	67	213	415	394
ASV_15	377	110	3	7	74	14	2	128	2191	686	2	14	20	48	8	94	642	128	199	6	16	20	42	692	394	5	13	197	555	339	1	265	64	7	40	208	24	52	6	331	53	192	53	23	6	5	525	68	72	0	37	0	3	2	41	4	12	99	9	4	10	18	25	35	2	1	6	0	15	22	262	148	69	1	1459	10	401	32	1	43	398	115	114
ASV_18	20	195	1	9	26	11	1	43	7	20	0	10	4	9	10	802	18	36	288	1	29	43	27	4	7	18	12	3	176	186	6	6	8	20	556	0	180	1	172	51	36	0	23	299	18	13	1114	791	1454	0	13	13	9	6	19	25	12	27	48	72	4	4	0	390	177	0	527	1	0	10	76	1312	1562	0	9	15	594	241	16	12	5	9	0
ASV_12	2	8	76	84	201	177	102	1	1	1	136	67	249	160	380	6	0	2	0	80	478	97	346	1	0	450	57	4	0	0	53	2	2	0	7	0	0	0	0	0	0	3	9	76	1019	57	0	47	0	22	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	23	48	0	144	1	10	0	0	2	196	0	12	4	21	0
ASV_22	2	3	64	22	5	14	26	50	16	44	107	58	9	7	29	4	1323	7	2	71	53	8	12	110	20	99	11	130	17	300	0	6	0	36	0	0	1	0	246	1	0	15	8	12	69	40	9	29	1	3	2	149	1	0	5	3	20	0	0	0	295	4	0	1	0	179	0	0	78	34	38	12	1	1	2	0	513	20	3	108	189	10	4
ASV_25	112	6	41	80	60	202	64	77	11	9	6	102	96	85	112	12	132	111	5	33	215	34	90	23	79	515	49	82	3	8	24	25	0	1	3	17	2	50	6	3	22	557	39	49	355	72	12	7	0	8	65	58	6	2	0	0	0	0	0	0	11	3	2	1	0	32	0	1508	44	67	51	14	4	8	2	30	2	92	3	57	40	65	9
