OTUID	All	D	H	I
ASV_1	7.083727	5.457845	7.797845	6.516650
ASV_2	6.547175	3.586739	7.127828	8.244638
ASV_4	3.087455	3.125846	2.899499	3.749918
ASV_3	3.00037	2.642079	2.961577	3.619575
ASV_5	1.920123	1.676397	1.865437	2.448683
ASV_11	1.455845	1.869841	1.280688	1.574905
ASV_7	1.555951	1.751457	1.575653	1.223634
ASV_6	1.657408	0.9067833	1.4465542	3.4462349
ASV_8	1.319237	1.067668	1.321671	1.641437
ASV_9	1.423771	1.320268	1.396399	1.663972
ASV_14	1.198969	1.3841593	1.2412328	0.7946558
ASV_13	1.170471	1.1067608	1.2901829	0.8002591
ASV_15	1.101252	1.4791848	0.9198659	1.2914573
ASV_18	0.860584	1.4441563	0.7982952	0.3280506
ASV_12	0.882556	0.5884075	0.9694705	0.9403620
ASV_22	0.848783	0.5825996	0.8669509	1.1305438
ASV_25	0.813583	0.7163449	0.8113887	0.9500173
ASV_23	0.757437	0.6131751	0.8303011	0.6710769
ASV_17	0.73369	0.6331046	0.7681425	0.7355043
ASV_20	0.709129	0.2057869	0.8711260	0.7577050
ASV_38	0.665793	0.8813584	0.6677920	0.3742098
ASV_16	0.732162	0.3311480	0.8016115	0.9970174
ASV_26	0.653198	1.3463481	0.4734182	0.4220220
ASV_10	0.434631	0.2290802	0.4687780	0.5758958
ASV_27	0.536294	0.5721851	0.5329361	0.5017483
ASV_21	0.562421	0.2821056	0.7049694	0.3909475
ASV_65	0.533493	0.6848507	0.5162977	0.3993152
ASV_40	0.513482	0.4029773	0.5789704	0.4106293
ASV_54	0.505681	0.5567087	0.5241216	0.3684955
ASV_35	0.49023	0.2832311	0.5939274	0.3695502
ASV_31	0.492268	0.8019227	0.4111711	0.3919637
ASV_33	0.496719	0.3155307	0.5403765	0.5698057
ASV_37	0.540712	0.4661190	0.4942017	0.8154299
ASV_51	0.45446	0.6901090	0.4254008	0.2542394
ASV_87	0.467254	0.5071780	0.4563774	0.4559181
ASV_39	0.471048	0.5060801	0.4855521	0.3698722
ASV_67	0.474004	0.8314003	0.4074180	0.2557504
ASV_55	0.438147	0.4163540	0.4759194	0.3235656
ASV_52	0.435328	0.4582241	0.4750158	0.2546020
ASV_36	0.452658	0.3540227	0.5108885	0.3616999
ASV_29	0.437292	0.5311934	0.4053432	0.4347862
ASV_57	0.471798	0.9246664	0.4083880	0.1157163
ASV_43	0.439748	0.3436853	0.4649696	0.4706247
ASV_46	0.423981	0.3910539	0.3738723	0.6574533
ASV_59	0.422238	0.4407449	0.3751405	0.5765296
ASV_30	0.435498	0.2446191	0.4538527	0.6173422
ASV_138	0.396601	0.4241119	0.3656531	0.4777625
ASV_42	0.434915	0.2503136	0.4944040	0.4524395
ASV_72	0.394784	0.602326	0.343433	0.316162
ASV_60	0.351048	0.3614404	0.3931702	0.1775596
ASV_41	0.367273	0.2012820	0.4565833	0.2471482
ASV_48	0.363443	0.4663317	0.3443215	0.3004290
ASV_24	0.337585	0.07579345	0.48939052	0.10658953
ASV_32	0.388984	0.4614319	0.3405592	0.4772464
ASV_113	0.363358	0.5924048	0.3287113	0.1930362
ASV_34	0.347995	0.3749476	0.3509305	0.3013475
ASV_69	0.338111	0.3231066	0.3745458	0.2196562
ASV_62	0.345611	0.4124512	0.3181964	0.3615534
ASV_49	0.348091	0.3223867	0.2822029	0.6319147
ASV_28	0.337711	0.15537172	0.48685266	0.01214569
ASV_50	0.331769	0.1014721	0.4062859	0.3524859
ASV_58	0.313701	0.2397537	0.3623471	0.2265768
ASV_81	0.32312	0.3480441	0.3023408	0.3691126
ASV_56	0.317143	0.2821820	0.3595689	0.2022519
ASV_47	0.297981	0.1951386	0.2836001	0.4880291
