OTUID	D	H	I
ASV_1049	11	7	2
ASV_1095	3	9	5
ASV_757	8	7	6
ASV_720	22	4	2
ASV_1198	17	4	5
ASV_879	14	4	10
ASV_661	0	12	0
ASV_868	12	4	11
ASV_781	1	10	3
ASV_622	2	9	5
ASV_855	4	8	8
ASV_733	0	11	1
ASV_1187	10	5	11
ASV_1100	25	2	2
ASV_435	35	0	0
ASV_1020	4	9	5
ASV_863	4	10	1
ASV_600	1	1	38
ASV_727	8	8	1
ASV_764	12	5	7
ASV_562	4	7	12
ASV_851	4	8	7
ASV_1231	3	10	1
ASV_750	3	10	2
ASV_798	12	5	8
ASV_1141	23	2	3
ASV_631	3	9	5
ASV_927	7	7	6
ASV_678	10	7	1
ASV_911	15	4	5
ASV_812	3	9	4
ASV_854	5	3	24
ASV_728	2	10	1
ASV_809	2	9	3
ASV_1006	11	6	3
ASV_1073	7	5	12
ASV_1131	16	5	3
ASV_1229	7	5	12
ASV_618	2	8	9
ASV_554	9	6	6
ASV_617	0	1	37
ASV_1174	6	6	11
ASV_586	2	8	8
ASV_667	7	4	16
ASV_790	7	7	4
ASV_1225	12	6	1
ASV_704	10	5	6
ASV_633	21	2	2
ASV_816	9	6	2
ASV_1088	7	6	9
ASV_849	11	6	3
ASV_804	1	3	25
ASV_795	5	8	3
ASV_796	3	6	13
ASV_846	1	4	21
ASV_1228	1	9	1
ASV_794	18	3	4
ASV_1213	7	7	4
ASV_689	5	8	3
ASV_700	4	3	21
ASV_784	1	10	0
ASV_740	8	4	11
ASV_800	30	0	0
ASV_1115	13	5	3
ASV_1136	14	4	3
ASV_672	4	8	2
ASV_938	12	4	8
ASV_1116	5	8	2
ASV_845	5	8	1
ASV_1042	2	9	2
ASV_826	7	4	15
ASV_914	15	3	4
ASV_818	16	3	5
ASV_722	2	7	8
ASV_1112	18	3	2
ASV_1029	8	7	1
ASV_982	2	9	2
ASV_1137	17	4	0
ASV_726	4	7	6
ASV_1186	1	8	4
ASV_1037	9	6	2
ASV_719	2	8	3
ASV_1021	7	7	2
ASV_1117	3	8	3
ASV_951	15	3	3
ASV_705	7	6	6
ASV_649	11	5	3
ASV_760	2	4	19
ASV_1134	21	2	0
ASV_991	5	6	5
ASV_1107	10	6	1
ASV_956	7	5	8
ASV_965	7	6	3
ASV_871	3	7	4
ASV_905	4	7	4
ASV_640	6	2	21
ASV_789	0	10	0
ASV_665	8	6	1
ASV_1004	19	3	0
ASV_825	3	5	14
ASV_981	8	6	3
ASV_887	4	7	3
ASV_1056	14	3	3
ASV_573	12	1	16
ASV_658	4	4	14
ASV_1003	19	3	0
ASV_611	5	2	19
ASV_738	10	5	1
ASV_1227	3	7	4
ASV_765	4	6	5
ASV_741	0	8	3
ASV_603	11	5	1
ASV_1144	6	6	4
ASV_829	3	6	7
ASV_988	4	7	0
ASV_929	16	3	2
ASV_654	19	1	3
ASV_1124	0	7	6
ASV_776	12	5	1
ASV_797	14	4	0
ASV_681	2	8	2
ASV_569	23	0	4
ASV_810	2	2	23
ASV_1008	7	5	3
ASV_799	17	2	1
ASV_766	1	5	13
ASV_1031	4	7	2
ASV_547	26	0	0
ASV_806	3	6	4
ASV_752	6	6	1
ASV_1175	4	4	12
ASV_808	4	6	3
ASV_1169	3	6	4
ASV_666	3	5	8
ASV_876	2	6	6
ASV_605	0	8	0
ASV_958	5	5	7
ASV_660	1	7	3
ASV_788	10	4	3
ASV_970	1	8	1
ASV_1161	2	7	4
ASV_933	5	2	17
ASV_642	4	7	0
ASV_1092	5	3	15
ASV_1061	0	7	4
ASV_1197	3	6	5
ASV_1221	2	7	3
ASV_817	24	0	0
ASV_998	14	0	11
ASV_1195	2	6	5
ASV_1009	1	8	0
ASV_1148	4	4	9
ASV_848	6	5	3
ASV_692	3	5	7
ASV_913	0	7	3
ASV_964	10	4	2
ASV_923	1	5	9
ASV_762	3	4	11
ASV_906	3	5	5
ASV_742	0	7	4
ASV_778	1	7	1
ASV_1104	9	4	2
ASV_1158	6	5	3
ASV_648	22	0	1
ASV_813	19	1	2
ASV_898	6	4	7
ASV_1191	2	5	6
ASV_1230	2	3	15
ASV_857	0	7	0
ASV_690	12	3	0
ASV_1196	8	5	1
ASV_1200	3	6	2
ASV_1075	8	4	3
ASV_872	5	2	15
ASV_787	6	4	5
ASV_731	1	4	10
ASV_1036	1	7	1
ASV_921	1	7	1
ASV_1113	5	5	2
ASV_1074	2	5	6
ASV_1101	2	5	5
ASV_774	5	1	19
ASV_1121	1	1	22
ASV_1214	11	3	1
ASV_888	0	3	18
ASV_732	11	3	1
ASV_1135	12	3	0
ASV_718	0	6	6
ASV_1123	13	3	1
ASV_1218	8	3	5
ASV_758	5	5	1
ASV_822	4	5	2
ASV_735	1	7	1
ASV_1232	1	6	2
ASV_773	13	3	0
ASV_770	0	7	0
ASV_1043	11	3	2
ASV_946	0	7	0
ASV_837	3	5	6
ASV_820	3	5	3
ASV_884	7	4	1
ASV_900	3	6	1
ASV_1007	13	2	0
ASV_1111	5	5	2
ASV_680	18	0	1
ASV_803	5	3	7
ASV_987	4	6	0
ASV_862	10	3	0
ASV_768	0	7	0
ASV_955	8	3	2
ASV_992	9	0	13
ASV_747	1	6	2
ASV_961	4	4	3
ASV_859	0	7	0
ASV_1139	0	6	1
ASV_1014	4	6	0
ASV_714	2	6	1
ASV_1048	10	3	0
ASV_839	5	4	3
ASV_1016	4	4	6
ASV_856	1	6	1
ASV_850	0	7	0
ASV_917	4	3	10
ASV_936	4	5	1
ASV_889	0	7	0
ASV_1041	9	3	2
ASV_942	12	1	4
ASV_861	15	1	0
ASV_909	3	5	4
ASV_1146	7	4	3
ASV_928	5	4	2
ASV_853	0	6	2
ASV_901	2	6	1
ASV_947	4	5	1
ASV_1217	5	4	4
ASV_836	3	5	3
ASV_907	2	5	3
ASV_1212	3	3	10
ASV_902	5	4	2
ASV_838	0	6	0
ASV_814	3	5	0
ASV_1179	8	3	2
ASV_775	1	6	0
ASV_748	0	6	0
ASV_1078	13	1	0
ASV_1154	10	2	4
ASV_866	5	4	2
ASV_949	12	1	2
ASV_896	4	4	5
ASV_1046	6	3	3
ASV_1102	2	4	5
ASV_828	2	1	15
ASV_919	10	0	8
ASV_1094	0	6	0
ASV_815	2	1	17
ASV_1022	5	3	2
ASV_994	4	4	2
ASV_1083	3	5	0
ASV_864	1	4	8
ASV_1170	4	4	3
ASV_1178	3	3	5
ASV_890	3	4	2
ASV_1064	4	3	5
ASV_1129	0	5	2
ASV_819	8	2	3
ASV_1093	5	3	5
ASV_875	2	1	16
ASV_1062	2	4	4
ASV_941	0	6	0
ASV_1060	1	5	0
ASV_1105	0	5	1
ASV_1177	7	3	1
ASV_997	2	4	1
ASV_834	5	4	0
ASV_975	3	3	4
ASV_940	4	4	0
ASV_867	1	5	2
ASV_966	4	3	2
ASV_990	3	4	0
ASV_869	2	4	0
ASV_1065	2	4	3
ASV_1223	11	1	0
ASV_878	1	4	2
ASV_882	1	2	9
ASV_932	0	5	0
ASV_892	4	3	4
ASV_1039	3	2	7
ASV_1067	4	3	1
ASV_877	0	5	1
ASV_1054	6	3	1
ASV_1069	3	3	2
ASV_1055	3	3	5
ASV_1001	1	3	6
ASV_1142	7	1	6
ASV_1176	0	5	1
ASV_983	3	1	10
ASV_908	1	4	1
ASV_843	4	4	0
ASV_967	3	3	4
ASV_1032	8	2	1
ASV_986	2	4	1
ASV_1002	0	5	0
ASV_924	3	4	0
ASV_995	2	3	5
ASV_1185	1	4	0
ASV_792	0	0	20
ASV_1235	1	4	3
ASV_1080	0	4	1
ASV_1155	3	3	2
ASV_895	10	0	3
ASV_960	2	4	0
ASV_1052	6	2	2
ASV_912	6	2	3
ASV_993	0	4	1
ASV_1157	12	1	0
ASV_858	14	0	0
ASV_977	2	3	3
ASV_1026	3	3	2
ASV_1122	3	4	0
ASV_952	0	4	1
ASV_1027	0	4	0
ASV_1240	2	2	7
ASV_1234	1	4	2
ASV_1035	8	0	4
ASV_1226	3	2	3
ASV_1108	13	0	0
ASV_953	0	5	0
ASV_1038	2	3	2
ASV_1010	2	3	3
ASV_1171	0	4	2
ASV_1194	1	4	0
ASV_1163	0	0	18
ASV_916	9	0	4
ASV_1068	2	3	2
ASV_1047	5	1	5
ASV_931	0	4	0
ASV_1071	2	3	0
ASV_1081	0	4	0
ASV_1233	4	2	1
ASV_1030	12	0	0
ASV_1025	3	3	1
ASV_1132	0	2	5
ASV_957	2	3	2
ASV_1097	0	2	4
ASV_1070	1	3	1
ASV_1120	1	1	8
ASV_1099	2	3	0
ASV_1192	0	4	1
ASV_1151	4	2	1
ASV_1089	0	4	0
ASV_1106	0	1	10
ASV_1103	0	3	0
ASV_972	0	4	0
ASV_1076	2	2	0
ASV_1087	2	1	6
ASV_1005	0	4	0
ASV_1183	9	0	1
ASV_1152	0	0	15
ASV_1063	1	2	3
ASV_1202	2	2	4
ASV_1130	2	1	6
ASV_1034	0	3	0
ASV_1206	9	0	0
ASV_1057	1	2	1
ASV_1207	0	3	0
ASV_1164	1	2	1
ASV_1125	7	1	0
ASV_1040	4	0	7
