OTUID	All	E	S
ASV_75	0.253645	0.2970626	0.2243851
ASV_84	0.251186	0.3003772	0.2180346
ASV_106	0.213502	0.1002350	0.2898341
ASV_76	0.238757	0.2403818	0.2376622
ASV_78	0.229411	0.2872086	0.1904600
ASV_83	0.264354	0.2842998	0.2509124
ASV_64	0.222117	0.02171922	0.35716734
ASV_97	0.225916	0.1964606	0.2457672
ASV_89	0.209228	0.1806765	0.2284691
ASV_70	0.208977	0.2889263	0.1550987
ASV_100	0.205728	0.208551	0.203826
ASV_93	0.229114	0.2906093	0.1876712
ASV_118	0.198104	0.05516479	0.29443332
ASV_98	0.195323	0.08140514	0.27209300
ASV_61	0.231763	0.2068328	0.2485636
ASV_117	0.195658	0.06349591	0.28472431
ASV_104	0.198944	0.1901471	0.2048719
ASV_105	0.165754	0.03055355	0.25686808
ASV_136	0.184312	0.05840559	0.26916216
ASV_174	0.198357	0.1540075	0.2282454
ASV_112	0.182353	0.1377399	0.2124187
ASV_111	0.173126	0.2584405	0.1156316
ASV_126	0.182156	0.1069507	0.2328380
ASV_96	0.185351	0.2131204	0.1666368
ASV_130	0.188577	0.2644501	0.1374455
ASV_137	0.174972	0.04712627	0.26112888
ASV_107	0.165651	0.03234836	0.25548592
ASV_109	0.172357	0.04374033	0.25903405
ASV_189	0.172502	0.1920329	0.1593391
ASV_92	0.156156	0.25554392	0.08917665
ASV_82	0.186924	0.2179500	0.1660153
ASV_95	0.189154	0.2013717	0.1809205
ASV_110	0.162129	0.1286511	0.1846894
ASV_80	0.153403	0.007038979	0.252038802
ASV_114	0.145828	0.07424015	0.19407120
ASV_199	0.14469	0.01286248	0.23353035
ASV_159	0.164273	0.1091068	0.2014505
ASV_116	0.196707	0.2101295	0.1876606
ASV_122	0.175488	0.09611398	0.22897986
ASV_120	0.168831	0.2483284	0.1152561
ASV_91	0.152286	0.1299098	0.1673662
ASV_152	0.156332	0.1607819	0.1533335
ASV_129	0.153813	0.1431481	0.1609999
ASV_176	0.152127	0.1286557	0.1679447
ASV_200	0.163093	0.1506234	0.1714957
ASV_103	0.146077	0.1121372	0.1689490
ASV_154	0.147699	0.1479613	0.1475225
ASV_148	0.148851	0.28891764	0.05445784
ASV_209	0.14852	0.09978482	0.18136313
ASV_115	0.148009	0.2459907	0.0819785
ASV_188	0.134335	0.07191153	0.17640262
ASV_203	0.12611	0.05804707	0.17197907
ASV_146	0.134399	0.22723153	0.07183747
ASV_142	0.15605	0.2283007	0.1073588
ASV_143	0.142829	0.1559838	0.1339643
ASV_108	0.143999	0.1375364	0.1483544
ASV_123	0.131229	0.1018141	0.1510520
ASV_125	0.125103	0.1280480	0.1231186
