OTUID	All	E	S
ASV_511	0.028027	0.066338678	0.002208236
ASV_904	0.021184	0.005223763	0.031940082
ASV_922	0.018442	0.01106912	0.02341103
ASV_538	0.020244	0.02200129	0.01906030
ASV_619	0.021096	0.02298101	0.01982590
ASV_1140	0.016542	0.004201933	0.024858120
ASV_500	0.017363	0.03124419	0.00800824
ASV_1082	0.01806	0.02677806	0.01218453
ASV_555	0.018186	0.01570261	0.01985930
ASV_451	0.020231	0.01472081	0.02394481
ASV_480	0.021663	0.02205349	0.02139952
ASV_753	0.015636	0.004656062	0.023035245
ASV_461	0.014162	0.001954921	0.022387754
ASV_574	0.019716	0.01397048	0.02358747
ASV_652	0.018337	0.02234575	0.01563524
ASV_767	0.021141	0.004977616	0.032033840
ASV_1165	0.017637	0.02019094	0.01591545
ASV_636	0.016876	0.01433422	0.01858955
ASV_948	0.017405	0.01284189	0.02048059
ASV_821	0.016006	0.01904404	0.01395801
ASV_1090	0.016103	0.009326212	0.020670012
ASV_527	0.017428	0.01786238	0.01713582
ASV_655	0.017352	0.01245125	0.02065430
ASV_663	0.017118	0.01642550	0.01758385
ASV_1216	0.01611	0.007488464	0.021920725
ASV_627	0.016679	0.02080058	0.01390105
ASV_664	0.020587	0.02831638	0.01537844
ASV_721	0.017415	0.01146327	0.02142525
ASV_450	0.017831	0.007568251	0.024747059
ASV_831	0.015483	0.005927807	0.021922380
ASV_608	0.016802	0.007276415	0.023221184
ASV_683	0.017283	0.02703564	0.01071134
ASV_581	0.016075	0.003261428	0.024710323
ASV_532	0.01678	0.01338232	0.01906905
ASV_478	0.016981	0.01967566	0.01516424
ASV_558	0.017388	0.01059065	0.02196962
ASV_497	0.016441	0.01897368	0.01473418
ASV_763	0.019296	0.01800490	0.02016566
ASV_448	0.018322	0.02300664	0.01516437
ASV_670	0.016751	0.006677163	0.023539487
ASV_596	0.01754	0.01588333	0.01865656
ASV_1209	0.018291	0.02230200	0.01558827
ASV_542	0.01696	0.01810514	0.01618805
ASV_698	0.019508	0.01620140	0.02173629
ASV_417	0.02487	1.326292e-05	4.162140e-02
ASV_724	0.015644	0.01247776	0.01777817
ASV_516	0.015423	0.006359257	0.021530661
ASV_847	0.017171	0.02232814	0.01369570
ASV_1079	0.016346	0.01158279	0.01955597
ASV_830	0.014823	0.004048838	0.022083102
ASV_623	0.015651	0.02386041	0.01011785
ASV_749	0.016394	0.01147079	0.01971119
ASV_717	0.017021	0.01502915	0.01836293
ASV_588	0.016944	0.01690186	0.01697243
ASV_723	0.016197	0.01588497	0.01640695
ASV_537	0.017389	0.02256857	0.01389894
ASV_777	0.015952	0.00922903	0.02048317
ASV_609	0.01935	0.005927187	0.028395845
ASV_743	0.016827	0.02220418	0.01320389
ASV_629	0.017394	0.007451235	0.024095333
ASV_676	0.014907	0.009185586	0.018762282
ASV_699	0.015241	0.027459833	0.007006249
ASV_523	0.016493	0.01334956	0.01861156
ASV_505	0.017696	0.01864539	0.01705542
ASV_597	0.018412	0.034435342	0.007614299
ASV_694	0.014285	0.004534645	0.020856226
ASV_746	0.016323	0.01375718	0.01805216
ASV_962	0.016133	0.01918948	0.01407308
ASV_468	0.013654	0.008912806	0.016849012
ASV_647	0.015807	0.01512276	0.01626733
ASV_918	0.016541	0.02324496	0.01202309
ASV_650	0.015231	6.110085e-05	2.545498e-02
ASV_492	0.01565	0.01893756	0.01343418
ASV_835	0.015989	0.01477059	0.01681070
ASV_544	0.017871	0.01742469	0.01817095
ASV_656	0.016674	0.005136414	0.024448595
ASV_1085	0.017322	0.004490336	0.025969579
ASV_552	0.013627	0.003385363	0.020528688
ASV_540	0.014815	0.01288393	0.01611559
ASV_441	0.019274	0.01924113	0.01929543
ASV_709	0.016737	0.01840397	0.01561409
ASV_771	0.015838	0.01853927	0.01401841
ASV_582	0.017615	0.029692790	0.009475577
ASV_823	0.015702	0.02374953	0.01027947
ASV_638	0.014213	0.024622402	0.007198216
ASV_840	0.014891	0.01312362	0.01608178
ASV_807	0.014137	0.008255508	0.018100906
ASV_710	0.015214	0.01206655	0.01733435
ASV_1147	0.021784	0.002522055	0.034765063
ASV_737	0.015696	0.027250147	0.007909413
ASV_509	0.015001	0.022667984	0.009834816
ASV_832	0.015151	0.006439959	0.021021770
ASV_534	0.012027	0.003210633	0.017968165
ASV_713	0.015312	0.009689822	0.019100973
ASV_1189	0.014651	0.007277569	0.019619623
ASV_444	0.012423	0.002033828	0.019424172
ASV_893	0.013528	0.004480645	0.019625240
ASV_621	0.017095	0.01529897	0.01830519
ASV_944	0.013653	0.01473975	0.01292115
ASV_579	0.01743	0.01584272	0.01849994
ASV_484	0.015609	0.01930802	0.01311579
ASV_984	0.013828	0.006838753	0.018538574
ASV_543	0.016264	0.01902895	0.01440093
ASV_593	0.01404	0.01818741	0.01124549
ASV_614	0.014344	0.021496141	0.009523471
ASV_759	0.014294	0.008931776	0.017907886
ASV_860	0.013893	0.01016613	0.01640430
ASV_1160	0.013272	0.003535145	0.019834510
ASV_628	0.016417	0.01881029	0.01480407
ASV_563	0.0177	0.02241391	0.01452320
ASV_785	0.012624	0.003113607	0.019032557
ASV_641	0.013916	0.020102781	0.009746291
ASV_682	0.015897	0.02243118	0.01149430
ASV_1024	0.014936	0.01889555	0.01226680
ASV_935	0.014188	0.007810843	0.018485995
ASV_711	0.014241	0.01086473	0.01651565
ASV_791	0.017802	0.032753892	0.007725452
ASV_1012	0.013847	0.01494913	0.01310437
ASV_625	0.013409	0.01014670	0.01560714
ASV_1181	0.013867	0.021082555	0.009003538
ASV_677	0.013393	0.01560741	0.01189992
ASV_493	0.014471	0.021430531	0.009781185
ASV_897	0.013333	0.007784033	0.017072956
ASV_1098	0.013754	0.01184035	0.01504438
ASV_899	0.018072	0.031465486	0.009046702
ASV_708	0.012502	0.002982729	0.018917290
ASV_602	0.014155	0.01479638	0.01372296
ASV_572	0.016202	0.01399723	0.01768768
ASV_1045	0.01187	0.002416497	0.018241086
ASV_610	0.013276	0.007570362	0.017121575
ASV_568	0.020005	0.001464576	0.032499795
ASV_725	0.013971	0.01418048	0.01382995
ASV_779	0.012979	0.007460023	0.016698377
ASV_1114	0.014481	0.022499252	0.009078007
ASV_686	0.014383	0.01883659	0.01138179
ASV_1138	0.013916	0.008537213	0.017540331
ASV_513	0.012643	0.025928554	0.003689765
ASV_575	0.014377	0.01760730	0.01220051
ASV_696	0.017086	0.02590765	0.01114044
ASV_514	0.013553	0.01205831	0.01455955
ASV_910	0.015074	0.033176139	0.002875506
ASV_703	0.012325	0.01570829	0.01004515
ASV_565	0.011512	1.112385e-05	1.926230e-02
ASV_1238	0.013055	0.01282325	0.01321090
ASV_510	0.014562	0.024695542	0.007733552
ASV_645	0.018459	0.01683239	0.01955465
ASV_564	0.014274	0.021839088	0.009176541
ASV_943	0.011271	0.001220083	0.018044656
ASV_968	0.01247	0.005490338	0.017173687
ASV_1017	0.015698	0.02363470	0.01035012
ASV_1159	0.011464	0.006706373	0.014669994
ASV_1019	0.016314	0.02710489	0.00904209
ASV_969	0.013175	0.019331269	0.009027001
ASV_429	0.015223	9.180001e-06	2.547550e-02
ASV_548	0.013257	0.019119116	0.009307261
ASV_566	0.015069	0.01735771	0.01352649
ASV_1091	0.012128	0.00508424	0.01687522
ASV_674	0.01204	0.002040786	0.018779086
ASV_607	0.015016	0.01534040	0.01479678
ASV_712	0.012198	0.021844000	0.005697593
ASV_487	0.013125	0.024482867	0.005470381
ASV_695	0.018374	0.0001179355	0.0306765458
ASV_613	0.012457	0.004887573	0.017557493
ASV_874	0.012761	0.01089557	0.01401752
ASV_673	0.016025	0.006876566	0.022190033
ASV_1013	0.011817	0.004608217	0.016674853
ASV_1150	0.01315	0.009966828	0.015294600
ASV_585	0.013635	0.01550190	0.01237756
ASV_620	0.017299	0.031484475	0.007738447
ASV_903	0.012519	0.003550972	0.018563005
ASV_974	0.012388	0.01447459	0.01098232
ASV_844	0.013015	0.009813765	0.015172322
ASV_1184	0.012163	0.00661554	0.01590225
ASV_576	0.01459	0.009425378	0.018070169
ASV_925	0.011741	0.006090588	0.015548118
ASV_1011	0.01407	0.01765361	0.01165477
ASV_434	0.00943	0.00164151	0.01467957
ASV_736	0.012328	0.00514101	0.01717088
ASV_706	0.012994	0.01525772	0.01146769
ASV_755	0.012763	0.008161208	0.015864828
ASV_954	0.013244	0.01405531	0.01269728
ASV_980	0.015805	0.025408349	0.009332457
ASV_551	0.012082	0.01365520	0.01102195
ASV_915	0.011677	0.0006394347	0.0191161285
ASV_880	0.012199	0.001448908	0.019443422
ASV_515	0.009205	0.00000000	0.01540872
ASV_612	0.010052	0.021578527	0.002284061
ASV_632	0.014385	0.01090271	0.01673217
ASV_716	0.012415	0.01379919	0.01148160
ASV_824	0.014142	0.021110566	0.009446008
ASV_626	0.012032	0.01055349	0.01302887
ASV_675	0.009984	0.018665673	0.004133309
ASV_598	0.013883	0.025748610	0.005885975
ASV_802	0.011537	0.009140082	0.013153069
ASV_671	0.011556	0.009192207	0.013149487
ASV_691	0.011774	0.01111946	0.01221492
ASV_1059	0.012489	0.01427345	0.01128708
ASV_852	0.010853	0.002700168	0.016347460
ASV_701	0.009911	0.00408571	0.01383597
ASV_1049	0.010557	0.005966285	0.013649974
ASV_1095	0.014241	0.01014578	0.01700095
ASV_757	0.013152	0.01496821	0.01192746
ASV_720	0.011497	0.00618414	0.01507666
ASV_1198	0.010511	0.003956742	0.014927960
ASV_879	0.012548	0.019675834	0.007743789
ASV_661	0.011506	0.0002220476	0.0191098642
ASV_868	0.012285	0.005825617	0.016638842
ASV_781	0.012791	0.004895602	0.018111157
ASV_622	0.011759	0.016715712	0.008418088
ASV_855	0.013002	0.003410178	0.019466458
ASV_733	0.013216	0.018036505	0.009967132
ASV_1187	0.011541	0.020096610	0.005775426
ASV_1100	0.011173	0.005579852	0.014941694
ASV_435	0.008531	0.0000000	0.0142796
ASV_1020	0.013638	0.01638694	0.01178488
ASV_863	0.014359	0.025515603	0.006839745
ASV_600	0.014022	0.0001531914	0.0233676265
ASV_727	0.014651	0.029956942	0.004335907
ASV_764	0.012331	0.01267172	0.01210195
ASV_562	0.012187	0.021468667	0.005932225
ASV_851	0.011023	0.01216068	0.01025656
ASV_1231	0.010597	0.0009674341	0.0170865193
ASV_750	0.009775	0.001800669	0.015149109
ASV_798	0.010317	0.008620075	0.011460386
ASV_1141	0.01019	0.003928101	0.014409847
ASV_631	0.012922	0.009668194	0.015113963
ASV_927	0.013279	0.008791451	0.016303377
ASV_678	0.010021	0.018206058	0.004504341
ASV_911	0.011077	0.006219587	0.014351039
ASV_812	0.015391	0.024011965	0.009580594
ASV_854	0.010794	0.007849377	0.012778341
ASV_728	0.011246	0.01020471	0.01194760
ASV_809	0.010383	0.00377751	0.01483384
ASV_1006	0.010441	0.005297834	0.013907117
ASV_1073	0.015033	0.004954832	0.021824261
ASV_1131	0.010749	0.009814995	0.011378338
ASV_1229	0.011403	0.008697941	0.013226791
ASV_618	0.012625	0.01133578	0.01349382
ASV_554	0.011686	0.01187564	0.01155742
ASV_617	0.013639	0.0330702301	0.0005447871
ASV_1174	0.014747	0.003970537	0.022009005
ASV_586	0.009372	0.004093182	0.012930025
ASV_667	0.009719	0.002679854	0.014463599
ASV_790	0.011077	0.00893468	0.01252116
ASV_1225	0.010555	0.008647249	0.011840277
ASV_704	0.012342	0.01083357	0.01335896
ASV_633	0.011038	0.017821893	0.006466852
ASV_816	0.011206	0.009443273	0.012394084
ASV_1088	0.013428	0.01424058	0.01288008
ASV_849	0.009389	0.003179911	0.013572701
ASV_804	0.010935	0.020006928	0.004821736
ASV_795	0.011819	0.019215909	0.006834797
ASV_796	0.010687	0.012661165	0.009356148
ASV_846	0.014158	0.029656791	0.003712931
ASV_1228	0.009028	0.002282026	0.013573830
ASV_794	0.01009	0.008490186	0.011168365
ASV_1213	0.009704	0.007008695	0.011519863
ASV_689	0.010071	0.005649315	0.013050881
ASV_700	0.011939	0.020812014	0.005959705
ASV_784	0.010749	0.017251691	0.006366883
ASV_740	0.011017	0.01141739	0.01074755
ASV_800	0.009144	0.00000000	0.01530697
ASV_1115	0.010042	0.006750718	0.012260861
ASV_1136	0.009648	0.006408909	0.011830292
ASV_672	0.010537	0.009215154	0.011427662
ASV_938	0.009443	0.008568699	0.010031925
ASV_1116	0.009537	0.001065373	0.015245321
ASV_845	0.010297	0.0007865706	0.0167068634
ASV_1042	0.010392	0.015983639	0.006624423
ASV_826	0.009853	0.013113343	0.007655652
ASV_914	0.009938	0.004717178	0.013456881
ASV_818	0.009961	0.007032718	0.011934592
ASV_722	0.011638	0.01310650	0.01064795
ASV_1112	0.009208	0.006011571	0.011361965
ASV_1029	0.010662	0.009309628	0.011572787
ASV_982	0.011069	0.007865602	0.013227457
ASV_1137	0.009561	0.001230251	0.015175939
ASV_726	0.010666	0.009313073	0.011577936
ASV_1186	0.010667	0.003744714	0.015332198
ASV_1037	0.009393	0.003226898	0.013548137
ASV_719	0.01166	0.018112760	0.007311032
ASV_1021	0.010292	0.004565538	0.014151340
ASV_1117	0.011555	0.017831720	0.007324769
ASV_951	0.008765	0.0009345546	0.0140417635
ASV_705	0.010688	0.009834649	0.011263360
ASV_649	0.010335	0.011343559	0.009654889
ASV_760	0.009955	0.016743648	0.005380674
ASV_1134	0.008554	0.002137801	0.012877540
ASV_991	0.009732	0.004780827	0.013067873
ASV_1107	0.011618	0.016743241	0.008164343
ASV_956	0.009669	0.007312278	0.011256898
ASV_965	0.009786	0.008299942	0.010787521
ASV_871	0.010079	0.012207033	0.008644518
ASV_905	0.009931	0.007319854	0.011690535
ASV_640	0.009916	0.016029430	0.005795522
ASV_789	0.014047	0.03489205	0.00000000
ASV_665	0.009538	0.01306442	0.00716133
ASV_1004	0.009149	0.006469606	0.010954346
ASV_825	0.013076	0.00234015	0.02031183
ASV_981	0.009479	0.010240307	0.008965843
ASV_887	0.0092	0.009380840	0.009078071
ASV_1056	0.009032	0.002983353	0.013107527
ASV_573	0.010509	0.01018002	0.01073009
ASV_658	0.010755	0.018577470	0.005482577
ASV_1003	0.009022	0.005563534	0.011352385
ASV_611	0.00921	0.017280601	0.003771681
ASV_738	0.009904	0.009185174	0.010388423
ASV_1227	0.010118	0.011364995	0.009278199
ASV_765	0.010169	0.011474000	0.009289386
ASV_741	0.0088	0.013311260	0.005759307
ASV_603	0.010054	0.005956103	0.012816056
ASV_1144	0.009533	0.010598913	0.008815147
ASV_829	0.009773	0.015079238	0.006197258
ASV_988	0.009296	0.017407118	0.003830396
ASV_929	0.007903	0.00240954	0.01160582
ASV_654	0.009227	0.020138996	0.001873504
ASV_1124	0.00934	0.006448324	0.011289368
ASV_776	0.00849	0.008265927	0.008640180
ASV_797	0.009534	0.008730687	0.010075990
ASV_681	0.009588	0.015158234	0.005833699
ASV_569	0.007062	0.002547122	0.010104814
ASV_810	0.010331	0.006443868	0.012949902
ASV_1008	0.00909	0.011620798	0.007384744
ASV_799	0.009778	0.019458032	0.003255215
ASV_766	0.009856	0.009866778	0.009848135
ASV_1031	0.008988	0.009707157	0.008503979
ASV_547	0.006933	0.00000000	0.01160454
ASV_806	0.00982	0.018536	0.003946
ASV_752	0.008164	0.005908471	0.009683331
ASV_1175	0.008207	0.006077797	0.009641257
ASV_808	0.00851	0.009069003	0.008132581
ASV_1169	0.009233	0.005793612	0.011550264
ASV_666	0.010508	0.01031834	0.01063588
ASV_876	0.009263	0.014330239	0.005848916
ASV_605	0.008118	0.013038960	0.004801459
ASV_958	0.008866	0.004363009	0.011901452
ASV_660	0.011239	0.017553602	0.006984074
ASV_788	0.012539	0.018113714	0.008781889
ASV_970	0.00984	0.021052446	0.002283948
ASV_1161	0.011429	0.001668784	0.018006853
ASV_933	0.007985	0.004133817	0.010579972
ASV_642	0.009319	0.011780976	0.007659529
ASV_1092	0.007637	0.00346144	0.01045065
ASV_1061	0.007553	0.001610528	0.011558354
ASV_1197	0.007768	0.002720457	0.011168941
ASV_1221	0.007859	0.002383504	0.011548779
ASV_817	0.006881	0.0009431277	0.0108821359
ASV_998	0.008313	0.009855502	0.007273587
ASV_1195	0.008487	0.013413899	0.005167439
ASV_1009	0.008423	0.0003508938	0.0138633530
ASV_1148	0.007616	0.004736751	0.009555894
ASV_848	0.009262	0.007531314	0.010427763
ASV_692	0.00897	0.015156892	0.004800474
ASV_913	0.008354	0.003149482	0.011861016
ASV_964	0.008253	0.004899497	0.010512354
ASV_923	0.008508	0.007034647	0.009501317
ASV_762	0.008149	0.012311891	0.005344374
ASV_906	0.007944	0.004897872	0.009996962
ASV_742	0.008328	0.018438820	0.001513525
ASV_778	0.008418	0.01700980	0.00262793
ASV_1104	0.008035	0.010320428	0.006494038
ASV_1158	0.008299	0.007611953	0.008761338
ASV_648	0.006371	0.0001985489	0.0105311756
ASV_813	0.007008	0.001348624	0.010821813
ASV_898	0.010366	0.007332847	0.012409848
ASV_1191	0.007096	0.003365760	0.009610688
ASV_1230	0.010766	0.006028838	0.013959079
ASV_857	0.008547	0.007022604	0.009574090
ASV_690	0.008141	0.003754473	0.011097737
ASV_1196	0.007292	0.003343749	0.009952153
ASV_1200	0.007577	0.007523723	0.007612393
ASV_1075	0.007963	0.00236193	0.01173799
ASV_872	0.007934	0.013093047	0.004456858
ASV_787	0.009092	0.012763546	0.006618197
ASV_731	0.008281	0.01338278	0.00484231
ASV_1036	0.00711	0.001890793	0.010626964
ASV_921	0.007707	0.016195635	0.001986939
ASV_1113	0.008232	0.009519759	0.007363917
ASV_1074	0.009336	0.01210630	0.00746829
ASV_1101	0.008019	0.007937849	0.008074041
ASV_774	0.009415	0.016525217	0.004624137
ASV_1121	0.008886	0.002144757	0.013429032
ASV_1214	0.007074	0.00206859	0.01044727
ASV_888	0.00792	0.0185552127	0.0007523622
ASV_732	0.008527	0.004419696	0.011294541
ASV_1135	0.008258	0.008946280	0.007794601
ASV_718	0.00768	0.016757645	0.001562522
ASV_1123	0.007784	0.011424048	0.005330827
ASV_1218	0.008724	0.013779423	0.005316628
ASV_758	0.008695	0.008448300	0.008860787
ASV_822	0.00779	0.004375141	0.010090824
ASV_735	0.007941	0.003525411	0.010916953
ASV_1232	0.007714	0.0009645726	0.0122632399
ASV_773	0.006749	0.002943786	0.009313747
ASV_770	0.00737	0.010112491	0.005521149
ASV_1043	0.007143	0.003372687	0.009683329
ASV_946	0.010824	0.0260804832	0.0005428028
ASV_837	0.009018	0.011515902	0.007334489
ASV_820	0.009737	0.00488909	0.01300403
ASV_884	0.007667	0.008517617	0.007093439
ASV_900	0.008348	0.014911042	0.003924456
ASV_1007	0.007626	0.00373630	0.01024691
ASV_1111	0.006856	0.004754096	0.008273201
ASV_680	0.00587	0.0002151182	0.0096808091
ASV_803	0.007206	0.009949606	0.005357009
ASV_987	0.00958	0.021222125	0.001733592
ASV_862	0.008562	0.011907442	0.006308273
ASV_768	0.010647	2.631655e-02	8.757067e-05
ASV_955	0.007611	0.004924935	0.009420818
ASV_992	0.007216	0.010945320	0.004702157
ASV_747	0.008326	0.009258958	0.007696582
ASV_961	0.006858	0.01052647	0.00438511
ASV_859	0.00625	0.00000000	0.01046173
ASV_1139	0.008272	0.003913518	0.011208504
ASV_1014	0.007775	0.008897886	0.007017682
ASV_714	0.009368	0.008931796	0.009661803
ASV_1048	0.00648	0.0009316106	0.0102184367
ASV_839	0.008155	0.002270428	0.012121106
ASV_1016	0.007063	0.011581026	0.004018387
ASV_856	0.008008	0.005499394	0.009698910
ASV_850	0.007554	0.0177608634	0.0006755729
ASV_917	0.006795	0.003282735	0.009161171
ASV_936	0.005611	0.004784363	0.006167312
ASV_889	0.006636	0.010244830	0.004203788
ASV_1041	0.007438	0.007296298	0.007533790
ASV_942	0.006681	0.001551279	0.010137246
ASV_861	0.006717	0.0008893253	0.0106442947
ASV_909	0.007105	0.009456210	0.005520596
ASV_1146	0.007676	0.005760805	0.008966764
ASV_928	0.007141	0.009491272	0.005556388
ASV_853	0.006406	0.006633273	0.006252821
ASV_901	0.008439	0.01548664	0.00369022
ASV_947	0.008044	0.010755872	0.006215961
ASV_1217	0.006826	0.008070535	0.005987509
ASV_836	0.007281	0.007518906	0.007121470
ASV_907	0.005779	0.002159345	0.008218356
ASV_1212	0.006972	0.009905671	0.004994853
ASV_902	0.006701	0.008603712	0.005418271
ASV_838	0.006269	0.010061162	0.003713122
ASV_814	0.006969	0.01031759	0.00471184
ASV_1179	0.006254	0.004391523	0.007509975
ASV_775	0.010138	0.006290417	0.012731200
ASV_748	0.010518	0.0254817562	0.0004338195
ASV_1078	0.005887	0.012601250	0.001361608
ASV_1154	0.006988	0.005485870	0.008000252
ASV_866	0.007102	0.009374746	0.005570602
ASV_949	0.00667	0.006421281	0.006838383
ASV_896	0.006883	0.010894012	0.004179844
ASV_1046	0.006322	0.006438382	0.006243864
ASV_1102	0.005996	0.006263308	0.005815598
ASV_828	0.00504	0.004373015	0.005488659
ASV_919	0.005538	0.001049620	0.008563259
ASV_1094	0.006246	0.004249856	0.007591885
ASV_815	0.00684	0.007696700	0.006261977
ASV_1022	0.006691	0.003857634	0.008600328
ASV_994	0.006809	0.001496844	0.010388647
ASV_1083	0.006559	0.001824589	0.009750038
ASV_864	0.005686	0.009164671	0.003341711
ASV_1170	0.006305	0.003953171	0.007889927
ASV_1178	0.006888	0.009344300	0.005233302
ASV_890	0.007193	0.002851539	0.010117945
ASV_1064	0.006026	0.007517133	0.005020791
ASV_1129	0.006385	0.013208479	0.001786762
ASV_819	0.005995	0.003148833	0.007913623
ASV_1093	0.00628	0.007118976	0.005714135
ASV_875	0.005721	0.009647290	0.003075724
ASV_1062	0.006884	0.004620485	0.008409296
ASV_941	0.005269	0.0008250735	0.0082630553
ASV_1060	0.005747	0.0129649139	0.0008824168
ASV_1105	0.006705	0.006649863	0.006741719
ASV_1177	0.007337	0.007083342	0.007507149
ASV_997	0.006489	0.004406697	0.007892273
ASV_834	0.006215	0.006626387	0.005937845
ASV_975	0.005534	0.004633830	0.006140603
ASV_940	0.006137	0.007418909	0.005272270
ASV_867	0.00501	0.004233776	0.005533334
ASV_966	0.00566	0.006886411	0.004832796
ASV_990	0.005048	0.002053513	0.007065555
ASV_869	0.006474	0.012748475	0.002245445
ASV_1065	0.005916	0.002855558	0.007978561
ASV_1223	0.005396	0.002104642	0.007614518
ASV_878	0.00605	0.010866673	0.002804021
ASV_882	0.005926	0.011309024	0.002298049
ASV_932	0.005434	0.0001306007	0.0090085143
ASV_892	0.005385	0.002748091	0.007162087
ASV_1039	0.005566	0.008657771	0.003483203
ASV_1067	0.005823	0.005183999	0.006253461
ASV_877	0.005371	0.007668033	0.003822526
ASV_1054	0.005316	0.004720753	0.005716352
ASV_1069	0.006444	0.011780881	0.002846989
ASV_1055	0.005441	0.005089784	0.005677052
ASV_1001	0.006109	0.006957957	0.005536653
ASV_1142	0.004668	0.002187910	0.006339014
ASV_1176	0.004853	0.001319711	0.007234252
ASV_983	0.00576	0.003161949	0.007510976
ASV_908	0.004962	0.0110642093	0.0008494954
ASV_843	0.005788	0.005668914	0.005868344
ASV_967	0.005087	0.003703361	0.006019374
ASV_1032	0.005086	0.005702404	0.004670795
ASV_986	0.005682	0.010136564	0.002680193
ASV_1002	0.005189	2.839428e-05	8.666983e-03
ASV_924	0.00564	0.008570810	0.003664866
ASV_995	0.005625	0.007980359	0.004037016
ASV_1185	0.00564	0.001818797	0.008215087
ASV_792	0.005894	9.515513e-06	9.859712e-03
ASV_1235	0.006076	0.006508204	0.005784317
ASV_1080	0.005627	0.011442434	0.001708236
ASV_1155	0.006488	0.003089842	0.008777870
ASV_895	0.00459	7.813887e-05	7.630003e-03
ASV_960	0.005495	0.007020076	0.004466938
ASV_1052	0.005155	0.003675730	0.006151611
ASV_912	0.005579	0.010583643	0.002206483
ASV_993	0.005363	0.003651722	0.006516732
ASV_1157	0.004939	0.010059517	0.001487579
ASV_858	0.00383	0.0002971358	0.0062106181
ASV_977	0.005378	0.008912005	0.002995572
ASV_1026	0.004955	0.007607066	0.003168253
ASV_1122	0.005272	0.002844671	0.006908058
ASV_952	0.005272	0.006100907	0.004713911
ASV_1027	0.00489	0.003469814	0.005847770
ASV_1240	0.004489	0.0009055712	0.0069043070
ASV_1234	0.005488	0.002936208	0.007207720
ASV_1035	0.004368	8.784756e-06	7.306297e-03
ASV_1226	0.004927	0.007535827	0.003168314
ASV_1108	0.005749	0.0002668289	0.0094442466
ASV_953	0.007076	0.01757617	0.00000000
ASV_1038	0.005368	0.003542878	0.006598373
ASV_1010	0.004548	0.004280781	0.004727398
ASV_1171	0.004726	0.004086844	0.005155959
ASV_1194	0.004832	0.001899368	0.006808929
ASV_1163	0.005433	5.784408e-05	9.055047e-03
ASV_916	0.004229	0.000000000	0.007078666
ASV_1068	0.005349	0.005232468	0.005426884
ASV_1047	0.004502	0.003273770	0.005329592
ASV_931	0.005311	1.312755e-02	4.386933e-05
ASV_1071	0.004702	0.003937777	0.005216852
ASV_1081	0.004482	2.195034e-05	7.488492e-03
ASV_1233	0.00501	0.004784976	0.005161059
ASV_1030	0.004272	6.676902e-05	7.106112e-03
ASV_1025	0.004624	0.005292058	0.004173789
ASV_1132	0.00462	0.004009084	0.005031578
ASV_957	0.004644	0.006105518	0.003659807
ASV_1097	0.006231	0.008177272	0.004919390
ASV_1070	0.004499	0.002268780	0.006001275
ASV_1120	0.004902	0.002467919	0.006542759
ASV_1099	0.004276	0.004962257	0.003813286
ASV_1192	0.005984	0.0147970858	0.0000446106
ASV_1151	0.004319	0.003033186	0.005185643
ASV_1089	0.003599	0.000000000	0.006024111
ASV_1106	0.003788	0.002331933	0.004768494
ASV_1103	0.005746	0.0003787157	0.0093623622
ASV_972	0.006065	8.449939e-06	1.014673e-02
ASV_1076	0.00384	0.005482165	0.002734012
ASV_1087	0.003467	0.003517815	0.003432262
ASV_1005	0.004879	1.208431e-02	2.275839e-05
ASV_1183	0.004258	0.002992409	0.005110660
ASV_1152	0.004556	0.000000000	0.007625967
ASV_1063	0.003901	0.003890649	0.003907614
ASV_1202	0.003836	0.004716248	0.003243137
ASV_1130	0.003992	0.007446027	0.001664809
ASV_1034	0.004788	0.0116059402	0.0001929011
ASV_1206	0.003083	0.000225467	0.005009522
ASV_1057	0.003657	0.007154749	0.001300373
ASV_1207	0.003413	0.005887986	0.001745286
ASV_1164	0.003562	0.006350455	0.001683067
ASV_1125	0.003679	0.0076783347	0.0009842303
ASV_1040	0.003267	0.004564631	0.002392621
ASV_1110	0.004365	0.003271147	0.005101869
ASV_1203	0.003643	0.004144162	0.003305095
ASV_1058	0.003379	8.258045e-03	9.014222e-05
ASV_1215	0.003931	0.000000000	0.006580426
ASV_1143	0.002972	0.006058236	0.000892387
ASV_1145	0.004425	0.004013058	0.004702353
ASV_1053	0.002449	0.0054667078	0.0004159536
ASV_1193	0.003225	0.004211872	0.002559148
ASV_926	0.003634	0.000000000	0.006082616
ASV_1028	0.003225	0.002759376	0.003538972
ASV_1205	0.002998	0.003198995	0.002862912
ASV_1166	0.003338	0.0073096159	0.0006613479
ASV_1162	0.002871	0.0001384062	0.0047118051
ASV_1201	0.002842	0.001527322	0.003728296
ASV_1236	0.00362	0.005275507	0.002505116
ASV_1188	0.002582	0.001876763	0.003057439
ASV_1190	0.003484	0.005192298	0.002332507
ASV_1220	0.002765	0.003409021	0.002331539
ASV_1149	0.002406	0.003705619	0.001529415
ASV_1086	0.00284	0.003989924	0.002065656
ASV_1167	0.002704	0.003856842	0.001927513
ASV_1168	0.002532	0.003243577	0.002052353
ASV_1173	0.002202	0.0043631551	0.0007462211
ASV_1239	0.002416	4.180874e-05	4.016523e-03
