OTUID	D	H
ASV_1	5.457845	7.797845
ASV_2	3.586739	7.127828
ASV_4	3.125846	2.899499
ASV_3	2.642079	2.961577
ASV_5	1.676397	1.865437
ASV_7	1.751457	1.575653
ASV_11	1.869841	1.280688
ASV_9	1.320268	1.396399
ASV_14	1.384159	1.241233
ASV_8	1.067668	1.321671
ASV_13	1.106761	1.290183
ASV_6	0.9067833	1.4465542
ASV_15	1.4791848	0.9198659
ASV_18	1.4441563	0.7982952
ASV_12	0.5884075	0.9694705
ASV_22	0.5825996	0.8669509
ASV_38	0.8813584	0.6677920
ASV_23	0.6131751	0.8303011
ASV_17	0.6331046	0.7681425
ASV_25	0.7163449	0.8113887
ASV_20	0.2057869	0.8711260
ASV_26	1.3463481	0.4734182
ASV_16	0.3311480	0.8016115
ASV_21	0.2821056	0.7049694
ASV_27	0.5721851	0.5329361
ASV_10	0.2290802	0.4687780
ASV_65	0.6848507	0.5162977
ASV_40	0.4029773	0.5789704
ASV_54	0.5567087	0.5241216
ASV_35	0.2832311	0.5939274
ASV_31	0.8019227	0.4111711
ASV_51	0.6901090	0.4254008
ASV_67	0.8314003	0.4074180
ASV_57	0.9246664	0.4083880
ASV_39	0.5060801	0.4855521
ASV_52	0.4582241	0.4750158
ASV_55	0.4163540	0.4759194
ASV_87	0.5071780	0.4563774
ASV_33	0.3155307	0.5403765
ASV_36	0.3540227	0.5108885
ASV_29	0.5311934	0.4053432
ASV_37	0.4661190	0.4942017
ASV_43	0.3436853	0.4649696
ASV_24	0.07579345	0.48939052
ASV_28	0.1553717	0.4868527
ASV_60	0.3614404	0.3931702
ASV_72	0.602326	0.343433
ASV_113	0.5924048	0.3287113
ASV_41	0.2012820	0.4565833
ASV_42	0.2503136	0.4944040
ASV_48	0.4663317	0.3443215
ASV_69	0.3231066	0.3745458
ASV_138	0.4241119	0.3656531
ASV_59	0.4407449	0.3751405
ASV_34	0.3749476	0.3509305
ASV_46	0.3910539	0.3738723
ASV_30	0.2446191	0.4538527
