OTUID	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
ASV_54	0.3020571	0.3132978	0.7104268	0.713857	0.6046695	0.495353	0.4975903	0.3914696	0.2811516	0.6057064	0.4095282	0.9062863	0.4315989	0.224542	0.5283816	0.4181383	0.4228954	0.1996805
ASV_35	0.2729968	0.253188	0.4109796	0.2008468	0.3121782	0.2817769	0.530526	0.45241	0.1917931	0.4600266	0.4608256	1.4432133	1.5959101	0.1648897	0.2602207	0.1304998	0.3566781	0.1574101
ASV_31	0.1230243	0.6140849	0.3455665	1.1312842	1.0348789	0.7430272	0.3079659	0.526318	0.3877062	0.410293	0.4348086	0.3808573	0.1432803	1.0801301	0.4911129	0.216679	0.2091785	0.4299
ASV_33	0.37324992	0.44391023	1.47051401	0.16595211	0.09161727	0.14936706	0.63188555	0.43127947	0.67586881	0.34178754	0.79718109	0.4312867	1.15615046	0.10250379	0.15522005	0.80835553	0.67725071	0.41203586
ASV_37	0.6549769	0.5699933	1.5395279	0.2267766	0.252019	0.3729469	0.4100955	0.2959931	0.8824932	0.2751175	0.5199307	0.6639273	0.5777177	0.8471388	1.6108592	0.4374101	0.9920557	0.6376294
ASV_51	0.1098933	0.1399489	0.1723151	1.6991057	0.7450075	0.3671232	0.4276134	0.4193049	0.391726	0.6869239	0.3065989	0.2568228	0.200523	0.3438546	0.1645785	0.1335865	0.4595017	0.1868935
ASV_87	0.1944544	0.1336578	0.1254392	1.1265957	0.5129632	0.3896358	0.175327	0.3477297	0.4162158	0.7414337	0.342758	0.592297	0.1075628	0.4363475	0.639875	0.1451117	0.2247848	1.1817974
ASV_39	0.2668738	0.1162223	0.1724576	0.1906815	1.0869676	0.3960833	0.209101	0.1943501	0.2202863	0.4497478	0.8710302	0.8696574	0.8261041	0.3277918	0.3977472	0.2242049	0.3382807	0.3200092
ASV_67	0.04465186	0.08824581	0.03571824	3.10874963	0.44756025	0.20558297	0.32432899	0.32916373	0.88616767	0.65660568	0.08603567	0.1593252	0.01164935	0.08436283	0.07494846	0.06301069	0.87746923	0.13246004
ASV_55	1.0216434	0.9077892	0.3528209	0.2441588	0.1223425	0.5373306	0.3848409	0.2930761	0.4547811	0.606685	0.2747947	0.7955515	0.5399665	0.2580186	0.5407954	0.246591	0.3046179	0.2081193
ASV_52	0.4715117	0.26600467	0.32155992	0.55784042	0.54845445	0.37005901	0.37454216	0.19697209	0.13594363	0.89272283	0.42201031	0.65920957	0.12139494	0.09369604	0.1256665	0.18653755	0.62070215	0.1778253
ASV_36	0.4958037	0.8213768	0.87899	0.1684827	0.2037381	0.1887832	0.6748559	0.3674943	0.7948586	0.3426566	0.6800895	0.2995797	0.3204164	0.3248331	0.5401173	0.3215839	0.3832078	0.3131244
ASV_29	0.3680923	0.3266585	0.2213967	0.4684027	0.8714552	0.3875021	0.3697908	0.462975	0.571033	0.4130595	0.2767069	0.358927	1.1658937	0.3337917	0.3967633	0.2964771	0.3973287	0.3060459
ASV_57	3.376299736	0.369332365	0.110373905	1.532035904	0.732567712	0.029237524	0.060038882	0.097064704	0.048182758	0.839991325	0.145171774	1.051368714	0.029668551	0.004563366	0.008090574	0.091124129	0.090575725	0.369784748
ASV_43	0.3714454	0.4309143	0.5116637	0.1642415	0.3696045	0.3453972	0.5710865	0.4778473	0.4718778	0.4256055	0.4753296	0.3971498	0.2476531	0.6095423	0.4332179	0.6228711	0.4149413	0.4203608
ASV_46	0.5238404	1.6400564	0.4351684	0.2553123	0.1658587	0.091484	0.366484	0.8042365	0.4568666	0.1774905	0.3329129	0.1762269	0.1996634	2.9128982	0.5668769	0.2659367	0.2748577	0.3843826
ASV_59	0.1982564	0.1664304	0.2735993	0.2420066	0.5715286	0.8223499	0.6059349	0.310172	0.2969044	0.4210369	0.3198163	0.3172561	0.430796	0.4053018	0.9344301	0.4393065	0.6644965	0.5945581
ASV_30	0.2037756	0.2566214	0.2472249	0.1647634	0.3085692	0.2374676	0.5673669	0.4698094	0.5315744	0.1840468	0.4424324	0.6258876	0.7803246	0.3165139	0.1965123	0.4196576	1.3572708	0.3707566
ASV_138	0.25582541	0.08257134	0.20516525	0.21421271	0.27631314	1.32963098	0.67952523	0.30321914	0.36385794	0.21349997	0.34639655	0.37956304	1.43197173	1.2084413	0.4618458	0.15566107	0.15155694	0.20099058
ASV_42	0.1596776	0.1347615	0.2102011	0.5755454	0.1641964	0.1700511	0.3369238	0.3316077	0.4662753	0.3910125	0.7070454	0.7136302	1.2654193	0.4613264	0.3466218	0.3212399	0.2009671	0.4892727
ASV_72	0.06977775	0.05183684	0.06369202	0.59535764	1.28375998	0.33066187	0.15002488	0.50113011	0.18627608	0.32559431	0.6024543	0.23707859	0.09438173	0.10423453	0.06270528	0.33985419	0.1939622	0.87071533
ASV_60	0.08885339	0.51972232	0.26920493	0.2640533	0.33216894	0.62215235	0.16189722	0.2896124	0.63790301	0.60296379	0.26140697	0.3469075	0.17201862	0.34395995	0.33634433	0.0679937	0.09872556	0.1838015
ASV_41	0.64615871	0.15380233	0.20779616	0.24668492	0.08148255	0.14522357	0.65900561	0.30915798	0.27430434	0.45879999	0.17225149	0.88859612	0.17418704	0.27230091	0.07232944	0.31624611	0.38795888	0.14459308
ASV_48	0.52410176	1.76402783	0.61932287	0.2595545	0.28826067	0.11831221	0.89593434	0.4632822	0.32765249	0.12167894	0.24808309	0.16719296	0.14140903	1.1069462	0.15716135	0.09067201	0.12269392	0.40309847
ASV_24	0.158329626	0.21224328	0.340595819	0.010728131	0.000869582	0.012285056	0.24723904	0.829551646	0.408977793	0.800954226	0.436480761	0.093970145	0.0063246	0.011801648	0.021168156	0.316202274	0.100029634	0.048321908
ASV_32	2.0452855	0.5608121	0.418935	0.2459959	0.1685968	0.3314887	0.6711796	0.3350825	0.3513596	0.2176886	0.2258343	0.3377363	0.4656083	1.1551915	0.2707594	0.4026638	0.2382506	0.5355714
ASV_113	0.79364736	2.22248413	0.36099983	0.28389271	0.32260792	0.4477389	0.37659155	0.42641174	0.23285252	0.35950694	0.31041159	0.25854903	0.08854477	0.24269855	0.21658628	0.20224651	0.13679804	0.26004708
ASV_34	0.1447174	0.2263525	0.4411197	0.1298909	0.4339337	0.7270905	0.156169	0.372734	0.4226159	0.2399289	0.4184592	0.4954727	0.146611	0.2035855	0.3019102	0.5887154	0.2015171	0.2376163
ASV_69	0.2992532	0.1396082	0.4922275	0.300665	0.2598612	0.4907889	0.161159	0.2191661	0.1940344	0.3339249	0.7494396	0.5171699	0.1821955	0.1347974	0.2065786	0.1375357	0.3423254	0.2594923
ASV_62	0.25317194	0.19072817	0.12471623	0.55069571	0.26266222	0.88684978	0.23891281	0.2206567	0.1638834	0.38955973	0.54679006	0.28450309	0.27711368	0.2031825	0.56611073	0.09213118	0.38799432	0.66349703
ASV_49	0.1878277	0.2018316	0.219003	0.270037	0.5062459	0.2622626	0.1988278	0.2427227	0.2263729	0.2099738	0.5016644	0.2981833	0.6077609	0.5802465	2.5476524	0.2133493	0.281696	0.3002064
ASV_28	1.35E-02	4.74E-02	1.09E+00	1.74E-02	1.24E-01	5.89E-03	3.04E-02	6.91E-03	1.40E-02	7.12E-01	1.40E+00	5.07E-01	0.00E+00	0.00E+00	0.00E+00	7.93E-05	1.23E-02	4.94E-02
ASV_50	0.13643887	0.31519324	0.05930427	0.07574495	0.06769776	0.06477972	0.64180118	0.48671925	0.92818967	0.05303974	0.11951421	0.41956535	0.19778436	0.20732614	0.14920113	1.00440114	0.18172085	0.11368287
ASV_58	0.49566838	0.68557049	0.45917209	0.15083374	0.08650745	0.08515562	0.5531081	0.26933404	0.83177902	0.15724885	0.35919744	0.14458413	0.10937873	0.16835028	0.20124208	0.32110222	0.22195836	0.24575851
