OTUID	All	D	H	I
ASV_152	0.157324	0.1252240	0.1660392	0.1509488
ASV_135	0.166451	0.2060551	0.1698983	0.1050936
ASV_161	0.153334	0.06965658	0.16244880	0.20303926
ASV_101	0.129889	0.001609728	0.037777016	0.723247202
ASV_133	0.141481	0.10862353	0.16082787	0.08412902
ASV_195	0.133172	0.06778412	0.15113566	0.11916184
ASV_106	0.149731	0.07894174	0.06428519	0.64592050
ASV_57	0.127608	0.369332365	0.097064704	0.004563366
ASV_144	0.131496	0.07232644	0.07960934	0.45101078
ASV_216	0.242545	0.001130755	0.327371605	0.100606566
ASV_230	0.128173	0.06087133	0.15532402	0.07152740
ASV_120	0.154355	0.04735567	0.20383807	0.03349735
ASV_200	0.135347	0.1499127	0.1391097	0.1006155
ASV_91	0.127935	0.04098271	0.04054582	0.65177632
ASV_224	0.129111	0.04457845	0.17025907	0.02361195
ASV_193	0.15593	0.13449786	0.02892276	0.79920210
ASV_167	0.134731	0.0609872	0.1204962	0.2870909
ASV_143	0.134679	0.11592032	0.15092750	0.07657377
ASV_180	0.121493	0.21165668	0.11261781	0.06332636
ASV_149	0.136029	0.1102866	0.1487025	0.1032035
ASV_235	0.133698	0.08291697	0.15464880	0.08869004
ASV_284	0.127008	0.08015047	0.14747846	0.07992874
ASV_315	0.134055	0.70433409	0.01949306	0.05097893
ASV_129	0.13588	0.35202955	0.10287745	0.05360059
ASV_103	0.138731	0.04419914	0.17048772	0.09026300
ASV_116	0.125715	0.19204679	0.12004115	0.07875403
ASV_194	0.136791	0.10467429	0.16519269	0.03446085
ASV_89	0.125203	0.1104824	0.1163644	0.1848502
ASV_121	0.117555	0.09888643	0.12018214	0.12574676
ASV_141	0.113883	0.11309895	0.12503008	0.06042426
ASV_95	0.115208	0.09310969	0.13630294	0.03722934
ASV_142	0.149166	0.01621371	0.13610560	0.36241008
ASV_196	0.157245	0.01765400	0.21467809	0.03430135
ASV_272	0.099018	0.01031839	0.05225597	0.42676709
ASV_186	0.101964	0.05637970	0.12484422	0.04170763
ASV_293	0.124266	0.007172467	0.172553459	0.020596966
