OTUID	D	H
ASV_1	5.914727	7.797845
ASV_2	5.596654	7.127828
ASV_4	3.395137	2.899499
ASV_3	3.063875	2.961577
ASV_5	2.009644	1.865437
ASV_11	1.742574	1.280688
ASV_7	1.523698	1.575653
ASV_6	2.002574	1.446554
ASV_8	1.315254	1.321671
ASV_9	1.468579	1.396399
ASV_14	1.129784	1.241233
ASV_13	0.9745032	1.2901829
ASV_15	1.3981791	0.9198659
ASV_18	0.9625490	0.7982952
ASV_12	0.7402783	0.9694705
ASV_22	0.8190413	0.8669509
ASV_25	0.8171761	0.8113887
ASV_23	0.6381602	0.8303011
ASV_17	0.6772908	0.7681425
ASV_20	0.4439433	0.8711260
ASV_38	0.6625203	0.6677920
ASV_16	0.6184752	0.8016115
ASV_26	0.9474951	0.4734182
ASV_10	0.3787335	0.4687780
ASV_27	0.5417912	0.5329361
ASV_21	0.3290717	0.7049694
ASV_65	0.5616402	0.5162977
ASV_40	0.4062792	0.5789704
ASV_54	0.4754934	0.5241216
ASV_35	0.3204784	0.5939274
ASV_31	0.6250226	0.4111711
ASV_33	0.4252521	0.5403765
ASV_37	0.6168490	0.4942017
ASV_51	0.5020283	0.4254008
ASV_87	0.4850590	0.4563774
ASV_39	0.4473054	0.4855521
ASV_67	0.5830034	0.4074180
ASV_55	0.3763152	0.4759194
ASV_52	0.3703598	0.4750158
ASV_36	0.3573355	0.5108885
ASV_29	0.4895930	0.4053432
ASV_57	0.5755989	0.4083880
ASV_43	0.3984605	0.4649696
ASV_46	0.5060071	0.3738723
ASV_59	0.4993369	0.3751405
ASV_30	0.4054517	0.4538527
ASV_138	0.4472625	0.3656531
ASV_42	0.3375323	0.4944040
ASV_72	0.4788443	0.3434330
ASV_60	0.2820945	0.3931702
ASV_41	0.2210736	0.4565833
ASV_48	0.3947436	0.3443215
ASV_24	0.08908217	0.48939052
ASV_32	0.4682560	0.3405592
ASV_113	0.4200745	0.3287113
ASV_34	0.3431886	0.3509305
ASV_69	0.2784670	0.3745458
ASV_62	0.3904884	0.3181964
ASV_49	0.4559502	0.2822029
ASV_28	0.09356871	0.48685266
ASV_50	0.2097863	0.4062859
ASV_58	0.2340678	0.3623471
ASV_81	0.3571353	0.3023408
ASV_56	0.2476916	0.3595689
ASV_47	0.3215229	0.2836001
ASV_44	0.3229015	0.3572191
ASV_71	0.4626941	0.1836156
ASV_73	0.4144736	0.2943609
ASV_94	0.3341338	0.2661039
ASV_53	0.0866400	0.4319109
ASV_66	0.3569225	0.1755305
ASV_74	0.3021156	0.2928806
ASV_63	0.2550307	0.2891385
ASV_90	0.2783316	0.2872613
ASV_119	0.2663630	0.2521936
ASV_881	0.3885860	0.2797011
ASV_86	0.2683136	0.2519009
ASV_88	0.2277750	0.2843585
ASV_79	0.2598957	0.2701601
ASV_77	0.2189309	0.2821799
ASV_124	0.2038234	0.2720590
ASV_99	0.2732697	0.2028147
ASV_85	0.2509534	0.2208028
ASV_75	0.2713134	0.2428516
ASV_84	0.2507492	0.2514521
ASV_106	0.3070466	0.1563575
ASV_76	0.2200374	0.2501925
ASV_78	0.2279047	0.2303307
ASV_83	0.2492902	0.2735562
ASV_64	0.4036463	0.1112243
ASV_97	0.2252208	0.2263415
ASV_89	0.1948953	0.2179834
ASV_70	0.1851729	0.2235190
ASV_100	0.3079975	0.1432542
ASV_93	0.172125	0.263927
ASV_118	0.1228700	0.2440635
ASV_98	0.39010376	0.07633488
ASV_61	0.2138088	0.2427307
ASV_117	0.2420661	0.1673088
ASV_104	0.1915392	0.2034670
ASV_105	0.27676170	0.09794247
ASV_136	0.3424383	0.0877162
ASV_174	0.2570984	0.1624738
ASV_112	0.2487942	0.1417658
ASV_111	0.1383903	0.1943454
ASV_126	0.2408387	0.1463082
ASV_96	0.08200352	0.24848375
ASV_130	0.1884402	0.1886609
ASV_137	0.06951864	0.23939118
ASV_107	0.35094964	0.05245652
ASV_109	0.1113541	0.2096229
ASV_189	0.1956616	0.1583536
ASV_92	0.1078839	0.1856439
ASV_82	0.2068353	0.1747607
ASV_95	0.1141039	0.2350007
ASV_110	0.2001197	0.1389205
ASV_80	0.38044594	0.01470652
ASV_114	0.2004528	0.1124581
ASV_199	0.1858046	0.1195741
ASV_159	0.1607009	0.1664554
ASV_116	0.1827313	0.2052437
ASV_122	0.1531990	0.1891045
ASV_120	0.1260801	0.1949461
ASV_91	0.1943213	0.1266081
ASV_152	0.1747132	0.1451037
ASV_129	0.1459546	0.1586132
ASV_176	0.2792907	0.0744455
ASV_200	0.1409469	0.1766209
ASV_103	0.1393988	0.1501561
ASV_154	0.1963106	0.1180035
ASV_148	0.06929738	0.19744820
ASV_209	0.1339010	0.1574503
ASV_115	0.1394728	0.1532242
ASV_188	0.1382206	0.1319610
ASV_203	0.19504765	0.08399802
ASV_146	0.1127006	0.1476536
ASV_142	0.08334554	0.20046312
ASV_143	0.1132957	0.1608707
ASV_108	0.197771	0.111151
ASV_123	0.18984092	0.09542416
ASV_125	0.1218055	0.1271176
ASV_407	0.20270204	0.06628428
ASV_141	0.1132486	0.1297064
ASV_127	0.1104576	0.1435849
ASV_140	0.1705785	0.1182055
ASV_135	0.1246898	0.1221490
ASV_147	0.1242586	0.1246870
ASV_158	0.07098247	0.16237890
ASV_220	0.1340787	0.1119630
ASV_197	0.12393219	0.08178567
ASV_134	0.1177045	0.1029665
ASV_207	0.13965971	0.09366444
ASV_101	0.1016324	0.1511108
ASV_145	0.01904223	0.14813188
