OTUID	All	med	post	pre
ASV_1	6.982739	8.240069	6.212139	6.543063
ASV_2	5.285408	5.533423	5.950780	4.544779
ASV_3	2.648249	4.003093	3.140659	1.116253
ASV_4	2.601944	2.362824	3.930527	1.739938
ASV_5	2.027319	2.420688	2.278790	1.495712
ASV_8	1.589817	1.625388	1.727217	1.450018
ASV_13	1.57846	1.249458	1.372447	2.019633
ASV_11	1.435216	1.7800551	0.7069092	1.7281958
ASV_14	1.523439	1.338590	1.132946	1.991106
ASV_7	1.504514	1.605147	1.105555	1.739149
ASV_9	1.448983	2.173477	1.185581	1.051130
ASV_10	0.845779	0.4817745	0.3281068	1.5656816
ASV_6	1.287899	1.596333	1.280820	1.034479
ASV_20	1.044194	1.3625769	0.6200338	1.1160797
ASV_18	0.964514	0.8149075	0.7136602	1.2908655
ASV_22	1.087381	0.5968850	2.2701364	0.5531924
ASV_38	0.901492	0.4667351	0.4265853	1.6466120
ASV_15	0.944475	0.8051283	0.8370437	1.1474719
ASV_28	0.868132	1.3983268	0.5071757	0.7115330
ASV_23	0.83287	1.0307025	0.7453444	0.7367116
ASV_35	0.758216	0.4608256	1.4432133	0.4600266
ASV_25	0.901102	0.9694048	1.0033020	0.7619681
ASV_27	0.653551	0.6338792	0.6752926	0.6526811
ASV_52	0.672189	0.4220103	0.6592096	0.8927228
ASV_54	0.634371	0.4095282	0.9062863	0.6057064
ASV_39	0.711038	0.8710302	0.8696574	0.4497478
ASV_57	0.682966	0.1451718	1.0513687	0.8399913
ASV_87	0.569389	0.3427580	0.5922970	0.7414337
ASV_16	0.68639	1.1679377	0.5536246	0.3881014
ASV_69	0.521663	0.7494396	0.5171699	0.3339249
ASV_55	0.558316	0.2747947	0.7955515	0.6066850
ASV_42	0.589331	0.7070454	0.7136302	0.3910125
ASV_26	0.51292	0.5077764	0.4268558	0.5860916
ASV_24	0.470748	0.43648076	0.09397014	0.80095423
ASV_41	0.497867	0.1722515	0.8885961	0.4588000
ASV_17	0.509407	0.2897318	0.3819191	0.7959250
ASV_51	0.435578	0.3065989	0.2568228	0.6869239
ASV_65	0.411405	0.3584406	0.2403700	0.5927238
ASV_60	0.416694	0.2614070	0.3469075	0.6029638
ASV_56	0.421519	0.3767130	0.5089507	0.3892097
ASV_12	0.570914	0.5135806	0.7512950	0.4747689
ASV_118	0.390663	0.5077405	0.4740490	0.2256087
ASV_33	0.513806	0.7971811	0.4312867	0.3417875
ASV_31	0.409174	0.4348086	0.3808573	0.4102930
ASV_62	0.407752	0.5467901	0.2845031	0.3895597
