OTUID	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
ASV_137	17.75	15.44444	20.625	48.47059	104.92308	69.33333	23.72727	33.25641	18.71429	46.78	83.04762	725.075	65.28571	14.5	21.5	20.85714	44.07143	41.41667
ASV_107	34.375	16.55556	36.125	26.23529	1251.73077	13.33333	20.54545	14.20513	15.14286	53.1	24	47.775	56.85714	48.125	44.625	24	43.57143	28.16667
ASV_109	43.125	9.222222	6	105.882353	82.538462	259.133333	28.636364	28.153846	30.628571	53.16	572.119048	53.775	12.142857	15.875	17.875	49.142857	41.285714	148.333333
ASV_189	82.25	135.88889	158.5	111	110.34615	363	91.39394	113.5641	136.11429	62.38	112.90476	98.525	121.14286	162.5	175.875	42.07143	94.92857	42.91667
ASV_92	35	26.777778	25.875	3.117647	1.807692	16.2	321.393939	73.205128	335.285714	19.5	43.785714	44.325	20	7	28.75	813.857143	16.857143	20.166667
ASV_82	114.75	248.666667	140.625	7.647059	8	33.866667	92.242424	71.128205	129.857143	141.92	46.571429	131.75	363.285714	316.125	206.25	200.928571	124	152.75
ASV_95	62.5	62.11111	80.75	26.05882	44.38462	66.53333	81.84848	91.05128	381.94286	49.62	189.19048	78.975	15.28571	26	14.5	237.5	55.42857	61.58333
ASV_110	336.5	134.66667	32.75	146.17647	281.15385	93.33333	157.63636	24.82051	16.17143	178.62	128.38095	24.825	96.71429	26.625	22.75	50.28571	25.85714	236.91667
ASV_80	0.625	0.6666667	0.5	17.4117647	350.1538462	1994.6	1.1212121	15.7692308	1.7142857	3.14	24.1904762	8.625	1.5714286	1.75	0.625	6.2142857	0.2142857	0.4166667
ASV_114	164.25	16.888889	27.875	164.529412	657.230769	9.066667	54.030303	41.102564	73.342857	144.44	96.309524	45.625	11	17.625	10	8.214286	10.214286	29.583333
ASV_199	7.375	27.777778	5.625	314.235294	276.769231	147.6	7.757576	7.205128	12.371429	299.48	99.642857	13.475	3.428571	5.75	1	13.142857	308.928571	68.333333
ASV_159	191	94.66667	81.25	266.76471	64.34615	172.13333	65.30303	48	49.54286	126.4	98.09524	227.6	27.28571	54.625	42	57.85714	105	61.25
ASV_116	107.25	133.55556	42.125	22.76471	40.15385	50.53333	183.69697	73.30769	112.02857	69.88	174.69048	93.4	168.85714	58.375	379.125	54.14286	87.35714	202.25
ASV_122	31	27.11111	179.875	194.88235	28.34615	325.73333	55.54545	64.84615	29.4	121.88	70.7619	292.225	23.14286	28.375	53	37	150	53.33333
ASV_120	16.375	31.888889	26.625	220.235294	165.192308	23.733333	160.848485	118.179487	319.171429	46.78	25.071429	71.75	9.571429	17.875	26.125	63.071429	148.571429	11.166667
ASV_91	50.25	29.111111	249	157.941176	184.769231	204.733333	94.454545	23.307692	37.542857	76.3	89.142857	170.55	175.428571	472.625	104.125	30.714286	7.357143	12.75
ASV_152	91.75	86.55556	137.25	179	155.53846	47.26667	124.66667	106.20513	97.57143	77.38	78.83333	59.1	101.14286	104	82.875	139.28571	75.07143	81.75
ASV_129	34.375	215.77778	75.25	40.47059	254.92308	90.8	34.66667	59.74359	167.11429	58.98	126.64286	148.4	14.42857	35.5	90.125	41.28571	32.85714	44.41667
ASV_176	113.75	170.33333	131.5	480	125.76923	399.2	36.24242	31.58974	18.8	70	18.14286	92.325	21.71429	523.375	52.875	20.57143	29.78571	15.08333
ASV_200	156.125	106.44444	85.75	34.88235	95.73077	48.26667	154.42424	89.76923	90.74286	73.96	124.47619	110.075	48.57143	71.625	97.75	71.71429	89.14286	147.41667
ASV_103	19.5	27.55556	60.625	152.47059	153.30769	174.86667	41.57576	97.87179	87.34286	98.18	110.80952	122.375	30.57143	60.375	31	101.71429	115.28571	29.25
ASV_154	85.875	164.55556	42.625	68.64706	311.88462	97.46667	60.33333	139.64103	74.54286	36.4	83.85714	71.075	33	108.5	113	100.14286	52.64286	119.75
ASV_148	64.5	114.7777778	55	6.4705882	4.9615385	34.7333333	29.7878788	72.4358974	633.1142857	11.88	75.4285714	24.55	1.1428571	1	19.375	0.2857143	232.0714286	8.5833333
ASV_209	43.625	34.77778	57.5	168.35294	135.46154	180.26667	85.21212	54.23077	38.94286	136.52	128.30952	114.2	57.57143	43.625	62.5	40.42857	43.5	26.66667
ASV_115	87.5	57.22222	394.375	32.82353	22.11538	54	113.66667	196.17949	139.68571	42.58	42.19048	55.55	189.28571	169.5	358.375	35.5	27.42857	32.83333
ASV_188	63.25	23.77778	18.625	390.94118	94.92308	32.86667	87.75758	31.53846	27.34286	180.76	59.33333	90.375	23.42857	24.75	13.125	43.21429	110.71429	70.75
ASV_203	36.375	18.44444	25.625	623.41176	181.03846	58.2	51.72727	26.61538	29.37143	130.94	19.2381	57.85	140.57143	26.125	14.125	24.07143	69.5	78.16667
ASV_146	265.625	124.66667	165.125	28.52941	30.26923	36	130.36364	240.71795	102.71429	37.08	37.35714	36.6	53.71429	158.125	125.75	76.57143	26.07143	40
ASV_142	5.375	11	35.875	81.70588	13.61538	94	345.87879	68.53846	29	77.24	38.04762	123.2	23.14286	191.75	45.625	25.5	48.28571	58.66667
ASV_143	59.875	81.88889	90.75	11.11765	35.69231	85.46667	112.09091	92.79487	151.54286	60.22	101	70.15	46.14286	53.125	131.25	86.57143	143.92857	53.83333
ASV_108	121.375	63.66667	122.875	11.23529	19.80769	31.4	96.30303	36.30769	138.65714	45.14	36.95238	61.175	72.57143	182.75	58.375	592.07143	55.28571	81.08333
ASV_123	125.375	112.66667	237.375	273.58824	194.57692	92.06667	58.66667	35.48718	78.91429	98.06	24.69048	33.725	21.28571	29.75	32.5	103.57143	45.57143	39.08333
ASV_125	2.75	1.555556	2.625	159.411765	12.269231	673.933333	226.333333	18.358974	16.971429	40.16	57.642857	94.55	16.285714	46	1.625	11.642857	26	8.5
ASV_407	9	11.888889	1.375	86.470588	52.076923	1073.266667	18.272727	16.461538	7.342857	88.5	64.261905	51.65	2.571429	1.625	0.625	5.428571	12.285714	45.083333
ASV_141	110.875	82.77778	82.25	35.88235	51.5	47.6	79.0303	83.89744	94.54286	58.2	109.64286	78.4	102.42857	40.5	375.625	36.57143	37.78571	50.16667
ASV_127	71.375	40.55556	50.125	52.23529	64.34615	104.33333	83.21212	137.30769	61.2	102.32	80.7381	36.725	206	67.125	112.125	51.85714	27	68
ASV_140	120.375	188.44444	208.625	10.11765	12.61538	21.73333	32.75758	34.71795	46.54286	55.48	53.92857	131.55	381.71429	421	243.875	48.57143	38.85714	36.5
ASV_135	10.625	119.111111	24.875	8.352941	27.576923	19.6	63.181818	103.153846	238.971429	13.6	47.952381	26.9	638.571429	76.125	125.625	65.357143	27.857143	65.833333
ASV_147	102.25	126.88889	37.25	17.11765	35	46.86667	81.24242	92.05128	76.14286	61.82	88.38095	50.525	128.57143	146.75	243	32.85714	57.28571	119.16667
ASV_158	17	48.333333	1.625	5.647059	235.730769	11.933333	72.030303	164.74359	54.714286	69.3	45.97619	121.5	8.857143	15.125	6.25	3.357143	11.357143	9
ASV_220	107.125	242.11111	178.625	13.41176	43.57692	60.53333	77.42424	103.10256	88.37143	38.84	53.28571	57.475	69.71429	84.375	68.25	131	53.28571	70.75
ASV_197	19.75	2	5.75	212.941176	344.269231	31.6	50.545455	8.25641	24.6	175.42	43.452381	9.25	46.857143	7.875	9.375	2.214286	19.357143	7.25
ASV_134	52.875	75.55556	68	35.94118	238.19231	16.73333	96.45455	51.58974	61.65714	35.96	109.95238	38.125	35.42857	33.875	154.375	26.28571	41.78571	30.41667
ASV_207	26.625	16.666667	6.625	184.882353	78.961538	140	69.151515	47.846154	25.342857	100.12	43.928571	30.175	7.857143	51	12.875	51.142857	313.428571	46.5
ASV_101	4.875	1.111111	0.75	2	1.461538	1.133333	24.818182	19.871795	12.457143	43.66	284.595238	26.925	205.714286	575.625	354	3.5	25.642857	26.833333
ASV_145	10.625	1.666667	3.125	6.294118	7.423077	11.533333	8.787879	54.871795	14.085714	314.4	56.761905	104.325	37.428571	4	6.625	20.214286	24.285714	11.75
