OTUID	D	H	I
ASV_1	3514.494	4789.155	3783.778
ASV_2	2372.518	4490.121	5028.635
ASV_4	2084.024	1773.883	2363.603
ASV_3	1704.988	1707.264	1871.413
ASV_5	1145.554	1194.732	1502.905
ASV_11	1308.4819	 877.2636	1060.1270
ASV_7	1224.4819	 971.6067	 799.9683
ASV_6	 501.2892	 886.2259	2055.2063
ASV_8	 741.6627	 886.7866	1168.5714
ASV_9	858.4217	875.4895	908.3016
ASV_14	942.0723	821.1046	526.5238
ASV_13	747.3494	841.5063	528.9048
ASV_15	1004.4217	 566.6987	 853.5556
ASV_18	995.6747	537.2678	207.2857
ASV_12	338.3012	591.8787	591.9683
ASV_22	366.9277	545.6402	592.6508
ASV_25	453.3133	477.7197	491.2857
ASV_23	403.8072	518.4059	396.0317
ASV_17	420.0241	492.0377	405.0794
ASV_20	129.5422	588.1548	421.9524
ASV_38	640.1566	446.7071	247.7302
ASV_16	194.7349	505.6946	524.8571
ASV_26	951.2892	300.8745	264.7937
ASV_10	168.4458	430.2594	500.2381
ASV_27	398.7108	359.1674	353.6190
ASV_21	165.5301	450.7113	248.3333
ASV_65	473.0602	318.3598	247.4921
ASV_40	269.3373	378.9623	240.4603
ASV_54	370.6024	333.4310	230.0794
ASV_35	190.1325	387.3598	248.2063
ASV_31	551.1446	260.3682	250.6032
ASV_33	215.9639	334.2552	380.8254
ASV_37	239.4699	288.3054	479.5079
ASV_51	496.6627	270.0251	176.0635
ASV_87	364.6747	282.6402	280.4127
ASV_39	393.9880	287.0377	222.8095
ASV_67	554.1928	240.8075	179.6825
ASV_55	295.8072	309.7238	212.9365
ASV_52	321.6627	306.2301	162.5556
ASV_36	232.0361	318.9916	212.3810
ASV_29	372.4337	247.3389	291.4921
ASV_57	572.73494	233.51883	 64.80952
ASV_43	233.1205	281.2636	274.0317
ASV_46	238.9880	232.3222	425.5397
ASV_59	290.9277	218.7155	376.0635
ASV_30	135.8675	266.1423	392.8889
ASV_138	312.8554	217.1715	320.8730
ASV_42	147.3614	286.0335	275.4603
ASV_72	413.7831	203.1841	150.2698
ASV_60	248.1084	268.7322	118.0794
ASV_41	136.6627	294.1130	164.4921
ASV_48	311.4699	227.1925	183.8254
ASV_24	 52.89157	341.35146	 79.61905
ASV_32	284.1446	207.0795	262.6508
ASV_113	399.6867	203.9623	121.6825
ASV_34	251.7108	229.8410	214.3492
ASV_69	218.4458	252.6192	153.9524
ASV_62	275.7229	202.5816	252.6032
ASV_49	209.8434	183.8661	396.1905
ASV_28	119.53012	314.72385	 10.19048
ASV_50	 58.75904	244.19247	268.06349
ASV_58	166.3976	241.2803	126.6667
ASV_81	238.6024	182.1255	252.6508
ASV_56	170.4217	235.3556	132.9048
ASV_47	138.4819	188.9038	344.2222
ASV_44	 92.79518	209.54812	319.30159
ASV_71	494.9518	114.5774	148.5556
ASV_73	241.5301	166.7322	269.5397
ASV_94	219.5783	167.6318	209.6349
ASV_53	 46.10843	254.32218	 67.04762
ASV_66	191.3133	127.3473	349.4603
ASV_74	120.7952	173.8912	252.3016
ASV_63	137.2530	182.9707	194.6984
ASV_90	239.75904	176.95397	 82.33333
ASV_119	195.7711	160.2259	193.7302
ASV_881	149.3494	157.9623	234.3175
ASV_86	124.6024	154.5816	277.6984
ASV_88	190.3012	172.1548	106.3175
ASV_79	172.9277	162.7573	160.7778
ASV_77	132.2892	171.7782	170.7619
ASV_124	141.9398	164.4519	160.7778
ASV_99	201.4458	131.9456	185.9524
ASV_85	245.66265	139.95397	 88.07937
ASV_75	130.9518	141.7238	222.8730
ASV_84	 73.0241	155.1674	231.7619
ASV_106	304.2169	111.8828	 91.2381
ASV_76	187.4819	151.1799	 95.4127
ASV_78	125.2530	145.5523	179.3492
ASV_83	 74.75904	155.92469	197.07937
ASV_64	454.69880	 65.94979	 19.57143
ASV_97	151.5663	138.5858	133.3651
ASV_89	150.74699	147.02510	 98.88889
ASV_70	 83.20482	143.06695	190.88889
ASV_100	287.74699	 91.80753	111.73016
ASV_93	 92.38554	156.70711	122.47619
ASV_118	 75.93976	175.17155	 68.46032
ASV_98	182.0964	 45.5523	419.6190
ASV_61	 55.09639	135.84100	233.03175
ASV_117	255.21687	 99.57322	 68.23810
ASV_104	204.65060	116.64017	 54.50794
ASV_105	290.5663	 68.8410	121.4286
ASV_136	231.68675	 55.56904	244.63492
ASV_174	244.79518	 95.50628	 67.39683
ASV_112	155.15663	 91.35565	197.30159
ASV_111	 84.37349	135.75314	105.79365
ASV_126	231.59036	 91.91213	 76.30159
ASV_96	 15.6747	152.7782	126.6032
ASV_130	 81.85542	117.15481	165.15873
ASV_137	 60.69880	157.17573	 34.14286
ASV_107	408.48193	 30.69456	 38.47619
ASV_109	100.10843	133.69456	 53.98413
ASV_189	160.84337	100.46444	 95.04762
ASV_92	 12.90361	124.61506	195.20635
ASV_82	 61.77108	103.28452	208.00000
ASV_95	 51.80723	138.93724	 83.66667
ASV_110	185.07229	 92.26778	 79.06349
ASV_80	473.903614	  9.330544	  1.984127
ASV_114	261.56627	 79.68619	 14.46032
ASV_199	182.00000	 86.47699	 85.82540
ASV_159	142.40964	105.87866	 63.15873
ASV_116	 55.25301	114.68201	144.28571
ASV_122	130.92771	109.39749	 64.61905
ASV_120	108.74699	114.43515	 55.80952
ASV_91	159.22892	 82.51464	103.61905
ASV_152	125.38554	 88.76569	 98.17460
ASV_129	138.51807	 98.43933	 42.49206
ASV_176	251.96386	 46.19665	 89.65079
ASV_200	 80.71084	105.02929	 90.73016
ASV_103	121.56627	 94.99582	 68.79365
ASV_154	159.60241	 76.28033	 88.55556
ASV_148	 33.12048	128.49791	 55.98413
ASV_209	123.01205	 96.53975	 43.60317
ASV_115	 76.06024	 93.78243	108.30159
ASV_188	126.21687	 84.63598	 55.09524
ASV_203	202.89157	 56.24268	 56.41270
ASV_146	76.86747	92.76987	72.44444
ASV_142	 43.15663	106.65272	 60.28571
ASV_143	52.30120	94.89958	90.01587
ASV_108	 44.62651	 65.70293	197.98413
ASV_123	180.80723	 55.94561	 50.85714
ASV_125	158.97590	 71.08787	 17.84127
ASV_407	230.27711	 44.73640	 13.09524
ASV_141	59.67470	83.01255	90.30159
ASV_127	65.81928	84.59833	76.12698
ASV_140	 62.09639	 60.10460	153.22222
ASV_135	 30.22892	 76.32636	129.82540
ASV_147	 50.14458	 74.30962	106.50794
ASV_158	84.19277	87.75314	 8.68254
ASV_220	81.13253	67.56485	81.55556
ASV_197	159.84337	 57.81172	 13.57143
ASV_134	104.84337	 63.99163	 48.76190
ASV_207	92.91566	54.78243	98.85714
ASV_101	  1.73494	 72.14644	152.49206
ASV_145	  7.204819	105.439331	 17.634921
ASV_167	15.00000	80.83264	84.82540
ASV_149	48.16867	77.57322	52.58730
ASV_870	 61.38554	 58.66527	105.66667
ASV_210	92.27711	67.97908	29.26984
ASV_157	78.59036	66.05439	49.09524
ASV_319	76.22892	74.65690	17.31746
ASV_144	30.01205	74.58159	74.06349
ASV_121	35.45783	71.84100	72.77778
ASV_311	37.01205	65.76151	91.09524
ASV_166	42.51807	72.75314	56.03175
ASV_177	21.54217	71.25523	88.09524
ASV_208	98.56627	57.20084	35.66667
ASV_150	116.32530	 39.71130	 76.46032
ASV_133	43.39759	72.80753	44.57143
ASV_187	90.15663	56.22594	45.53968
ASV_212	47.25301	66.87029	60.96825
