OTUID	All	DEmed	DEpost	DGpre	DSmed	DSpost	DSpre	HEmed	HEpost	HGpre	HSmed	HSpost	HSpre	IEmed	IEpost	IGpre	ISmed	ISpost	ISpre
ASV_33	0.496719	0.44391023	1.47051401	0.37324992	0.09161727	0.14936706	0.16595211	0.43127947	0.67586881	0.63188555	0.79718109	0.43128670	0.34178754	0.10250379	0.15522005	1.15615046	0.67725071	0.41203586	0.80835553
ASV_37	0.540712	0.5699933	1.5395279	0.6549769	0.2520190	0.3729469	0.2267766	0.2959931	0.8824932	0.4100955	0.5199307	0.6639273	0.2751175	0.8471388	1.6108592	0.5777177	0.9920557	0.6376294	0.4374101
ASV_51	0.45446	0.1399489	0.1723151	0.1098933	0.7450075	0.3671232	1.6991057	0.4193049	0.3917260	0.4276134	0.3065989	0.2568228	0.6869239	0.3438546	0.1645785	0.2005230	0.4595017	0.1868935	0.1335865
ASV_87	0.467254	0.1336578	0.1254392	0.1944544	0.5129632	0.3896358	1.1265957	0.3477297	0.4162158	0.1753270	0.3427580	0.5922970	0.7414337	0.4363475	0.6398750	0.1075628	0.2247848	1.1817974	0.1451117
ASV_39	0.471048	0.1162223	0.1724576	0.2668738	1.0869676	0.3960833	0.1906815	0.1943501	0.2202863	0.2091010	0.8710302	0.8696574	0.4497478	0.3277918	0.3977472	0.8261041	0.3382807	0.3200092	0.2242049
ASV_67	0.474004	0.08824581	0.03571824	0.04465186	0.44756025	0.20558297	3.10874963	0.32916373	0.88616767	0.32432899	0.08603567	0.15932520	0.65660568	0.08436283	0.07494846	0.01164935	0.87746923	0.13246004	0.06301069
ASV_55	0.438147	0.9077892	0.3528209	1.0216434	0.1223425	0.5373306	0.2441588	0.2930761	0.4547811	0.3848409	0.2747947	0.7955515	0.6066850	0.2580186	0.5407954	0.5399665	0.3046179	0.2081193	0.2465910
ASV_52	0.435328	0.26600467	0.32155992	0.47151170	0.54845445	0.37005901	0.55784042	0.19697209	0.13594363	0.37454216	0.42201031	0.65920957	0.89272283	0.09369604	0.12566650	0.12139494	0.62070215	0.17782530	0.18653755
ASV_36	0.452658	0.8213768	0.8789900	0.4958037	0.2037381	0.1887832	0.1684827	0.3674943	0.7948586	0.6748559	0.6800895	0.2995797	0.3426566	0.3248331	0.5401173	0.3204164	0.3832078	0.3131244	0.3215839
ASV_29	0.437292	0.3266585	0.2213967	0.3680923	0.8714552	0.3875021	0.4684027	0.4629750	0.5710330	0.3697908	0.2767069	0.3589270	0.4130595	0.3337917	0.3967633	1.1658937	0.3973287	0.3060459	0.2964771
ASV_57	0.471798	0.369332365	0.110373905	3.376299736	0.732567712	0.029237524	1.532035904	0.097064704	0.048182758	0.060038882	0.145171774	1.051368714	0.839991325	0.004563366	0.008090574	0.029668551	0.090575725	0.369784748	0.091124129
ASV_43	0.439748	0.4309143	0.5116637	0.3714454	0.3696045	0.3453972	0.1642415	0.4778473	0.4718778	0.5710865	0.4753296	0.3971498	0.4256055	0.6095423	0.4332179	0.2476531	0.4149413	0.4203608	0.6228711
ASV_46	0.423981	1.6400564	0.4351684	0.5238404	0.1658587	0.0914840	0.2553123	0.8042365	0.4568666	0.3664840	0.3329129	0.1762269	0.1774905	2.9128982	0.5668769	0.1996634	0.2748577	0.3843826	0.2659367
ASV_59	0.422238	0.1664304	0.2735993	0.1982564	0.5715286	0.8223499	0.2420066	0.3101720	0.2969044	0.6059349	0.3198163	0.3172561	0.4210369	0.4053018	0.9344301	0.4307960	0.6644965	0.5945581	0.4393065
ASV_30	0.435498	0.2566214	0.2472249	0.2037756	0.3085692	0.2374676	0.1647634	0.4698094	0.5315744	0.5673669	0.4424324	0.6258876	0.1840468	0.3165139	0.1965123	0.7803246	1.3572708	0.3707566	0.4196576
ASV_138	0.396601	0.08257134	0.20516525	0.25582541	0.27631314	1.32963098	0.21421271	0.30321914	0.36385794	0.67952523	0.34639655	0.37956304	0.21349997	1.20844130	0.46184580	1.43197173	0.15155694	0.20099058	0.15566107
ASV_42	0.434915	0.1347615	0.2102011	0.1596776	0.1641964	0.1700511	0.5755454	0.3316077	0.4662753	0.3369238	0.7070454	0.7136302	0.3910125	0.4613264	0.3466218	1.2654193	0.2009671	0.4892727	0.3212399
ASV_72	0.394784	0.05183684	0.06369202	0.06977775	1.28375998	0.33066187	0.59535764	0.50113011	0.18627608	0.15002488	0.60245430	0.23707859	0.32559431	0.10423453	0.06270528	0.09438173	0.19396220	0.87071533	0.33985419
ASV_60	0.351048	0.51972232	0.26920493	0.08885339	0.33216894	0.62215235	0.26405330	0.28961240	0.63790301	0.16189722	0.26140697	0.34690750	0.60296379	0.34395995	0.33634433	0.17201862	0.09872556	0.18380150	0.06799370
ASV_41	0.367273	0.15380233	0.20779616	0.64615871	0.08148255	0.14522357	0.24668492	0.30915798	0.27430434	0.65900561	0.17225149	0.88859612	0.45879999	0.27230091	0.07232944	0.17418704	0.38795888	0.14459308	0.31624611
