OTUID	All	D	H	I
ASV_1	6.47881	3.761186	8.240069	6.242050
ASV_2	5.170525	3.769068	5.533423	6.684536
ASV_3	3.863652	3.216410	4.003093	4.647351
ASV_6	2.034244	1.019441	1.596333	5.232607
ASV_11	1.452942	1.4247195	1.7800551	0.5240188
ASV_9	1.6735	1.189710	2.173477	1.072039
ASV_7	1.508425	1.613094	1.605147	1.023874
ASV_5	1.706172	0.5918733	2.4206877	1.6320375
ASV_4	1.846303	1.119712	2.362824	1.646120
ASV_8	1.242873	0.8585836	1.6253880	0.8090058
ASV_13	1.208848	0.7183911	1.2494584	1.9978644
ASV_14	1.074305	0.6283392	1.3385899	1.1096729
ASV_18	1.10098	1.9529261	0.8149075	0.3770092
ASV_16	1.188766	0.3208651	1.1679377	2.8630689
ASV_15	0.845452	0.4001222	0.8051283	1.7934670
ASV_39	0.848541	1.0869676	0.8710302	0.3382807
ASV_10	0.70707	0.6382078	0.4817745	1.5108456
ASV_26	0.81239	1.5724346	0.5077764	0.3147186
ASV_20	0.943915	0.1343559	1.3625769	1.1913955
ASV_23	0.853734	0.6439080	1.0307025	0.7125045
ASV_28	0.757658	0.12410350	1.39832676	0.01225382
ASV_25	0.943742	0.8565503	0.9694048	1.0286827
ASV_72	0.748735	1.2837600	0.6024543	0.1939622
ASV_71	0.603579	1.69987716	0.10640442	0.05911905
ASV_27	0.607416	0.4993606	0.6338792	0.7286997
ASV_31	0.586553	1.0348789	0.4348086	0.2091785
ASV_107	0.584224	1.72064941	0.04872950	0.08020133
ASV_136	0.565203	0.9024875	0.1036438	1.3234968
ASV_69	0.5247	0.2598612	0.7494396	0.3423254
ASV_105	0.463019	1.0705938	0.0319990	0.6277276
ASV_12	0.676203	0.4669262	0.5135806	1.5527268
ASV_38	0.464381	0.4848487	0.4667351	0.4193093
ASV_29	0.48588	0.8714552	0.2767069	0.3973287
ASV_52	0.496025	0.5484544	0.4220103	0.6207021
ASV_51	0.471712	0.7450075	0.3065989	0.4595017
ASV_30	0.55618	0.3085692	0.4424324	1.3572708
ASV_98	0.457204	0.03674052	0.07133043	2.39568790
ASV_54	0.473685	0.6046695	0.4095282	0.4228954
ASV_109	0.506608	0.11041227	0.90200767	0.05620347
ASV_49	0.465561	0.5062459	0.5016644	0.2816960
ASV_22	0.466445	0.3307914	0.5968850	0.3270556
ASV_33	0.55299	0.09161727	0.79718109	0.67725071
ASV_64	0.486542	0.87853179	0.40260289	0.01037975
ASV_59	0.458475	0.5715286	0.3198163	0.6644965
ASV_21	0.528946	0.2188793	0.8338656	0.1900237
ASV_62	0.429589	0.2626622	0.5467901	0.3879943
ASV_65	0.418336	0.6622673	0.3584406	0.1450049
ASV_34	0.386327	0.4339337	0.4184592	0.2015171
ASV_117	0.373412	0.82670287	0.18764182	0.08889908
ASV_112	0.368893	0.2130184	0.2404663	1.0436524
ASV_37	0.51559	0.2520190	0.5199307	0.9920557
ASV_114	0.331517	0.81704956	0.13603281	0.01626695
ASV_43	0.431497	0.3696045	0.4753296	0.4149413
ASV_36	0.478364	0.2037381	0.6800895	0.3832078
ASV_35	0.395912	0.3121782	0.4608256	0.3566781
ASV_87	0.376584	0.5129632	0.3427580	0.2247848
ASV_67	0.335788	0.44756025	0.08603567	0.87746923
ASV_42	0.448519	0.1641964	0.7070454	0.2009671
ASV_57	0.322098	0.73256771	0.14517177	0.09057572
ASV_81	0.323536	0.1787512	0.2214427	0.8987008
ASV_119	0.300618	0.2898386	0.1930539	0.6433321
ASV_76	0.344791	0.3764296	0.4008742	0.1177814
ASV_174	0.348297	0.8707512	0.1060100	0.1048863
ASV_56	0.364528	0.2826769	0.3767130	0.4799841
ASV_106	0.266698	0.46054665	0.21658643	0.05702541
ASV_104	0.312609	0.4469895	0.2944964	0.1173811
ASV_118	0.312653	0.12602726	0.50774048	0.07397899
ASV_89	0.278576	0.2282976	0.3201588	0.2472012
ASV_75	0.334819	0.2672599	0.3072750	0.5429196
ASV_85	0.262741	0.5530446	0.1369943	0.1008460
ASV_113	0.284637	0.3226079	0.3104116	0.1367980
ASV_199	0.25994	0.3952377	0.1429640	0.3596032
ASV_60	0.256069	0.33216894	0.26140697	0.09872556
ASV_139	0.233641	0.61358365	0.05000528	0.07893796
ASV_97	0.282955	0.2713326	0.3075261	0.2308265
ASV_94	0.262804	0.4190049	0.1818923	0.2154519
ASV_40	0.27076	0.2581724	0.2540843	0.3441615
ASV_24	0.240917	0.0008695818	0.4364807614	0.1000296344
ASV_172	0.201506	0.58824357	0.01945535	0.02943127
ASV_110	0.224695	0.39369828	0.18251929	0.03735882
ASV_99	0.217433	0.1881111	0.1520973	0.4678960
ASV_138	0.29091	0.2763131	0.3463966	0.1515569
ASV_61	0.306092	0.02896687	0.56188863	0.05336091
ASV_88	0.213643	0.1352579	0.2564183	0.2308882
ASV_48	0.239414	0.2882607	0.2480831	0.1226939
ASV_129	0.205251	0.35770147	0.16158718	0.05311846
ASV_154	0.211287	0.42951720	0.11780392	0.08645165
ASV_101	0.321729	0.003513419	0.603639909	0.066968091
ASV_66	0.184643	0.01925156	0.33058921	0.05396107
ASV_182	0.203058	0.22337878	0.09093085	0.50169968
ASV_55	0.231548	0.1223425	0.2747947	0.3046179
ASV_204	0.190809	0.587943018	0.005923951	0.007929008
ASV_46	0.270033	0.1658587	0.3329129	0.2748577
ASV_134	0.213494	0.32705513	0.18734744	0.08103723
ASV_78	0.200018	0.2069890	0.1559819	0.3191794
ASV_17	0.252167	0.1343425	0.2897318	0.3582881
ASV_226	0.177972	0.52365140	0.01786436	0.01631956
ASV_197	0.168557	0.41478381	0.06287758	0.02831691
ASV_247	0.19512	0.17629440	0.25558351	0.04869379
ASV_58	0.249304	0.08650745	0.35919744	0.22195836
ASV_63	0.243789	0.1332236	0.3008452	0.2779588
ASV_881	0.330614	0.2572583	0.2352831	0.7528368
ASV_124	0.169811	0.2102297	0.1409275	0.1814011
ASV_79	0.213571	0.1486112	0.2456283	0.2380361
ASV_103	0.171208	0.1947187	0.1593178	0.1632186
ASV_73	0.239348	0.04758664	0.36630088	0.21461716
ASV_80	0.175695	0.4891526928	0.0400825299	0.0003981603
ASV_32	0.209806	0.1685968	0.2258343	0.2382506
ASV_201	0.190959	0.01502563	0.35943951	0.01225323
ASV_95	0.24472	0.06690206	0.39858178	0.11336863
ASV_334	0.165214	0.46608443	0.01307941	0.06286032
ASV_83	0.249573	0.1036733	0.3265619	0.2895610
ASV_41	0.180299	0.08148255	0.17225149	0.38795888
ASV_90	0.177507	0.07889971	0.23721118	0.18152516
ASV_116	0.244063	0.07903037	0.36383542	0.19123730
ASV_209	0.168683	0.18615831	0.18866273	0.07629116
ASV_126	0.150901	0.2423832	0.1058938	0.1160247
ASV_264	0.14648	0.43661264	0.01102881	0.01401467
ASV_74	0.192095	0.09071901	0.25365054	0.19569893
ASV_200	0.194762	0.1374376	0.2326837	0.1874559
ASV_189	0.156021	0.1566076	0.1596090	0.1441675
ASV_91	0.160348	0.2606880	0.1471175	0.0136917
ASV_206	0.147789	0.03024355	0.24978869	0.06008794
ASV_193	0.143797	0.39862483	0.02780568	0.01852094
ASV_239	0.12675	0.388511646	0.001550758	0.016218162
ASV_322	0.136276	4.296958e-01	5.966402e-05	0.000000e+00
ASV_152	0.167691	0.2214053	0.1484621	0.1256232
ASV_211	0.141486	0.30133493	0.04470863	0.13495516
ASV_207	0.143536	0.10747780	0.06396683	0.44920821
ASV_158	0.139724	0.31624051	0.07126051	0.01729568
ASV_162	0.125168	0.02423955	0.20594875	0.07026298
ASV_84	0.212027	0.1026822	0.2221847	0.3846250
ASV_44	0.160747	0.05436172	0.17316566	0.32106552
ASV_151	0.17751	0.05995578	0.28744177	0.06603129
ASV_86	0.138865	0.08798460	0.09763239	0.35705313
ASV_77	0.173715	0.09971012	0.23606816	0.12409570
ASV_120	0.129157	0.23067765	0.05446124	0.16470831
ASV_426	0.1246	0.30791126	0.04696682	0.01706580
ASV_169	0.168138	0.02404715	0.05527614	0.77432245
ASV_202	0.127959	0.05163560	0.09178225	0.37823287
ASV_159	0.125565	0.08889042	0.14128110	0.14652411
ASV_143	0.170338	0.05918285	0.20955692	0.25911282
ASV_208	0.12515	0.17503138	0.11822060	0.05330251
ASV_185	0.125655	0.20819431	0.10957778	0.02059813
ASV_137	0.110261	0.14407937	0.10566143	0.06125323
ASV_456	0.113172	0.334386891	0.010845861	0.009322385
ASV_225	0.106582	0.07411687	0.15462917	0.02273432
ASV_123	0.128175	0.28373512	0.04806232	0.07961411
ASV_229	0.113075	0.31799322	0.01804246	0.01761097
ASV_148	0.113718	0.0101756	0.1077429	0.3239355
ASV_188	0.124406	0.1284932	0.1093383	0.1620214
ASV_203	0.105728	0.22970557	0.03128056	0.09882345
ASV_141	0.127302	0.08588436	0.17043815	0.07481449
ASV_341	0.115513	0.08695079	0.14118889	0.09152814
ASV_210	0.106161	0.10096938	0.12806166	0.05009984
ASV_153	0.121471	0.18235780	0.11449520	0.02932301
ASV_282	0.111066	0.17446739	0.08244792	0.07917483
ASV_179	0.118236	0.19434755	0.07713369	0.10019124
ASV_278	0.10205	0.27004587	0.01708019	0.04496549
ASV_301	0.125442	0.01438146	0.09606645	0.41982676
ASV_50	0.113705	0.06769776	0.11951421	0.18172085
ASV_93	0.157843	0.05707162	0.22606692	0.14031835
ASV_295	0.088812	0.268005999	0.005105732	0.007139862
ASV_187	0.106023	0.15543749	0.08039662	0.09113347
ASV_368	0.09498	0.18024548	0.04970369	0.07245770
ASV_294	0.102949	0.07774322	0.14425049	0.02585406
ASV_122	0.100498	0.04169034	0.10054304	0.20957940
ASV_266	0.081432	0.22331768	0.00229260	0.05535024
ASV_100	0.099425	0.10697998	0.10362700	0.07278768
ASV_303	0.088179	0.22619653	0.02155709	0.03172819
ASV_130	0.11851	0.06413104	0.14514805	0.13958306
ASV_127	0.100204	0.09603007	0.12367411	0.03754641
ASV_147	0.130603	0.06064089	0.17493827	0.12752797
ASV_149	0.118159	0.07545165	0.15370186	0.09084661
ASV_355	0.098231	0.004762931	0.187960174	0.002629904
ASV_262	0.101691	0.08900339	0.13783026	0.01683742
ASV_178	0.1293	0.10361853	0.16538163	0.06874922
ASV_312	0.079395	0.192321362	0.034015171	0.005812993
ASV_363	0.082485	0.193592798	0.038709544	0.007471199
ASV_157	0.089543	0.17282785	0.05393614	0.04169000
ASV_150	0.08535	0.01779253	0.05575862	0.29959025
ASV_212	0.080281	0.02935873	0.05662848	0.24580817
ASV_255	0.095222	0.02235047	0.16692801	0.01543435
ASV_164	0.138529	0.04274187	0.21847412	0.07658192
ASV_214	0.087316	0.12669499	0.08177478	0.03080579
ASV_442	0.078065	0.2459776781	0.0001416848	0.0000000000
ASV_460	0.080366	0.224454253	0.009911808	0.024134403
ASV_283	0.097129	0.12394608	0.04651745	0.19916287
ASV_481	0.079026	0.16538569	0.01674252	0.10549649
ASV_228	0.09672	0.04810782	0.15393069	0.01536977
ASV_870	0.122909	0.08546394	0.14161128	0.13634399
ASV_183	0.130097	0.07099985	0.14151089	0.20560899
ASV_793	0.078971	0.15808785	0.05011090	0.01861837
ASV_198	0.093303	0.10967406	0.09413191	0.06041055
ASV_167	0.111937	0.01522906	0.15919483	0.14976283
ASV_233	0.078799	0.203529444	0.026957889	0.002682403
ASV_354	0.060422	0.180296008	0.001048417	0.015920971
ASV_47	0.093617	0.03397014	0.07718675	0.25368238
ASV_496	0.078576	0.126751627	0.073024163	0.005762548
ASV_176	0.075221	0.16640040	0.02964427	0.04261792
ASV_343	0.081103	0.06158762	0.10221841	0.05400113
ASV_319	0.066873	0.10203794	0.04589342	0.06450671
ASV_232	0.072393	0.14213594	0.02617838	0.08151215
ASV_221	0.077609	0.11050202	0.06014734	0.06890611
ASV_289	0.070859	0.11926612	0.06092023	0.01077390
ASV_311	0.090617	0.05940264	0.08631409	0.16149657
ASV_253	0.105807	0.0001976035	0.1934249553	0.0390842338
ASV_409	0.074242	0.11025245	0.05938757	0.05192749
ASV_407	0.076794	0.07476388	0.09665437	0.02098186
ASV_166	0.128788	0.08457118	0.11211958	0.26090968
ASV_320	0.066113	0.19265510	0.00519206	0.01386982
ASV_220	0.089642	0.06621480	0.09810037	0.10777402
ASV_734	0.07287	0.150938738	0.047093361	0.005215211
ASV_128	0.120743	0.0004017332	0.0160094654	0.6584321536
ASV_361	0.070159	0.04538035	0.08616428	0.06816312
ASV_246	0.064506	0.05053027	0.07445993	0.06060034
ASV_217	0.066808	0.09535180	0.06241678	0.02697135
ASV_395	0.069022	0.205069225	0.006147134	0.004988497
ASV_567	0.057403	0.01835637	0.09366120	0.02114201
ASV_132	0.09658	0.04423451	0.15319463	0.02394993
ASV_82	0.083506	0.01589841	0.09147843	0.18514782
ASV_186	0.067079	0.10329591	0.05213621	0.04464658
ASV_131	0.121768	0.01919694	0.19813372	0.08316134
ASV_650	0.068452	0.000000000	0.133009049	0.001905202
ASV_163	0.071525	0.02606622	0.09799725	0.07653352
ASV_70	0.082796	0.08678774	0.09744302	0.03144416
ASV_215	0.070197	0.13831907	0.04632571	0.01530070
ASV_336	0.053419	0.0007349405	0.0981835674	0.0169670786
ASV_630	0.062808	0.11303503	0.04666665	0.01795132
ASV_241	0.066362	0.04905860	0.05454532	0.13394970
ASV_111	0.074518	0.03879522	0.08061720	0.12256111
ASV_53	0.077408	0.05283312	0.08289278	0.10659155
ASV_349	0.05349	0.150153682	0.009017214	0.007390048
ASV_168	0.064417	0.09956782	0.04650099	0.05288531
ASV_144	0.085905	0.02614507	0.12256461	0.08690725
ASV_491	0.081233	0.02583889	0.12630091	0.04890416
ASV_405	0.070588	0.011461394	0.128075344	0.007931217
ASV_499	0.053475	0.00224309	0.09954238	0.01041566
ASV_379	0.051272	0.151380410	0.003844060	0.007639582
ASV_406	0.061565	0.17227213	0.00951436	0.01211521
ASV_297	0.064676	0.10426496	0.03486437	0.08058684
ASV_250	0.060059	0.09982701	0.04926798	0.01857819
ASV_371	0.054491	0.14210305	0.01420017	0.01265698
ASV_281	0.071703	0.01564022	0.12670111	0.01082476
ASV_235	0.079606	0.04995017	0.07373297	0.15229859
ASV_351	0.052633	0.14654764	0.00726800	0.01431669
ASV_156	0.09454	0.02853678	0.14429396	0.06785512
ASV_249	0.066556	0.09126564	0.05914714	0.04289310
ASV_160	0.066952	0.03097085	0.08569177	0.07755721
ASV_472	0.056373	0.158150719	0.010865476	0.003878006
ASV_412	0.049961	0.02894835	0.07533767	0.01285388
ASV_786	0.074652	0.06352873	0.08053670	0.07765588
ASV_403	0.060362	0.10645154	0.03810332	0.04154190
ASV_330	0.062685	0.028519593	0.103135729	0.004781361
