med	pre	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales	0.00965955571819487	0.008854555164779	0.00921701062780113	3.98134165333067
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales	0.00358298155541419	0.0065255087176899	0.00498451511195991	2.93048836985318
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales	0.00425554384814802	0.0025563465653025	0.00341922733638553	2.66782703883747
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	0.00428952127318973	0.00122133302009115	0.00283895272673576	2.78928537290256
Bacteria|Firmicutes|Negativicutes|Selenomonadales	0.000782609530822705	0.0045925035183396	0.00261716778373123	2.97558940035994
Bacteria|Tenericutes|Mollicutes|Mycoplasmoidales	0.00402549703572926	0.000661540459135537	0.0023949979173199	2.49804718846123
Bacteria|Firmicutes|Negativicutes|Veillonellales	0.00133412294322986	0.00342929810916226	0.00231553430974869	3.23897358735435
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	0.000146122919653224	0.00355072856218167	0.00185061103430938	2.64793935068249
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	-0.000280946026396846	0.00388982147237078	0.00172517134024818	2.26580384352048
Bacteria|Firmicutes|Clostridia|Clostridiales	0.00138569440617659	0.00162481581635771	0.00147844457841723	2.64489197786089
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	-0.00285017324370615	0.00572697751884718	0.00128711718348274	2.42738068384195
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales	-0.000889331917324654	0.00258629615970355	0.00082157998110536	2.54644760525154
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned	0.00142218773222938	0.000155326760809693	0.000790394169039673	2.83521754504225
Bacteria|Firmicutes|Bacilli|Bacillales	0.00174892574496008	-0.00045956061536193	0.000666586114743932	2.3474620946027
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	-0.000891686797115689	0.00201310224044784	0.000495454008633195	2.25193639141629
Bacteria|Synergistetes|Synergistia|Synergistales	8.78882655859943e-05	0.000899087413089028	0.000394569107549799	2.6429587274792
Bacteria|Unassigned|Unassigned|Unassigned	6.25202399200769e-05	4.39430630971564e-05	6.89862600606333e-05	0.538798319619963
Bacteria|Bacteroidetes|Saprospiria|Saprospirales	9.92714239564e-05	-1.35083288366394e-05	4.70922821930156e-05	0.141925226546288
Bacteria|Firmicutes|Bacilli|Lactobacillales	-0.00153604550909124	0.00172001497696095	6.30548132401772e-06	2.24462499894668
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	-0.000150689855663968	3.10592905248496e-05	-5.13173605782635e-05	0.244811353388573
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	0.000540255032700758	-0.000882084984972389	-0.000145708787797221	2.4308007494465
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	-0.000965564849261458	0.000609720846711192	-0.00017278007197692	1.75279333627763
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales	-0.000135244917149331	-0.000237776725703637	-0.000186920486696677	0.196780660530597
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales	0.000884178624335236	-0.00139897537264329	-0.000229087971918006	1.38592314917694
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales	-0.000357780340426278	-0.000316866903008053	-0.000323473263978836	0.275480824391314
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	-0.00153939247072479	0.000919993376793209	-0.000332864611163877	2.51932992102179
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales	-0.000221816755356997	-0.00064990812454698	-0.000453131671326651	0.798675294478396
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales	0.000344272737504882	-0.001241811124233	-0.000460909733249281	2.05626732051642
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	0.00102659180708048	-0.00215913805439937	-0.000565209327586303	2.14853647210732
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	-0.000579317641402691	-0.00100158928577783	-0.000801141225444911	1.33811236462777
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	-0.00276781160622731	0.000757228879279404	-0.00104258292248298	2.62894294449788
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	-0.0010553703070107	-0.00125168882463645	-0.00113561627101903	2.09318531257136
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	-0.00109159260617385	-0.00119399169997747	-0.00115077629373009	1.87302093925216
Bacteria|Bacteroidetes|Cytophagia|Cytophagales	-0.00243316937706378	-0.000145653465485365	-0.00125836271793487	1.8682596639354
Bacteria|SR1|Unassigned|Unassigned	-0.00221079423193177	-0.000325145547765142	-0.00132007614912858	2.23654857435896
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	-0.00196502706758094	-0.000793428756373026	-0.00140861781982771	1.99350107684436
